#FORMAT=WebAnno TSV 3.3


#Text=title: "Формула включений и исключений.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-15	Формула	
1-5	16-25	включений	
1-6	26-27	и	
1-7	28-38	исключений	
1-8	38-39	.	

#Text=Примеры решений задач"
#Text=yb_link: "https://youtu.be/YIwZkbXE0Y4"
#Text=branch: "статистика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:10"
#Text=timecode_end: "5:17"
#Text=text: "Сегодня мы с вами поговорим про формулу включений и исключений.
2-1	40-47	Примеры	
2-2	48-55	решений	
2-3	56-61	задач	
2-4	61-62	"	
2-5	63-70	yb_link	
2-6	70-71	:	
2-7	72-73	"	
2-8	73-78	https	
2-9	78-79	:	
2-10	79-80	/	
2-11	80-81	/	
2-12	81-89	youtu.be	
2-13	89-90	/	
2-14	90-101	YIwZkbXE0Y4	
2-15	101-102	"	
2-16	103-109	branch	
2-17	109-110	:	
2-18	111-112	"	
2-19	112-122	статистика	
2-20	122-123	"	
2-21	124-129	level	
2-22	129-130	:	
2-23	131-132	"	
2-24	132-140	школьная	
2-25	141-150	программа	
2-26	150-151	"	
2-27	152-166	timecode_start	
2-28	166-167	:	
2-29	168-169	"	
2-30	169-170	0	
2-31	170-171	:	
2-32	171-173	10	
2-33	173-174	"	
2-34	175-187	timecode_end	
2-35	187-188	:	
2-36	189-190	"	
2-37	190-191	5	
2-38	191-192	:	
2-39	192-194	17	
2-40	194-195	"	
2-41	196-200	text	
2-42	200-201	:	
2-43	202-203	"	
2-44	203-210	Сегодня	
2-45	211-213	мы	
2-46	214-215	с	
2-47	216-220	вами	
2-48	221-230	поговорим	
2-49	231-234	про	
2-50	235-242	формулу	
2-51	243-252	включений	
2-52	253-254	и	
2-53	255-265	исключений	
2-54	265-266	.	

#Text=Разберёмся с постановкой задачи: пусть у нас имеется семь предметов, некоторые из которых обладают свойствами альфа один, альфа два, альфа эн.
3-1	267-277	Разберёмся	
3-2	278-279	с	
3-3	280-291	постановкой	
3-4	292-298	задачи	
3-5	298-299	:	
3-6	300-305	пусть	
3-7	306-307	у	
3-8	308-311	нас	
3-9	312-319	имеется	
3-10	320-324	семь	
3-11	325-334	предметов	
3-12	334-335	,	
3-13	336-345	некоторые	
3-14	346-348	из	
3-15	349-356	которых	
3-16	357-365	обладают	
3-17	366-376	свойствами	
3-18	377-382	альфа	
3-19	383-387	один	
3-20	387-388	,	
3-21	389-394	альфа	
3-22	395-398	два	
3-23	398-399	,	
3-24	400-405	альфа	
3-25	406-408	эн	
3-26	408-409	.	

#Text=Для понятности будем считать, что у нас имеется множество молодых людей, каждый из которых определяет… обладает определёнными свойствами, например, он может быть красив, умён и так далее, богат.
4-1	410-413	Для	
4-2	414-424	понятности	
4-3	425-430	будем	
4-4	431-438	считать	
4-5	438-439	,	
4-6	440-443	что	
4-7	444-445	у	
4-8	446-449	нас	
4-9	450-457	имеется	
4-10	458-467	множество	
4-11	468-475	молодых	
4-12	476-481	людей	
4-13	481-482	,	
4-14	483-489	каждый	
4-15	490-492	из	
4-16	493-500	которых	
4-17	501-511	определяет	
4-18	511-512	…	
4-19	513-521	обладает	
4-20	522-535	определёнными	
4-21	536-546	свойствами	
4-22	546-547	,	
4-23	548-556	например	
4-24	556-557	,	
4-25	558-560	он	
4-26	561-566	может	
4-27	567-571	быть	
4-28	572-578	красив	
4-29	578-579	,	
4-30	580-584	умён	
4-31	585-586	и	
4-32	587-590	так	
4-33	591-596	далее	
4-34	596-597	,	
4-35	598-603	богат	
4-36	603-604	.	

#Text=При этом каждый предмет может не обладать ни одним из этих свойств, обладать парой из этих свойств, тройкой из этих свойств и, наконец, всеми свойствами.
5-1	605-608	При	
5-2	609-613	этом	
5-3	614-620	каждый	
5-4	621-628	предмет	
5-5	629-634	может	
5-6	635-637	не	
5-7	638-646	обладать	
5-8	647-649	ни	
5-9	650-655	одним	
5-10	656-658	из	
5-11	659-663	этих	
5-12	664-671	свойств	
5-13	671-672	,	
5-14	673-681	обладать	
5-15	682-687	парой	
5-16	688-690	из	
5-17	691-695	этих	
5-18	696-703	свойств	
5-19	703-704	,	
5-20	705-712	тройкой	
5-21	713-715	из	
5-22	716-720	этих	
5-23	721-728	свойств	
5-24	729-730	и	
5-25	730-731	,	
5-26	732-739	наконец	
5-27	739-740	,	
5-28	741-746	всеми	
5-29	747-757	свойствами	
5-30	757-758	.	

#Text=Применительно к нашему случаю он может быть умён или он может быть умён и красив.
6-1	759-772	Применительно	
6-2	773-774	к	
6-3	775-781	нашему	
6-4	782-788	случаю	
6-5	789-791	он	
6-6	792-797	может	
6-7	798-802	быть	
6-8	803-807	умён	
6-9	808-811	или	
6-10	812-814	он	
6-11	815-820	может	
6-12	821-825	быть	
6-13	826-830	умён	
6-14	831-832	и	
6-15	833-839	красив	
6-16	839-840	.	

#Text=Дальше необходимо договориться, как мы будем записывать ситуации, когда у нас какой-то предмет не обладает определённым свойством, в этой ситуации принято обозначать это свойство чертой.
7-1	841-847	Дальше	
7-2	848-858	необходимо	
7-3	859-871	договориться	
7-4	871-872	,	
7-5	873-876	как	
7-6	877-879	мы	
7-7	880-885	будем	
7-8	886-896	записывать	
7-9	897-905	ситуации	
7-10	905-906	,	
7-11	907-912	когда	
7-12	913-914	у	
