#FORMAT=WebAnno TSV 3.3


#Text=title: "5 типовых пределов. 1ый из 5и (бесконечность на бесконечность)"
#Text=yb_link: "https://youtu.be/t3ELumyJNcE"
#Text=branch: "теория функций"
#Text=level: "университетская программа"
#Text=timecode_start: "0:00"
#Text=timecode_end: "1:32"
#Text=text: "Всем привет.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-9	5	
1-5	10-17	типовых	
1-6	18-26	пределов	
1-7	26-27	.	
1-8	28-31	1ый	
1-9	32-34	из	
1-10	35-37	5и	
1-11	38-39	(	
1-12	39-52	бесконечность	
1-13	53-55	на	
1-14	56-69	бесконечность	
1-15	69-70	)	
1-16	70-71	"	
1-17	72-79	yb_link	
1-18	79-80	:	
1-19	81-82	"	
1-20	82-87	https	
1-21	87-88	:	
1-22	88-89	/	
1-23	89-90	/	
1-24	90-98	youtu.be	
1-25	98-99	/	
1-26	99-110	t3ELumyJNcE	
1-27	110-111	"	
1-28	112-118	branch	
1-29	118-119	:	
1-30	120-121	"	
1-31	121-127	теория	
1-32	128-135	функций	
1-33	135-136	"	
1-34	137-142	level	
1-35	142-143	:	
1-36	144-145	"	
1-37	145-160	университетская	
1-38	161-170	программа	
1-39	170-171	"	
1-40	172-186	timecode_start	
1-41	186-187	:	
1-42	188-189	"	
1-43	189-190	0	
1-44	190-191	:	
1-45	191-193	00	
1-46	193-194	"	
1-47	195-207	timecode_end	
1-48	207-208	:	
1-49	209-210	"	
1-50	210-211	1	
1-51	211-212	:	
1-52	212-214	32	
1-53	214-215	"	
1-54	216-220	text	
1-55	220-221	:	
1-56	222-223	"	
1-57	223-227	Всем	
1-58	228-234	привет	
1-59	234-235	.	

#Text=В начале этой недели я немножко расклеился.
2-1	236-237	В	
2-2	238-244	начале	
2-3	245-249	этой	
2-4	250-256	недели	
2-5	257-258	я	
2-6	259-267	немножко	
2-7	268-278	расклеился	
2-8	278-279	.	

#Text=Но чеснок и немного малины помогли вернуться мне в строй.
3-1	280-282	Но	
3-2	283-289	чеснок	
3-3	290-291	и	
3-4	292-299	немного	
3-5	300-306	малины	
3-6	307-314	помогли	
3-7	315-324	вернуться	
3-8	325-328	мне	
3-9	329-330	в	
3-10	331-336	строй	
3-11	336-337	.	

#Text=Поэтому я спешу разобрать некоторые типовые примеры на пределы, которые наверняка пригодятся вам в курсе высшей математики.
4-1	338-345	Поэтому	
4-2	346-347	я	
4-3	348-353	спешу	
4-4	354-363	разобрать	
4-5	364-373	некоторые	
4-6	374-381	типовые	
4-7	382-389	примеры	
4-8	390-392	на	
4-9	393-400	пределы	
4-10	400-401	,	
4-11	402-409	которые	
4-12	410-419	наверняка	
4-13	420-430	пригодятся	
4-14	431-434	вам	
4-15	435-436	в	
4-16	437-442	курсе	
4-17	443-449	высшей	
4-18	450-460	математики	
4-19	460-461	.	

#Text=Я планирую разобрать вот такие вот пять типовых пределов, и сегодня я буду разбирать вот этот вот пример.
5-1	462-463	Я	
5-2	464-472	планирую	
5-3	473-482	разобрать	
5-4	483-486	вот	
5-5	487-492	такие	
5-6	493-496	вот	
5-7	497-501	пять	
5-8	502-509	типовых	
5-9	510-518	пределов	
5-10	518-519	,	
5-11	520-521	и	
5-12	522-529	сегодня	
5-13	530-531	я	
5-14	532-536	буду	
5-15	537-546	разбирать	
5-16	547-550	вот	
5-17	551-555	этот	
5-18	556-559	вот	
5-19	560-566	пример	
5-20	566-567	.	

#Text=Итак, первый предел.
6-1	568-572	Итак	
6-2	572-573	,	
6-3	574-580	первый	
6-4	581-587	предел	
6-5	587-588	.	

#Text=Если у вас есть предел, в котором икс стремится к бесконечности, и этот икс встречается как в числителе, так в знаменателе, причём он стоит в одной и той же степени, то тогда необходимо сделать следующее.
7-1	589-593	Если	
7-2	594-595	у	
7-3	596-599	вас	
7-4	600-604	есть	
7-5	605-611	предел	
7-6	611-612	,	
7-7	613-614	в	
7-8	615-622	котором	
7-9	623-626	икс	
7-10	627-636	стремится	
7-11	637-638	к	
7-12	639-652	бесконечности	
7-13	652-653	,	
7-14	654-655	и	
7-15	656-660	этот	
7-16	661-664	икс	
7-17	665-676	встречается	
7-18	677-680	как	
7-19	681-682	в	
7-20	683-692	числителе	
7-21	692-693	,	
7-22	694-697	так	
7-23	698-699	в	
7-24	700-711	знаменателе	
7-25	711-712	,	
7-26	713-719	причём	
7-27	720-722	он	
7-28	723-728	стоит	
7-29	729-730	в	
7-30	731-736	одной	
7-31	737-738	и	
7-32	739-742	той	
7-33	743-745	же	
7-34	746-753	степени	
7-35	753-754	,	
7-36	755-757	то	
7-37	758-763	тогда	
7-38	764-774	необходимо	
7-39	775-782	сделать	
7-40	783-792	следующее	
7-41	792-793	.	

#Text=Во-первых, переписать, к чему стремится икс.
8-1	794-803	Во-первых	
8-2	803-804	,	
8-3	805-815	переписать	
8-4	815-816	,	
8-5	817-818	к	
8-6	819-823	чему	
8-7	824-833	стремится	
8-8	834-837	икс	
8-9	837-838	.	

#Text=Икс стремится к бесконечности.
9-1	839-842	Икс	
9-2	843-852	стремится	
9-3	853-854	к	
9-4	855-868	бесконечности	
9-5	868-869	.	

#Text=И во-вторых, надо вынести икс в максимальной степени, в данном случае – икс в кубе, за скобку.
10-1	870-871	И	
10-2	872-881	во-вторых	
10-3	881-882	,	
