#FORMAT=WebAnno TSV 3.3


#Text=title: "Найти точки разрыва функции (непрерывность)" yb_link: "https://www.youtube.com/watch?
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-13	Найти	
1-5	14-19	точки	
1-6	20-27	разрыва	
1-7	28-35	функции	
1-8	36-37	(	
1-9	37-50	непрерывность	
1-10	50-51	)	
1-11	51-52	"	
1-12	53-60	yb_link	
1-13	60-61	:	
1-14	62-63	"	
1-15	63-68	https	
1-16	68-69	:	
1-17	69-70	/	
1-18	70-71	/	
1-19	71-86	www.youtube.com	
1-20	86-87	/	
1-21	87-92	watch	
1-22	92-93	?	

#Text=v=t5b0gOrBlDY" branch: "теория функций" level: "школьная программа" timecode_start: "0:00" timecode_end: "3:04" text: "Привет всем.
2-1	94-95	v	
2-2	95-96	=	
2-3	96-107	t5b0gOrBlDY	
2-4	107-108	"	
2-5	109-115	branch	
2-6	115-116	:	
2-7	117-118	"	
2-8	118-124	теория	
2-9	125-132	функций	
2-10	132-133	"	
2-11	134-139	level	
2-12	139-140	:	
2-13	141-142	"	
2-14	142-150	школьная	
2-15	151-160	программа	
2-16	160-161	"	
2-17	162-176	timecode_start	
2-18	176-177	:	
2-19	178-179	"	
2-20	179-180	0	
2-21	180-181	:	
2-22	181-183	00	
2-23	183-184	"	
2-24	185-197	timecode_end	
2-25	197-198	:	
2-26	199-200	"	
2-27	200-201	3	
2-28	201-202	:	
2-29	202-204	04	
2-30	204-205	"	
2-31	206-210	text	
2-32	210-211	:	
2-33	212-213	"	
2-34	213-219	Привет	
2-35	220-224	всем	
2-36	224-225	.	

#Text=Сегодня в рамках разбора своего рабочего стола от ненужных бумажек и решений, я рассмотрю решение ещё одного примера на непрерывность функции.
3-1	226-233	Сегодня	
3-2	234-235	в	
3-3	236-242	рамках	
3-4	243-250	разбора	
3-5	251-257	своего	
3-6	258-266	рабочего	
3-7	267-272	стола	
3-8	273-275	от	
3-9	276-284	ненужных	
3-10	285-292	бумажек	
3-11	293-294	и	
3-12	295-302	решений	
3-13	302-303	,	
3-14	304-305	я	
3-15	306-315	рассмотрю	
3-16	316-323	решение	
3-17	324-327	ещё	
3-18	328-334	одного	
3-19	335-342	примера	
3-20	343-345	на	
3-21	346-359	непрерывность	
3-22	360-367	функции	
3-23	367-368	.	

#Text=Надеюсь, оно вам тоже пригодится.
4-1	369-376	Надеюсь	
4-2	376-377	,	
4-3	378-381	оно	
4-4	382-385	вам	
4-5	386-390	тоже	
4-6	391-401	пригодится	
4-7	401-402	.	

#Text=Итак, требуется найти решение следующей задачи.
5-1	403-407	Итак	
5-2	407-408	,	
5-3	409-418	требуется	
5-4	419-424	найти	
5-5	425-432	решение	
5-6	433-442	следующей	
5-7	443-449	задачи	
5-8	449-450	.	

#Text=Функция игрек задана следующим соотношением: игрек принимает значение нуля, если икс меньше либо, либо равно нуля, икс в квадрате минус два икс, если икс находится на интервале от нуля до двух, и единица, если икс больше двух.
6-1	451-458	Функция	
6-2	459-464	игрек	
6-3	465-471	задана	
6-4	472-481	следующим	
6-5	482-494	соотношением	
6-6	494-495	:	
6-7	496-501	игрек	
6-8	502-511	принимает	
6-9	512-520	значение	
6-10	521-525	нуля	
6-11	525-526	,	
6-12	527-531	если	
6-13	532-535	икс	
6-14	536-542	меньше	
6-15	543-547	либо	
6-16	547-548	,	
6-17	549-553	либо	
6-18	554-559	равно	
6-19	560-564	нуля	
6-20	564-565	,	
6-21	566-569	икс	
6-22	570-571	в	
6-23	572-580	квадрате	
6-24	581-586	минус	
6-25	587-590	два	
6-26	591-594	икс	
6-27	594-595	,	
6-28	596-600	если	
6-29	601-604	икс	
6-30	605-614	находится	
6-31	615-617	на	
6-32	618-627	интервале	
6-33	628-630	от	
6-34	631-635	нуля	
6-35	636-638	до	
6-36	639-643	двух	
6-37	643-644	,	
6-38	645-646	и	
6-39	647-654	единица	
6-40	654-655	,	
6-41	656-660	если	
6-42	661-664	икс	
6-43	665-671	больше	
6-44	672-676	двух	
6-45	676-677	.	

#Text=Где же возникает основной вопрос непрерывности функции и какие точки разрыва нам нужно проверить?
7-1	678-681	Где	
7-2	682-684	же	
7-3	685-694	возникает	
7-4	695-703	основной	
7-5	704-710	вопрос	
7-6	711-724	непрерывности	
7-7	725-732	функции	
7-8	733-734	и	
7-9	735-740	какие	
7-10	741-746	точки	
7-11	747-754	разрыва	
7-12	755-758	нам	
7-13	759-764	нужно	
7-14	765-774	проверить	
7-15	774-775	?	

#Text=Ну, конечно же это точки икс, равное нулю, и икс, равное двум, то есть те точки, в которых сшивается наша функция.
8-1	776-778	Ну	
8-2	778-779	,	
8-3	780-787	конечно	
8-4	788-790	же	
8-5	791-794	это	
8-6	795-800	точки	
8-7	801-804	икс	
8-8	804-805	,	
8-9	806-812	равное	
8-10	813-817	нулю	
8-11	817-818	,	
8-12	819-820	и	
8-13	821-824	икс	
8-14	824-825	,	
8-15	826-832	равное	
8-16	833-837	двум	
8-17	837-838	,	
8-18	839-841	то	
8-19	842-846	есть	
8-20	847-849	те	
8-21	850-855	точки	
8-22	855-856	,	
8-23	857-858	в	
8-24	859-866	которых	
8-25	867-876	сшивается	
8-26	877-881	наша	
8-27	882-889	функция	
8-28	889-890	.	

