#FORMAT=WebAnno TSV 3.3


#Text=title: "Непрерывная случайная величина и её свойства"
#Text=yb_link: "https://youtu.be/FUyEwNEkhls"
#Text=branch: "статистика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:01"
#Text=timecode_end: "6:33"
#Text=text: "Сегодня я рассмотрю решение ещё одного примера по теории вероятностей и на этот раз рассмотрю типичный пример на непрерывную случайную величину икс и на нахождение её свойств.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-19	Непрерывная	
1-5	20-29	случайная	
1-6	30-38	величина	
1-7	39-40	и	
1-8	41-43	её	
1-9	44-52	свойства	
1-10	52-53	"	
1-11	54-61	yb_link	
1-12	61-62	:	
1-13	63-64	"	
1-14	64-69	https	
1-15	69-70	:	
1-16	70-71	/	
1-17	71-72	/	
1-18	72-80	youtu.be	
1-19	80-81	/	
1-20	81-92	FUyEwNEkhls	
1-21	92-93	"	
1-22	94-100	branch	
1-23	100-101	:	
1-24	102-103	"	
1-25	103-113	статистика	
1-26	113-114	"	
1-27	115-120	level	
1-28	120-121	:	
1-29	122-123	"	
1-30	123-131	школьная	
1-31	132-141	программа	
1-32	141-142	"	
1-33	143-157	timecode_start	
1-34	157-158	:	
1-35	159-160	"	
1-36	160-161	0	
1-37	161-162	:	
1-38	162-164	01	
1-39	164-165	"	
1-40	166-178	timecode_end	
1-41	178-179	:	
1-42	180-181	"	
1-43	181-182	6	
1-44	182-183	:	
1-45	183-185	33	
1-46	185-186	"	
1-47	187-191	text	
1-48	191-192	:	
1-49	193-194	"	
1-50	194-201	Сегодня	
1-51	202-203	я	
1-52	204-213	рассмотрю	
1-53	214-221	решение	
1-54	222-225	ещё	
1-55	226-232	одного	
1-56	233-240	примера	
1-57	241-243	по	
1-58	244-250	теории	
1-59	251-263	вероятностей	
1-60	264-265	и	
1-61	266-268	на	
1-62	269-273	этот	
1-63	274-277	раз	
1-64	278-287	рассмотрю	
1-65	288-296	типичный	
1-66	297-303	пример	
1-67	304-306	на	
1-68	307-318	непрерывную	
1-69	319-328	случайную	
1-70	329-337	величину	
1-71	338-341	икс	
1-72	342-343	и	
1-73	344-346	на	
1-74	347-357	нахождение	
1-75	358-360	её	
1-76	361-368	свойств	
1-77	368-369	.	

#Text=Итак, дана следующая функция: эф от икс равняется… эф от икс равняется а икс, делённое на икс в квадрате плюс один, на интервале от одного до трёх.
2-1	370-374	Итак	
2-2	374-375	,	
2-3	376-380	дана	
2-4	381-390	следующая	
2-5	391-398	функция	
2-6	398-399	:	
2-7	400-402	эф	
2-8	403-405	от	
2-9	406-409	икс	
2-10	410-419	равняется	
2-11	419-420	…	
2-12	421-423	эф	
2-13	424-426	от	
2-14	427-430	икс	
2-15	431-440	равняется	
2-16	441-442	а	
2-17	443-446	икс	
2-18	446-447	,	
2-19	448-456	делённое	
2-20	457-459	на	
2-21	460-463	икс	
2-22	464-465	в	
2-23	466-474	квадрате	
2-24	475-479	плюс	
2-25	480-484	один	
2-26	484-485	,	
2-27	486-488	на	
2-28	489-498	интервале	
2-29	499-501	от	
2-30	502-508	одного	
2-31	509-511	до	
2-32	512-516	трёх	
2-33	516-517	.	

#Text=И эта функция равняется нулю вне этого интервала.
3-1	518-519	И	
3-2	520-523	эта	
3-3	524-531	функция	
3-4	532-541	равняется	
3-5	542-546	нулю	
3-6	547-550	вне	
3-7	551-556	этого	
3-8	557-566	интервала	
3-9	566-567	.	

#Text=Для такой дифференциальной функции распределения требуется найти стандартный набор величин, а именно: найти коэффициент а, математическое ожидание и дисперсию, функцию распределения и найти вероятность попадания случайной величины икс в интервал от одного до двух.
4-1	568-571	Для	
4-2	572-577	такой	
4-3	578-594	дифференциальной	
4-4	595-602	функции	
4-5	603-616	распределения	
4-6	617-626	требуется	
4-7	627-632	найти	
4-8	633-644	стандартный	
4-9	645-650	набор	
4-10	651-658	величин	
4-11	658-659	,	
4-12	660-661	а	
4-13	662-668	именно	
4-14	668-669	:	
4-15	670-675	найти	
4-16	676-687	коэффициент	
4-17	688-689	а	
4-18	689-690	,	
4-19	691-705	математическое	
4-20	706-714	ожидание	
4-21	715-716	и	
4-22	717-726	дисперсию	
4-23	726-727	,	
4-24	728-735	функцию	
4-25	736-749	распределения	
4-26	750-751	и	
4-27	752-757	найти	
4-28	758-769	вероятность	
4-29	770-779	попадания	
4-30	780-789	случайной	
4-31	790-798	величины	
4-32	799-802	икс	
4-33	803-804	в	
4-34	805-813	интервал	
4-35	814-816	от	
4-36	817-823	одного	
4-37	824-826	до	
4-38	827-831	двух	
4-39	831-832	.	

#Text=Об этом-то я сегодня и расскажу.
5-1	833-835	Об	
5-2	836-843	этом-то	
5-3	844-845	я	
5-4	846-853	сегодня	
5-5	854-855	и	
5-6	856-864	расскажу	
5-7	864-865	.	

#Text=Итак, начнём с первого пункта – пункт а.
6-1	866-870	Итак	
6-2	870-871	,	
6-3	872-878	начнём	
6-4	879-880	с	
6-5	881-888	первого	
6-6	889-895	пункта	
6-7	896-897	–	
6-8	898-903	пункт	
6-9	904-905	а	
6-10	905-906	.	

#Text=Как найти коэффициент а из функций распределения?
7-1	907-910	Как	
7-2	911-916	найти	
7-3	917-928	коэффициент	
7-4	929-930	а	
7-5	931-933	из	
7-6	934-941	функций	
7-7	942-955	распределения	
