#FORMAT=WebAnno TSV 3.3


#Text=title: "Показательные уравнения и неравенства - bezbotvy"\r
#Text=yb_link: "https://youtu.be/6PjhOS8G_GY"\r
#Text=branch: "уравнения и неравенства"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:05"\r
#Text=timecode_end: "5:40"\r
#Text=text: "Всем привет, вы смотрите канал “Без ботвы”, и сегодня я объясню, как решать показательные уравнения и неравенства.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-21	Показательные	
1-5	22-31	уравнения	
1-6	32-33	и	
1-7	34-45	неравенства	
1-8	46-47	-	
1-9	48-56	bezbotvy	
1-10	56-57	"	
1-11	59-66	yb_link	
1-12	66-67	:	
1-13	68-69	"	
1-14	69-74	https	
1-15	74-75	:	
1-16	75-76	/	
1-17	76-77	/	
1-18	77-85	youtu.be	
1-19	85-86	/	
1-20	86-97	6PjhOS8G_GY	
1-21	97-98	"	
1-22	100-106	branch	
1-23	106-107	:	
1-24	108-109	"	
1-25	109-118	уравнения	
1-26	119-120	и	
1-27	121-132	неравенства	
1-28	132-133	"	
1-29	135-140	level	
1-30	140-141	:	
1-31	142-143	"	
1-32	143-151	школьная	
1-33	152-161	программа	
1-34	161-162	"	
1-35	164-178	timecode_start	
1-36	178-179	:	
1-37	180-181	"	
1-38	181-182	0	
1-39	182-183	:	
1-40	183-185	05	
1-41	185-186	"	
1-42	188-200	timecode_end	
1-43	200-201	:	
1-44	202-203	"	
1-45	203-204	5	
1-46	204-205	:	
1-47	205-207	40	
1-48	207-208	"	
1-49	210-214	text	
1-50	214-215	:	
1-51	216-217	"	
1-52	217-221	Всем	
1-53	222-228	привет	
1-54	228-229	,	
1-55	230-232	вы	
1-56	233-241	смотрите	
1-57	242-247	канал	
1-58	248-249	“	
1-59	249-252	Без	
1-60	253-258	ботвы	
1-61	258-259	”	
1-62	259-260	,	
1-63	261-262	и	
1-64	263-270	сегодня	
1-65	271-272	я	
1-66	273-280	объясню	
1-67	280-281	,	
1-68	282-285	как	
1-69	286-292	решать	
1-70	293-306	показательные	
1-71	307-316	уравнения	
1-72	317-318	и	
1-73	319-330	неравенства	
1-74	330-331	.	

#Text=Это очень простая тема, так что, надеюсь, вы всё поймёте с первого раза.
2-1	332-335	Это	
2-2	336-341	очень	
2-3	342-349	простая	
2-4	350-354	тема	
2-5	354-355	,	
2-6	356-359	так	
2-7	360-363	что	
2-8	363-364	,	
2-9	365-372	надеюсь	
2-10	372-373	,	
2-11	374-376	вы	
2-12	377-380	всё	
2-13	381-388	поймёте	
2-14	389-390	с	
2-15	391-398	первого	
2-16	399-403	раза	
2-17	403-404	.	

#Text=Показательное уравнение – это уравнение вида а в степени эф от икс равняется некоторому числу бэ, и первый шаг решения таких уравнений - привести обе части к одинаковому основанию, то есть вам нужно переписать выражение бэ как а в степени цэ.
3-1	405-418	Показательное	
3-2	419-428	уравнение	
3-3	429-430	–	
3-4	431-434	это	
3-5	435-444	уравнение	
3-6	445-449	вида	
3-7	450-451	а	
3-8	452-453	в	
3-9	454-461	степени	
3-10	462-464	эф	
3-11	465-467	от	
3-12	468-471	икс	
3-13	472-481	равняется	
3-14	482-492	некоторому	
3-15	493-498	числу	
3-16	499-501	бэ	
3-17	501-502	,	
3-18	503-504	и	
3-19	505-511	первый	
3-20	512-515	шаг	
3-21	516-523	решения	
3-22	524-529	таких	
3-23	530-539	уравнений	
3-24	540-541	-	
3-25	542-550	привести	
3-26	551-554	обе	
3-27	555-560	части	
3-28	561-562	к	
3-29	563-574	одинаковому	
3-30	575-584	основанию	
3-31	584-585	,	
3-32	586-588	то	
3-33	589-593	есть	
3-34	594-597	вам	
3-35	598-603	нужно	
3-36	604-614	переписать	
3-37	615-624	выражение	
3-38	625-627	бэ	
3-39	628-631	как	
3-40	632-633	а	
3-41	634-635	в	
3-42	636-643	степени	
3-43	644-646	цэ	
3-44	646-647	.	

#Text=Как это сделать, я расскажу на конкретном примере.
4-1	648-651	Как	
4-2	652-655	это	
4-3	656-663	сделать	
4-4	663-664	,	
4-5	665-666	я	
4-6	667-675	расскажу	
4-7	676-678	на	
4-8	679-689	конкретном	
4-9	690-697	примере	
4-10	697-698	.	

#Text=В результате вы получите простое уравнение а в степени эф от икс равняется а в степени цэ.
5-1	699-700	В	
5-2	701-711	результате	
5-3	712-714	вы	
5-4	715-723	получите	
5-5	724-731	простое	
5-6	732-741	уравнение	
5-7	742-743	а	
5-8	744-745	в	
5-9	746-753	степени	
5-10	754-756	эф	
5-11	757-759	от	
5-12	760-763	икс	
5-13	764-773	равняется	
5-14	774-775	а	
5-15	776-777	в	
5-16	778-785	степени	
5-17	786-788	цэ	
5-18	788-789	.	

#Text=После того, как вы это получили, вы переходите к шагу номер два - необходимо приравнять показатели степеней между собой.
6-1	790-795	После	
6-2	796-800	того	
6-3	800-801	,	
6-4	802-805	как	
6-5	806-808	вы	
6-6	809-812	это	
6-7	813-821	получили	
6-8	821-822	,	
6-9	823-825	вы	
6-10	826-836	переходите	
6-11	837-838	к	
6-12	839-843	шагу	
6-13	844-849	номер	
6-14	850-853	два	
6-15	854-855	-	
6-16	856-866	необходимо	
6-17	867-877	приравнять	
6-18	878-888	показатели	
6-19	889-897	степеней	
6-20	898-903	между	
6-21	904-909	собой	
