#FORMAT=WebAnno TSV 3.3


#Text=title: "Условная вероятность"
#Text=yb_link: "https://youtu.be/vWRDAzHhx-g"
#Text=branch: "статистика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:06"
#Text=timecode_end: "4:33"
#Text=text: "Условная вероятность – это вероятность наступления события бэ при условии, что событие а уже произошло.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-16	Условная	
1-5	17-28	вероятность	
1-6	28-29	"	
1-7	30-37	yb_link	
1-8	37-38	:	
1-9	39-40	"	
1-10	40-45	https	
1-11	45-46	:	
1-12	46-47	/	
1-13	47-48	/	
1-14	48-56	youtu.be	
1-15	56-57	/	
1-16	57-68	vWRDAzHhx-g	
1-17	68-69	"	
1-18	70-76	branch	
1-19	76-77	:	
1-20	78-79	"	
1-21	79-89	статистика	
1-22	89-90	"	
1-23	91-96	level	
1-24	96-97	:	
1-25	98-99	"	
1-26	99-107	школьная	
1-27	108-117	программа	
1-28	117-118	"	
1-29	119-133	timecode_start	
1-30	133-134	:	
1-31	135-136	"	
1-32	136-137	0	
1-33	137-138	:	
1-34	138-140	06	
1-35	140-141	"	
1-36	142-154	timecode_end	
1-37	154-155	:	
1-38	156-157	"	
1-39	157-158	4	
1-40	158-159	:	
1-41	159-161	33	
1-42	161-162	"	
1-43	163-167	text	
1-44	167-168	:	
1-45	169-170	"	
1-46	170-178	Условная	
1-47	179-190	вероятность	
1-48	191-192	–	
1-49	193-196	это	
1-50	197-208	вероятность	
1-51	209-220	наступления	
1-52	221-228	события	
1-53	229-231	бэ	
1-54	232-235	при	
1-55	236-243	условии	
1-56	243-244	,	
1-57	245-248	что	
1-58	249-256	событие	
1-59	257-258	а	
1-60	259-262	уже	
1-61	263-272	произошло	
1-62	272-273	.	

#Text=Если вы бросаете игральную кость и хотите найти вероятность выпадания двойки, то это безусловная вероятность, потому что она не зависит ни от чего, кроме бросания самой кости.
2-1	274-278	Если	
2-2	279-281	вы	
2-3	282-290	бросаете	
2-4	291-300	игральную	
2-5	301-306	кость	
2-6	307-308	и	
2-7	309-315	хотите	
2-8	316-321	найти	
2-9	322-333	вероятность	
2-10	334-343	выпадания	
2-11	344-350	двойки	
2-12	350-351	,	
2-13	352-354	то	
2-14	355-358	это	
2-15	359-370	безусловная	
2-16	371-382	вероятность	
2-17	382-383	,	
2-18	384-390	потому	
2-19	391-394	что	
2-20	395-398	она	
2-21	399-401	не	
2-22	402-409	зависит	
2-23	410-412	ни	
2-24	413-415	от	
2-25	416-420	чего	
2-26	420-421	,	
2-27	422-427	кроме	
2-28	428-436	бросания	
2-29	437-442	самой	
2-30	443-448	кости	
2-31	448-449	.	

#Text=Пэ от двойки равняется одна шестая.
3-1	450-452	Пэ	
3-2	453-455	от	
3-3	456-462	двойки	
3-4	463-472	равняется	
3-5	473-477	одна	
3-6	478-484	шестая	
3-7	484-485	.	

#Text=Думаю, это всем понятно.
4-1	486-491	Думаю	
4-2	491-492	,	
4-3	493-496	это	
4-4	497-501	всем	
4-5	502-509	понятно	
4-6	509-510	.	

#Text=А если вы хотите найти вероятность того, что стрелок попадёт по мишени из лука при условии, что ему может достаться лук, или автомат, или рогатка, то это уже будет условная вероятность.
5-1	511-512	А	
5-2	513-517	если	
5-3	518-520	вы	
5-4	521-527	хотите	
5-5	528-533	найти	
5-6	534-545	вероятность	
5-7	546-550	того	
5-8	550-551	,	
5-9	552-555	что	
5-10	556-563	стрелок	
5-11	564-571	попадёт	
5-12	572-574	по	
5-13	575-581	мишени	
5-14	582-584	из	
5-15	585-589	лука	
5-16	590-593	при	
5-17	594-601	условии	
5-18	601-602	,	
5-19	603-606	что	
5-20	607-610	ему	
5-21	611-616	может	
5-22	617-626	достаться	
5-23	627-630	лук	
5-24	630-631	,	
5-25	632-635	или	
5-26	636-643	автомат	
5-27	643-644	,	
5-28	645-648	или	
5-29	649-656	рогатка	
5-30	656-657	,	
5-31	658-660	то	
5-32	661-664	это	
5-33	665-668	уже	
5-34	669-674	будет	
5-35	675-683	условная	
5-36	684-695	вероятность	
5-37	695-696	.	

#Text=И чтобы её найти, важно понимать ещё одно понятие теории вероятности, а именно – произведение двух событий.
6-1	697-698	И	
6-2	699-704	чтобы	
6-3	705-707	её	
6-4	708-713	найти	
6-5	713-714	,	
6-6	715-720	важно	
6-7	721-729	понимать	
6-8	730-733	ещё	
6-9	734-738	одно	
6-10	739-746	понятие	
6-11	747-753	теории	
6-12	754-765	вероятности	
6-13	765-766	,	
6-14	767-768	а	
6-15	769-775	именно	
6-16	776-777	–	
6-17	778-790	произведение	
6-18	791-795	двух	
6-19	796-803	событий	
6-20	803-804	.	

#Text=Событие а бэ называется произведением двух событий а и бэ, если оба этих события наступили.
7-1	805-812	Событие	
7-2	813-814	а	
7-3	815-817	бэ	
7-4	818-828	называется	
7-5	829-842	произведением	
7-6	843-847	двух	
7-7	848-855	событий	
7-8	856-857	а	
7-9	858-859	и	
7-10	860-862	бэ	
7-11	862-863	,	
7-12	864-868	если	
7-13	869-872	оба	
7-14	873-877	этих	
7-15	878-885	события	
7-16	886-895	наступили	
7-17	895-896	.	

#Text=В данном примере события а, бэ – это вероятность того, что стрелку достался лук, и он попал из него по мишени.
8-1	897-898	В	
8-2	899-905	данном	
8-3	906-913	примере	
