#FORMAT=WebAnno TSV 3.3


#Text=title: "Комбинаторика: сочетания с повторениями"
#Text=yb_link: "https://youtu.be/Ba57_hGBYm8"
#Text=branch: "статистика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:07"
#Text=timecode_end: "4:02"
#Text=text: "Сегодня мы говорим про сочетания с повторениями.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-21	Комбинаторика	
1-5	21-22	:	
1-6	23-32	сочетания	
1-7	33-34	с	
1-8	35-47	повторениями	
1-9	47-48	"	
1-10	49-56	yb_link	
1-11	56-57	:	
1-12	58-59	"	
1-13	59-64	https	
1-14	64-65	:	
1-15	65-66	/	
1-16	66-67	/	
1-17	67-75	youtu.be	
1-18	75-76	/	
1-19	76-80	Ba57	
1-20	80-81	_	
1-21	81-87	hGBYm8	
1-22	87-88	"	
1-23	89-95	branch	
1-24	95-96	:	
1-25	97-98	"	
1-26	98-108	статистика	
1-27	108-109	"	
1-28	110-115	level	
1-29	115-116	:	
1-30	117-118	"	
1-31	118-126	школьная	
1-32	127-136	программа	
1-33	136-137	"	
1-34	138-152	timecode_start	
1-35	152-153	:	
1-36	154-155	"	
1-37	155-156	0	
1-38	156-157	:	
1-39	157-159	07	
1-40	159-160	"	
1-41	161-173	timecode_end	
1-42	173-174	:	
1-43	175-176	"	
1-44	176-177	4	
1-45	177-178	:	
1-46	178-180	02	
1-47	180-181	"	
1-48	182-186	text	
1-49	186-187	:	
1-50	188-189	"	
1-51	189-196	Сегодня	
1-52	197-199	мы	
1-53	200-207	говорим	
1-54	208-211	про	
1-55	212-221	сочетания	
1-56	222-223	с	
1-57	224-236	повторениями	
1-58	236-237	.	

#Text=Сначала вкратце напомню, что такое обычное сочетание.
2-1	238-245	Сначала	
2-2	246-253	вкратце	
2-3	254-261	напомню	
2-4	261-262	,	
2-5	263-266	что	
2-6	267-272	такое	
2-7	273-280	обычное	
2-8	281-290	сочетание	
2-9	290-291	.	

#Text=Пусть у нас есть эн различимых элементов, которые мы можем, например, пронумеровать от одного до эн, и мы выбираем ка элементов, причём, таким образом, что мы случайным образом отсюда берём какой-то элемент, допустим, второй, и отсюда мы его вычёркиваем, то есть, мы больше его уже использовать не будем.
3-1	292-297	Пусть	
3-2	298-299	у	
3-3	300-303	нас	
3-4	304-308	есть	
3-5	309-311	эн	
3-6	312-322	различимых	
3-7	323-332	элементов	
3-8	332-333	,	
3-9	334-341	которые	
3-10	342-344	мы	
3-11	345-350	можем	
3-12	350-351	,	
3-13	352-360	например	
3-14	360-361	,	
3-15	362-375	пронумеровать	
3-16	376-378	от	
3-17	379-385	одного	
3-18	386-388	до	
3-19	389-391	эн	
3-20	391-392	,	
3-21	393-394	и	
3-22	395-397	мы	
3-23	398-406	выбираем	
3-24	407-409	ка	
3-25	410-419	элементов	
3-26	419-420	,	
3-27	421-427	причём	
3-28	427-428	,	
3-29	429-434	таким	
3-30	435-442	образом	
3-31	442-443	,	
3-32	444-447	что	
3-33	448-450	мы	
3-34	451-460	случайным	
3-35	461-468	образом	
3-36	469-475	отсюда	
3-37	476-481	берём	
3-38	482-490	какой-то	
3-39	491-498	элемент	
3-40	498-499	,	
3-41	500-508	допустим	
3-42	508-509	,	
3-43	510-516	второй	
3-44	516-517	,	
3-45	518-519	и	
3-46	520-526	отсюда	
3-47	527-529	мы	
3-48	530-533	его	
3-49	534-545	вычёркиваем	
3-50	545-546	,	
3-51	547-549	то	
3-52	550-554	есть	
3-53	554-555	,	
3-54	556-558	мы	
3-55	559-565	больше	
3-56	566-569	его	
3-57	570-573	уже	
3-58	574-586	использовать	
3-59	587-589	не	
3-60	590-595	будем	
3-61	595-596	.	

#Text=И мы составляем какую-то последовательность условно, причём, если у нас последовательности получаются одного состава, то есть, состоят из тех же элементов, но в разном порядке, эти последовательности мы считаем одинаковыми, то есть, нас интересуют последовательности одинаковые по составу, по номерам элементов, которые мы отсюда выбрали, но не по порядку.
4-1	597-598	И	
4-2	599-601	мы	
4-3	602-612	составляем	
4-4	613-621	какую-то	
4-5	622-640	последовательность	
4-6	641-648	условно	
4-7	648-649	,	
4-8	650-656	причём	
4-9	656-657	,	
4-10	658-662	если	
4-11	663-664	у	
4-12	665-668	нас	
4-13	669-687	последовательности	
4-14	688-698	получаются	
4-15	699-705	одного	
4-16	706-713	состава	
4-17	713-714	,	
4-18	715-717	то	
4-19	718-722	есть	
4-20	722-723	,	
4-21	724-731	состоят	
4-22	732-734	из	
4-23	735-738	тех	
4-24	739-741	же	
4-25	742-751	элементов	
4-26	751-752	,	
4-27	753-755	но	
4-28	756-757	в	
4-29	758-764	разном	
4-30	765-772	порядке	
4-31	772-773	,	
4-32	774-777	эти	
4-33	778-796	последовательности	
4-34	797-799	мы	
4-35	800-807	считаем	
4-36	808-819	одинаковыми	
4-37	819-820	,	
4-38	821-823	то	
4-39	824-828	есть	
4-40	828-829	,	
4-41	830-833	нас	
4-42	834-844	интересуют	
4-43	845-863	последовательности	
4-44	864-874	одинаковые	
4-45	875-877	по	
4-46	878-885	составу	
4-47	885-886	,	
4-48	887-889	по	
4-49	890-897	номерам	
4-50	898-907	элементов	
4-51	907-908	,	
4-52	909-916	которые	
4-53	917-919	мы	
4-54	920-926	отсюда	
4-55	927-934	выбрали	
4-56	934-935	,	
