#FORMAT=WebAnno TSV 3.3


#Text=title: "Формула полной вероятности"\r
#Text=yb_link: "https://youtu.be/DaDQdqftavc"\r
#Text=branch: "статистика"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:03"\r
#Text=timecode_end: "9:31"\r
#Text=text: "И давайте сейчас разберемся с такой штукой как формула полной вероятности.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-15	Формула	
1-5	16-22	полной	
1-6	23-34	вероятности	
1-7	34-35	"	
1-8	37-44	yb_link	
1-9	44-45	:	
1-10	46-47	"	
1-11	47-52	https	
1-12	52-53	:	
1-13	53-54	/	
1-14	54-55	/	
1-15	55-63	youtu.be	
1-16	63-64	/	
1-17	64-75	DaDQdqftavc	
1-18	75-76	"	
1-19	78-84	branch	
1-20	84-85	:	
1-21	86-87	"	
1-22	87-97	статистика	
1-23	97-98	"	
1-24	100-105	level	
1-25	105-106	:	
1-26	107-108	"	
1-27	108-116	школьная	
1-28	117-126	программа	
1-29	126-127	"	
1-30	129-143	timecode_start	
1-31	143-144	:	
1-32	145-146	"	
1-33	146-147	0	
1-34	147-148	:	
1-35	148-150	03	
1-36	150-151	"	
1-37	153-165	timecode_end	
1-38	165-166	:	
1-39	167-168	"	
1-40	168-169	9	
1-41	169-170	:	
1-42	170-172	31	
1-43	172-173	"	
1-44	175-179	text	
1-45	179-180	:	
1-46	181-182	"	
1-47	182-183	И	
1-48	184-191	давайте	
1-49	192-198	сейчас	
1-50	199-209	разберемся	
1-51	210-211	с	
1-52	212-217	такой	
1-53	218-224	штукой	
1-54	225-228	как	
1-55	229-236	формула	
1-56	237-243	полной	
1-57	244-255	вероятности	
1-58	255-256	.	

#Text=Только перед тем как мы запишем саму формулу, мы прорешаем задачу.
2-1	257-263	Только	
2-2	264-269	перед	
2-3	270-273	тем	
2-4	274-277	как	
2-5	278-280	мы	
2-6	281-288	запишем	
2-7	289-293	саму	
2-8	294-301	формулу	
2-9	301-302	,	
2-10	303-305	мы	
2-11	306-315	прорешаем	
2-12	316-322	задачу	
2-13	322-323	.	

#Text=Задача говорится таким образом: есть вычислительная лаборатория, в которой есть десять вычислительных машин всего, из которых шесть у нас автоматы, а четыре – полуавтоматы.
3-1	324-330	Задача	
3-2	331-340	говорится	
3-3	341-346	таким	
3-4	347-354	образом	
3-5	354-355	:	
3-6	356-360	есть	
3-7	361-375	вычислительная	
3-8	376-387	лаборатория	
3-9	387-388	,	
3-10	389-390	в	
3-11	391-398	которой	
3-12	399-403	есть	
3-13	404-410	десять	
3-14	411-425	вычислительных	
3-15	426-431	машин	
3-16	432-437	всего	
3-17	437-438	,	
3-18	439-441	из	
3-19	442-449	которых	
3-20	450-455	шесть	
3-21	456-457	у	
3-22	458-461	нас	
3-23	462-470	автоматы	
3-24	470-471	,	
3-25	472-473	а	
3-26	474-480	четыре	
3-27	481-482	–	
3-28	483-495	полуавтоматы	
3-29	495-496	.	

#Text=То есть, шесть автоматов, автоматических машин, и четыре полуавтоматические.
4-1	497-499	То	
4-2	500-504	есть	
4-3	504-505	,	
4-4	506-511	шесть	
4-5	512-521	автоматов	
4-6	521-522	,	
4-7	523-537	автоматических	
4-8	538-543	машин	
4-9	543-544	,	
4-10	545-546	и	
4-11	547-553	четыре	
4-12	554-572	полуавтоматические	
4-13	572-573	.	

#Text=Вероятность того, что автоматическая машина выйдет из строя, вернее, не выйдет из строя, будет ноль целых девяносто пять сотых.
5-1	574-585	Вероятность	
5-2	586-590	того	
5-3	590-591	,	
5-4	592-595	что	
5-5	596-610	автоматическая	
5-6	611-617	машина	
5-7	618-624	выйдет	
5-8	625-627	из	
5-9	628-633	строя	
5-10	633-634	,	
5-11	635-641	вернее	
5-12	641-642	,	
5-13	643-645	не	
5-14	646-652	выйдет	
5-15	653-655	из	
5-16	656-661	строя	
5-17	661-662	,	
5-18	663-668	будет	
5-19	669-673	ноль	
5-20	674-679	целых	
5-21	680-689	девяносто	
5-22	690-694	пять	
5-23	695-700	сотых	
5-24	700-701	.	

#Text=Для полуавтоматической – это ноль восемь.
6-1	702-705	Для	
6-2	706-724	полуавтоматической	
6-3	725-726	–	
6-4	727-730	это	
6-5	731-735	ноль	
6-6	736-742	восемь	
6-7	742-743	.	

#Text=И нам нужно найти вероятность того, что когда студент зайдет и наугад выберет любую из них, то все будет в порядке.
7-1	744-745	И	
7-2	746-749	нам	
7-3	750-755	нужно	
7-4	756-761	найти	
7-5	762-773	вероятность	
7-6	774-778	того	
7-7	778-779	,	
7-8	780-783	что	
7-9	784-789	когда	
7-10	790-797	студент	
7-11	798-804	зайдет	
7-12	805-806	и	
7-13	807-813	наугад	
7-14	814-821	выберет	
7-15	822-827	любую	
7-16	828-830	из	
7-17	831-834	них	
7-18	834-835	,	
7-19	836-838	то	
7-20	839-842	все	
7-21	843-848	будет	
7-22	849-850	в	
7-23	851-858	порядке	
7-24	858-859	.	

#Text=Давайте эту штуку посчитаем.
8-1	860-867	Давайте	
8-2	868-871	эту	
8-3	872-877	штуку	
8-4	878-887	посчитаем	
8-5	887-888	.	

#Text=Во-первых, нужно посчитать вероятность того, что он сядет там за автомат или за полуавтомат.
9-1	889-898	Во-первых	
9-2	898-899	,	
9-3	900-905	нужно	
9-4	906-915	посчитать	
