#FORMAT=WebAnno TSV 3.3


#Text=title: "Умножение и сложение вероятностей"\r
#Text=yb_link: "https://youtu.be/yog4S78SMQo"\r
#Text=branch: "статистика"\r
#Text=level: "университетская программа"\r
#Text=timecode_start: "0:09"\r
#Text=timecode_end: "12:38"\r
#Text=text: "Сегодня мы поговорим про сложение и умножение вероятностей и рассмотрим несколько задач на решение.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-17	Умножение	
1-5	18-19	и	
1-6	20-28	сложение	
1-7	29-41	вероятностей	
1-8	41-42	"	
1-9	44-51	yb_link	
1-10	51-52	:	
1-11	53-54	"	
1-12	54-59	https	
1-13	59-60	:	
1-14	60-61	/	
1-15	61-62	/	
1-16	62-70	youtu.be	
1-17	70-71	/	
1-18	71-82	yog4S78SMQo	
1-19	82-83	"	
1-20	85-91	branch	
1-21	91-92	:	
1-22	93-94	"	
1-23	94-104	статистика	
1-24	104-105	"	
1-25	107-112	level	
1-26	112-113	:	
1-27	114-115	"	
1-28	115-130	университетская	
1-29	131-140	программа	
1-30	140-141	"	
1-31	143-157	timecode_start	
1-32	157-158	:	
1-33	159-160	"	
1-34	160-161	0	
1-35	161-162	:	
1-36	162-164	09	
1-37	164-165	"	
1-38	167-179	timecode_end	
1-39	179-180	:	
1-40	181-182	"	
1-41	182-184	12	
1-42	184-185	:	
1-43	185-187	38	
1-44	187-188	"	
1-45	190-194	text	
1-46	194-195	:	
1-47	196-197	"	
1-48	197-204	Сегодня	
1-49	205-207	мы	
1-50	208-217	поговорим	
1-51	218-221	про	
1-52	222-230	сложение	
1-53	231-232	и	
1-54	233-242	умножение	
1-55	243-255	вероятностей	
1-56	256-257	и	
1-57	258-268	рассмотрим	
1-58	269-278	несколько	
1-59	279-284	задач	
1-60	285-287	на	
1-61	288-295	решение	
1-62	295-296	.	

#Text=Какие вероятности мы можем складывать, а какие умножать?
2-1	297-302	Какие	
2-2	303-314	вероятности	
2-3	315-317	мы	
2-4	318-323	можем	
2-5	324-334	складывать	
2-6	334-335	,	
2-7	336-337	а	
2-8	338-343	какие	
2-9	344-352	умножать	
2-10	352-353	?	

#Text=Складывать мы можем вероятности в том случае, если события несовместные.
3-1	354-364	Складывать	
3-2	365-367	мы	
3-3	368-373	можем	
3-4	374-385	вероятности	
3-5	386-387	в	
3-6	388-391	том	
3-7	392-398	случае	
3-8	398-399	,	
3-9	400-404	если	
3-10	405-412	события	
3-11	413-425	несовместные	
3-12	425-426	.	

#Text=Запишем плюсик, если событие несовместное, а минус… точнее не минус, а умножить, если события будут независимые.
4-1	427-434	Запишем	
4-2	435-441	плюсик	
4-3	441-442	,	
4-4	443-447	если	
4-5	448-455	событие	
4-6	456-468	несовместное	
4-7	468-469	,	
4-8	470-471	а	
4-9	472-477	минус	
4-10	477-478	…	
4-11	479-485	точнее	
4-12	486-488	не	
4-13	489-494	минус	
4-14	494-495	,	
4-15	496-497	а	
4-16	498-506	умножить	
4-17	506-507	,	
4-18	508-512	если	
4-19	513-520	события	
4-20	521-526	будут	
4-21	527-538	независимые	
4-22	538-539	.	

#Text=Как отличать вот эти события между собой: несовместные события – это те, которые выходят из какого-то одного действия.
5-1	540-543	Как	
5-2	544-552	отличать	
5-3	553-556	вот	
5-4	557-560	эти	
5-5	561-568	события	
5-6	569-574	между	
5-7	575-580	собой	
5-8	580-581	:	
5-9	582-594	несовместные	
5-10	595-602	события	
5-11	603-604	–	
5-12	605-608	это	
5-13	609-611	те	
5-14	611-612	,	
5-15	613-620	которые	
5-16	621-628	выходят	
5-17	629-631	из	
5-18	632-641	какого-то	
5-19	642-648	одного	
5-20	649-657	действия	
5-21	657-658	.	

#Text=Ну, например, у нас есть тридцать шесть карт, и мы достаем карту.
6-1	659-661	Ну	
6-2	661-662	,	
6-3	663-671	например	
6-4	671-672	,	
6-5	673-674	у	
6-6	675-678	нас	
6-7	679-683	есть	
6-8	684-692	тридцать	
6-9	693-698	шесть	
6-10	699-703	карт	
6-11	703-704	,	
6-12	705-706	и	
6-13	707-709	мы	
6-14	710-717	достаем	
6-15	718-723	карту	
6-16	723-724	.	

#Text=Это может быть валет, а может быть дама пиковая, а может быть семерка и так далее.
7-1	725-728	Это	
7-2	729-734	может	
7-3	735-739	быть	
7-4	740-745	валет	
7-5	745-746	,	
7-6	747-748	а	
7-7	749-754	может	
7-8	755-759	быть	
7-9	760-764	дама	
7-10	765-772	пиковая	
7-11	772-773	,	
7-12	774-775	а	
7-13	776-781	может	
7-14	782-786	быть	
7-15	787-794	семерка	
7-16	795-796	и	
7-17	797-800	так	
7-18	801-806	далее	
7-19	806-807	.	

#Text=То есть, все это происходит из одного действия, из того, что мы достаем вот карту.
8-1	808-810	То	
8-2	811-815	есть	
8-3	815-816	,	
8-4	817-820	все	
8-5	821-824	это	
8-6	825-835	происходит	
8-7	836-838	из	
8-8	839-845	одного	
8-9	846-854	действия	
8-10	854-855	,	
8-11	856-858	из	
8-12	859-863	того	
8-13	863-864	,	
8-14	865-868	что	
8-15	869-871	мы	
8-16	872-879	достаем	
8-17	880-883	вот	
8-18	884-889	карту	
8-19	889-890	.	

#Text=И если мы захотим найти вероятность того, что выпадет валет, например, или семерка, то для этого мы берем вероятность того, что выпадет валет и складываем с вероятностью того, что выпадет семерка.
