#FORMAT=WebAnno TSV 3.3


#Text=title: "Условная вероятность.Формула Байеса"\r
#Text=yb_link: "https://youtu.be/eAUNKupeFA0"\r
#Text=branch: "статистика"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:04"\r
#Text=timecode_end: "7:38"\r
#Text=text: "И сразу немного слов о том, что такое условная вероятность.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-16	Условная	
1-5	17-36	вероятность.Формула	
1-6	37-43	Байеса	
1-7	43-44	"	
1-8	46-53	yb_link	
1-9	53-54	:	
1-10	55-56	"	
1-11	56-61	https	
1-12	61-62	:	
1-13	62-63	/	
1-14	63-64	/	
1-15	64-72	youtu.be	
1-16	72-73	/	
1-17	73-84	eAUNKupeFA0	
1-18	84-85	"	
1-19	87-93	branch	
1-20	93-94	:	
1-21	95-96	"	
1-22	96-106	статистика	
1-23	106-107	"	
1-24	109-114	level	
1-25	114-115	:	
1-26	116-117	"	
1-27	117-125	школьная	
1-28	126-135	программа	
1-29	135-136	"	
1-30	138-152	timecode_start	
1-31	152-153	:	
1-32	154-155	"	
1-33	155-156	0	
1-34	156-157	:	
1-35	157-159	04	
1-36	159-160	"	
1-37	162-174	timecode_end	
1-38	174-175	:	
1-39	176-177	"	
1-40	177-178	7	
1-41	178-179	:	
1-42	179-181	38	
1-43	181-182	"	
1-44	184-188	text	
1-45	188-189	:	
1-46	190-191	"	
1-47	191-192	И	
1-48	193-198	сразу	
1-49	199-206	немного	
1-50	207-211	слов	
1-51	212-213	о	
1-52	214-217	том	
1-53	217-218	,	
1-54	219-222	что	
1-55	223-228	такое	
1-56	229-237	условная	
1-57	238-249	вероятность	
1-58	249-250	.	

#Text=Условная вероятность ― это когда мы смотрим вероятность какого-то события при условии, что произошло другое событие.
2-1	251-259	Условная	
2-2	260-271	вероятность	
2-3	272-273	―	
2-4	274-277	это	
2-5	278-283	когда	
2-6	284-286	мы	
2-7	287-294	смотрим	
2-8	295-306	вероятность	
2-9	307-316	какого-то	
2-10	317-324	события	
2-11	325-328	при	
2-12	329-336	условии	
2-13	336-337	,	
2-14	338-341	что	
2-15	342-351	произошло	
2-16	352-358	другое	
2-17	359-366	событие	
2-18	366-367	.	

#Text=Ну вот например, мы можем рассматривать вероятность того, что пойдет дождь, а можем рассматривать вероятность того, что пойдет дождь, если, например, завтра солнечно или если завтра будет пасмурно.
3-1	368-370	Ну	
3-2	371-374	вот	
3-3	375-383	например	
3-4	383-384	,	
3-5	385-387	мы	
3-6	388-393	можем	
3-7	394-407	рассматривать	
3-8	408-419	вероятность	
3-9	420-424	того	
3-10	424-425	,	
3-11	426-429	что	
3-12	430-436	пойдет	
3-13	437-442	дождь	
3-14	442-443	,	
3-15	444-445	а	
3-16	446-451	можем	
3-17	452-465	рассматривать	
3-18	466-477	вероятность	
3-19	478-482	того	
3-20	482-483	,	
3-21	484-487	что	
3-22	488-494	пойдет	
3-23	495-500	дождь	
3-24	500-501	,	
3-25	502-506	если	
3-26	506-507	,	
3-27	508-516	например	
3-28	516-517	,	
3-29	518-524	завтра	
3-30	525-533	солнечно	
3-31	534-537	или	
3-32	538-542	если	
3-33	543-549	завтра	
3-34	550-555	будет	
3-35	556-564	пасмурно	
3-36	564-565	.	

#Text=Ну, то есть, будут, соответственно, разные вероятности.
4-1	566-568	Ну	
4-2	568-569	,	
4-3	570-572	то	
4-4	573-577	есть	
4-5	577-578	,	
4-6	579-584	будут	
4-7	584-585	,	
4-8	586-600	соответственно	
4-9	600-601	,	
4-10	602-608	разные	
4-11	609-620	вероятности	
4-12	620-621	.	

#Text=Условная вероятность события а при условии, что произошло событие бэ записывается таким образом: и ищется как то, что они произойдут совместно, деленное на вероятность события а.
5-1	622-630	Условная	
5-2	631-642	вероятность	
5-3	643-650	события	
5-4	651-652	а	
5-5	653-656	при	
5-6	657-664	условии	
5-7	664-665	,	
5-8	666-669	что	
5-9	670-679	произошло	
5-10	680-687	событие	
5-11	688-690	бэ	
5-12	691-703	записывается	
5-13	704-709	таким	
5-14	710-717	образом	
5-15	717-718	:	
5-16	719-720	и	
5-17	721-727	ищется	
5-18	728-731	как	
5-19	732-734	то	
5-20	734-735	,	
5-21	736-739	что	
5-22	740-743	они	
5-23	744-754	произойдут	
5-24	755-764	совместно	
5-25	764-765	,	
5-26	766-774	деленное	
5-27	775-777	на	
5-28	778-789	вероятность	
5-29	790-797	события	
5-30	798-799	а	
5-31	799-800	.	

#Text=В нашем случае брошены две игральные кости, нужно найти условную вероятность того, что выпадет две пятерки, если известно, что сумма выпавших очков делится на пять.
6-1	803-804	В	
6-2	805-810	нашем	
6-3	811-817	случае	
6-4	818-825	брошены	
6-5	826-829	две	
6-6	830-839	игральные	
6-7	840-845	кости	
6-8	845-846	,	
6-9	847-852	нужно	
6-10	853-858	найти	
6-11	859-867	условную	
6-12	868-879	вероятность	
6-13	880-884	того	
6-14	884-885	,	
6-15	886-889	что	
6-16	890-897	выпадет	
6-17	898-901	две	
6-18	902-909	пятерки	
6-19	909-910	,	
6-20	911-915	если	
6-21	916-924	известно	
6-22	924-925	,	
6-23	926-929	что	
6-24	930-935	сумма	
6-25	936-944	выпавших	
6-26	945-950	очков	
6-27	951-958	делится	
6-28	959-961	на	
6-29	962-966	пять	
6-30	966-967	.	
