#FORMAT=WebAnno TSV 3.3


#Text=title: "10 класс, 49 урок, Случайные события и их вероятности"\r
#Text=yb_link: "https://youtu.be/Fs7UkW3Rs04"\r
#Text=branch: "статистика"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:00"\r
#Text=timecode_end: "6:59"\r
#Text=text: "Здравствуйте, тема данного видео урока ― случайные события и их вероятности.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-10	10	
1-5	11-16	класс	
1-6	16-17	,	
1-7	18-20	49	
1-8	21-25	урок	
1-9	25-26	,	
1-10	27-36	Случайные	
1-11	37-44	события	
1-12	45-46	и	
1-13	47-49	их	
1-14	50-61	вероятности	
1-15	61-62	"	
1-16	64-71	yb_link	
1-17	71-72	:	
1-18	73-74	"	
1-19	74-79	https	
1-20	79-80	:	
1-21	80-81	/	
1-22	81-82	/	
1-23	82-90	youtu.be	
1-24	90-91	/	
1-25	91-102	Fs7UkW3Rs04	
1-26	102-103	"	
1-27	105-111	branch	
1-28	111-112	:	
1-29	113-114	"	
1-30	114-124	статистика	
1-31	124-125	"	
1-32	127-132	level	
1-33	132-133	:	
1-34	134-135	"	
1-35	135-143	школьная	
1-36	144-153	программа	
1-37	153-154	"	
1-38	156-170	timecode_start	
1-39	170-171	:	
1-40	172-173	"	
1-41	173-174	0	
1-42	174-175	:	
1-43	175-177	00	
1-44	177-178	"	
1-45	180-192	timecode_end	
1-46	192-193	:	
1-47	194-195	"	
1-48	195-196	6	
1-49	196-197	:	
1-50	197-199	59	
1-51	199-200	"	
1-52	202-206	text	
1-53	206-207	:	
1-54	208-209	"	
1-55	209-221	Здравствуйте	
1-56	221-222	,	
1-57	223-227	тема	
1-58	228-235	данного	
1-59	236-241	видео	
1-60	242-247	урока	
1-61	248-249	―	
1-62	250-259	случайные	
1-63	260-267	события	
1-64	268-269	и	
1-65	270-272	их	
1-66	273-284	вероятности	
1-67	284-285	.	

#Text=Давайте рассмотрим следующий пример: пусть у нас есть игральный кубик, который мы подбрасываем, и в результате у нас может выпасть следующее.
2-1	286-293	Давайте	
2-2	294-304	рассмотрим	
2-3	305-314	следующий	
2-4	315-321	пример	
2-5	321-322	:	
2-6	323-328	пусть	
2-7	329-330	у	
2-8	331-334	нас	
2-9	335-339	есть	
2-10	340-349	игральный	
2-11	350-355	кубик	
2-12	355-356	,	
2-13	357-364	который	
2-14	365-367	мы	
2-15	368-380	подбрасываем	
2-16	380-381	,	
2-17	382-383	и	
2-18	384-385	в	
2-19	386-396	результате	
2-20	397-398	у	
2-21	399-402	нас	
2-22	403-408	может	
2-23	409-416	выпасть	
2-24	417-426	следующее	
2-25	426-427	.	

#Text=У нас может выпасть единица, либо двойка, либо тройка, четверка, пятерка, либо шестерка.
3-1	428-429	У	
3-2	430-433	нас	
3-3	434-439	может	
3-4	440-447	выпасть	
3-5	448-455	единица	
3-6	455-456	,	
3-7	457-461	либо	
3-8	462-468	двойка	
3-9	468-469	,	
3-10	470-474	либо	
3-11	475-481	тройка	
3-12	481-482	,	
3-13	483-491	четверка	
3-14	491-492	,	
3-15	493-500	пятерка	
3-16	500-501	,	
3-17	502-506	либо	
3-18	507-515	шестерка	
3-19	515-516	.	

#Text=Это у нас все возможные варианты, какие могут попасться сверху.
4-1	517-520	Это	
4-2	521-522	у	
4-3	523-526	нас	
4-4	527-530	все	
4-5	531-540	возможные	
4-6	541-549	варианты	
4-7	549-550	,	
4-8	551-556	какие	
4-9	557-562	могут	
4-10	563-572	попасться	
4-11	573-579	сверху	
4-12	579-580	.	

#Text=Давайте попробуем найти вероятность события… следующего события: что выпадет именно двойка.
5-1	581-588	Давайте	
5-2	589-598	попробуем	
5-3	599-604	найти	
5-4	605-616	вероятность	
5-5	617-624	события	
5-6	624-625	…	
5-7	626-636	следующего	
5-8	637-644	события	
5-9	644-645	:	
5-10	646-649	что	
5-11	650-657	выпадет	
5-12	658-664	именно	
5-13	665-671	двойка	
5-14	671-672	.	

#Text=Для того, чтобы найти вероятность некоторого события, поступаем следующим образом.
6-1	673-676	Для	
6-2	677-681	того	
6-3	681-682	,	
6-4	683-688	чтобы	
6-5	689-694	найти	
6-6	695-706	вероятность	
6-7	707-717	некоторого	
6-8	718-725	события	
6-9	725-726	,	
6-10	727-736	поступаем	
6-11	737-746	следующим	
6-12	747-754	образом	
6-13	754-755	.	

#Text=Мы сначала смотрим количество всех возможных исходов, в данном случае это шесть возможных исходов.
7-1	756-758	Мы	
7-2	759-766	сначала	
7-3	767-774	смотрим	
7-4	775-785	количество	
7-5	786-790	всех	
7-6	791-800	возможных	
7-7	801-808	исходов	
7-8	808-809	,	
7-9	810-811	в	
7-10	812-818	данном	
7-11	819-825	случае	
7-12	826-829	это	
7-13	830-835	шесть	
7-14	836-845	возможных	
7-15	846-853	исходов	
7-16	853-854	.	

#Text=И берем из из них столько исходов, которые нас удовлетворят.
8-1	855-856	И	
8-2	857-862	берем	
8-3	863-865	из	
8-4	866-868	из	
8-5	869-872	них	
8-6	873-880	столько	
8-7	881-888	исходов	
8-8	888-889	,	
8-9	890-897	которые	
8-10	898-901	нас	
8-11	902-914	удовлетворят	
8-12	914-915	.	

#Text=В нашем случае это один исход, именно когда выпадает двойка.
9-1	916-917	В	
9-2	918-923	нашем	
