#FORMAT=WebAnno TSV 3.3


#Text=title: "Математический анализ, 1 урок, Предел числовой \tпоследовательности"\r
#Text=yb_link: "https://www.youtube.com/watch?
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-22	Математический	
1-5	23-29	анализ	
1-6	29-30	,	
1-7	31-32	1	
1-8	33-37	урок	
1-9	37-38	,	
1-10	39-45	Предел	
1-11	46-54	числовой	
1-12	56-74	последовательности	
1-13	74-75	"	
1-14	77-84	yb_link	
1-15	84-85	:	
1-16	86-87	"	
1-17	87-92	https	
1-18	92-93	:	
1-19	93-94	/	
1-20	94-95	/	
1-21	95-110	www.youtube.com	
1-22	110-111	/	
1-23	111-116	watch	
1-24	116-117	?	

#Text=v=ZAiDxlBCW28"\r
#Text=branch: "теория функций"\r
#Text=level: "университетская программа"\r
#Text=timecode_start: "0:00"\r
#Text=timecode_end: "16:58"\r
#Text=text: "Здравствуйте.
2-1	117-118	v	
2-2	118-119	=	
2-3	119-130	ZAiDxlBCW28	
2-4	130-131	"	
2-5	133-139	branch	
2-6	139-140	:	
2-7	141-142	"	
2-8	142-148	теория	
2-9	149-156	функций	
2-10	156-157	"	
2-11	159-164	level	
2-12	164-165	:	
2-13	166-167	"	
2-14	167-182	университетская	
2-15	183-192	программа	
2-16	192-193	"	
2-17	195-209	timecode_start	
2-18	209-210	:	
2-19	211-212	"	
2-20	212-213	0	
2-21	213-214	:	
2-22	214-216	00	
2-23	216-217	"	
2-24	219-231	timecode_end	
2-25	231-232	:	
2-26	233-234	"	
2-27	234-236	16	
2-28	236-237	:	
2-29	237-239	58	
2-30	239-240	"	
2-31	242-246	text	
2-32	246-247	:	
2-33	248-249	"	
2-34	249-261	Здравствуйте	
2-35	261-262	.	

#Text=Мы с вами начинаем изучать пределы.
3-1	263-265	Мы	
3-2	266-267	с	
3-3	268-272	вами	
3-4	273-281	начинаем	
3-5	282-289	изучать	
3-6	290-297	пределы	
3-7	297-298	.	

#Text=И первая тема это предел числовой последовательности.
4-1	299-300	И	
4-2	301-307	первая	
4-3	308-312	тема	
4-4	313-316	это	
4-5	317-323	предел	
4-6	324-332	числовой	
4-7	333-351	последовательности	
4-8	351-352	.	

#Text=Напомню, что числовая последовательность – это занумерованный ряд чисел.
5-1	353-360	Напомню	
5-2	360-361	,	
5-3	362-365	что	
5-4	366-374	числовая	
5-5	375-393	последовательность	
5-6	394-395	–	
5-7	396-399	это	
5-8	400-414	занумерованный	
5-9	415-418	ряд	
5-10	419-424	чисел	
5-11	424-425	.	

#Text=Например, а один, а два – и так далее – а эн и так далее.
6-1	426-434	Например	
6-2	434-435	,	
6-3	436-437	а	
6-4	438-442	один	
6-5	442-443	,	
6-6	444-445	а	
6-7	446-449	два	
6-8	450-451	–	
6-9	452-453	и	
6-10	454-457	так	
6-11	458-463	далее	
6-12	464-465	–	
6-13	466-467	а	
6-14	468-470	эн	
6-15	471-472	и	
6-16	473-476	так	
6-17	477-482	далее	
6-18	482-483	.	

#Text=И индекс снизу показывает номер этого числа.
7-1	484-485	И	
7-2	486-492	индекс	
7-3	493-498	снизу	
7-4	499-509	показывает	
7-5	510-515	номер	
7-6	516-521	этого	
7-7	522-527	числа	
7-8	527-528	.	

#Text=Или, что то же самое, числовая последовательность – это функция натурального аргумента.
8-1	529-532	Или	
8-2	532-533	,	
8-3	534-537	что	
8-4	538-540	то	
8-5	541-543	же	
8-6	544-549	самое	
8-7	549-550	,	
8-8	551-559	числовая	
8-9	560-578	последовательность	
8-10	579-580	–	
8-11	581-584	это	
8-12	585-592	функция	
8-13	593-605	натурального	
8-14	606-615	аргумента	
8-15	615-616	.	

#Text=Обычно мы аргумент функции пишем в скобках, но в числовой последовательности этот аргумент, как правило, мы пишем снизу.
9-1	617-623	Обычно	
9-2	624-626	мы	
9-3	627-635	аргумент	
9-4	636-643	функции	
9-5	644-649	пишем	
9-6	650-651	в	
9-7	652-659	скобках	
9-8	659-660	,	
9-9	661-663	но	
9-10	664-665	в	
9-11	666-674	числовой	
9-12	675-693	последовательности	
9-13	694-698	этот	
9-14	699-707	аргумент	
9-15	707-708	,	
9-16	709-712	как	
9-17	713-720	правило	
9-18	720-721	,	
9-19	722-724	мы	
9-20	725-730	пишем	
9-21	731-736	снизу	
9-22	736-737	.	

#Text=Например, последовательность а эн, которая задается формулой, скажем, три эн делить на пять эн минус один.
10-1	738-746	Например	
10-2	746-747	,	
10-3	748-766	последовательность	
10-4	767-768	а	
10-5	769-771	эн	
10-6	771-772	,	
10-7	773-780	которая	
10-8	781-789	задается	
10-9	790-798	формулой	
10-10	798-799	,	
10-11	800-806	скажем	
10-12	806-807	,	
10-13	808-811	три	
10-14	812-814	эн	
10-15	815-821	делить	
10-16	822-824	на	
10-17	825-829	пять	
10-18	830-832	эн	
10-19	833-838	минус	
10-20	839-843	один	
10-21	843-844	.	

#Text=Например, если мы хотим вычислить а один, то вместо эн мы ставим один.
11-1	845-853	Например	
11-2	853-854	,	
11-3	855-859	если	
11-4	860-862	мы	
11-5	863-868	хотим	
11-6	869-878	вычислить	
11-7	879-880	а	
11-8	881-885	один	
11-9	885-886	,	
11-10	887-889	то	
11-11	890-896	вместо	
11-12	897-899	эн	
11-13	900-902	мы	
11-14	903-909	ставим	
11-15	910-914	один	
