#FORMAT=WebAnno TSV 3.3


#Text=title: "ЛОГАРИФМИЧЕСКИЕ УРАВНЕНИЯ"\r
#Text=yb_link: "https://youtu.be/59UcVrYn2do"\r
#Text=branch: "уравнения и неравенства"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:00"\r
#Text=timecode_end: "6:47"\r
#Text=text: "Всем привет, тема урока - логарифмические уравнения.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-23	ЛОГАРИФМИЧЕСКИЕ	
1-5	24-33	УРАВНЕНИЯ	
1-6	33-34	"	
1-7	36-43	yb_link	
1-8	43-44	:	
1-9	45-46	"	
1-10	46-51	https	
1-11	51-52	:	
1-12	52-53	/	
1-13	53-54	/	
1-14	54-62	youtu.be	
1-15	62-63	/	
1-16	63-74	59UcVrYn2do	
1-17	74-75	"	
1-18	77-83	branch	
1-19	83-84	:	
1-20	85-86	"	
1-21	86-95	уравнения	
1-22	96-97	и	
1-23	98-109	неравенства	
1-24	109-110	"	
1-25	112-117	level	
1-26	117-118	:	
1-27	119-120	"	
1-28	120-128	школьная	
1-29	129-138	программа	
1-30	138-139	"	
1-31	141-155	timecode_start	
1-32	155-156	:	
1-33	157-158	"	
1-34	158-159	0	
1-35	159-160	:	
1-36	160-162	00	
1-37	162-163	"	
1-38	165-177	timecode_end	
1-39	177-178	:	
1-40	179-180	"	
1-41	180-181	6	
1-42	181-182	:	
1-43	182-184	47	
1-44	184-185	"	
1-45	187-191	text	
1-46	191-192	:	
1-47	193-194	"	
1-48	194-198	Всем	
1-49	199-205	привет	
1-50	205-206	,	
1-51	207-211	тема	
1-52	212-217	урока	
1-53	218-219	-	
1-54	220-235	логарифмические	
1-55	236-245	уравнения	
1-56	245-246	.	

#Text=Логарифм числа бэ по основанию а равен числу цэ.
2-1	247-255	Логарифм	
2-2	256-261	числа	
2-3	262-264	бэ	
2-4	265-267	по	
2-5	268-277	основанию	
2-6	278-279	а	
2-7	280-285	равен	
2-8	286-291	числу	
2-9	292-294	цэ	
2-10	294-295	.	

#Text=Если основание логарифма а возвести в степень цэ, то мы получим число бэ.
3-1	296-300	Если	
3-2	301-310	основание	
3-3	311-320	логарифма	
3-4	321-322	а	
3-5	323-331	возвести	
3-6	332-333	в	
3-7	334-341	степень	
3-8	342-344	цэ	
3-9	344-345	,	
3-10	346-348	то	
3-11	349-351	мы	
3-12	352-359	получим	
3-13	360-365	число	
3-14	366-368	бэ	
3-15	368-369	.	

#Text=Основание логарифма и число, стоящее под логарифмом, должны быть строго больше нуля, и основание логарифма не должно равняться единице.
4-1	370-379	Основание	
4-2	380-389	логарифма	
4-3	390-391	и	
4-4	392-397	число	
4-5	397-398	,	
4-6	399-406	стоящее	
4-7	407-410	под	
4-8	411-421	логарифмом	
4-9	421-422	,	
4-10	423-429	должны	
4-11	430-434	быть	
4-12	435-441	строго	
4-13	442-448	больше	
4-14	449-453	нуля	
4-15	453-454	,	
4-16	455-456	и	
4-17	457-466	основание	
4-18	467-476	логарифма	
4-19	477-479	не	
4-20	480-486	должно	
4-21	487-496	равняться	
4-22	497-504	единице	
4-23	504-505	.	

#Text=Когда мы решаем логарифмическое уравнение, под логарифмом у нас будет стоять какое-то выражение, содержащие переменную икс.
5-1	506-511	Когда	
5-2	512-514	мы	
5-3	515-521	решаем	
5-4	522-537	логарифмическое	
5-5	538-547	уравнение	
5-6	547-548	,	
5-7	549-552	под	
5-8	553-563	логарифмом	
5-9	564-565	у	
5-10	566-569	нас	
5-11	570-575	будет	
5-12	576-582	стоять	
5-13	583-591	какое-то	
5-14	592-601	выражение	
5-15	601-602	,	
5-16	603-613	содержащие	
5-17	614-624	переменную	
5-18	625-628	икс	
5-19	628-629	.	

#Text=И это выражение я обозначу как эф от икс.
6-1	630-631	И	
6-2	632-635	это	
6-3	636-645	выражение	
6-4	646-647	я	
6-5	648-656	обозначу	
6-6	657-660	как	
6-7	661-663	эф	
6-8	664-666	от	
6-9	667-670	икс	
6-10	670-671	.	

#Text=И вот этот весь логарифм будет равен другому логарифму, где подлогарифмическое выражение будет также содержать переменную икс.
7-1	672-673	И	
7-2	674-677	вот	
7-3	678-682	этот	
7-4	683-687	весь	
7-5	688-696	логарифм	
7-6	697-702	будет	
7-7	703-708	равен	
7-8	709-716	другому	
7-9	717-726	логарифму	
7-10	726-727	,	
7-11	728-731	где	
7-12	732-750	подлогарифмическое	
7-13	751-760	выражение	
7-14	761-766	будет	
7-15	767-772	также	
7-16	773-782	содержать	
7-17	783-793	переменную	
7-18	794-797	икс	
7-19	797-798	.	

#Text=Если у нас основания двух логарифмов равны, то мы можем приравнять подлогарифмические выражения и решить это уравнение относительно переменной икс.
8-1	799-803	Если	
8-2	804-805	у	
8-3	806-809	нас	
8-4	810-819	основания	
8-5	820-824	двух	
8-6	825-835	логарифмов	
8-7	836-841	равны	
8-8	841-842	,	
8-9	843-845	то	
8-10	846-848	мы	
8-11	849-854	можем	
8-12	855-865	приравнять	
8-13	866-884	подлогарифмические	
8-14	885-894	выражения	
8-15	895-896	и	
8-16	897-903	решить	
8-17	904-907	это	
8-18	908-917	уравнение	
8-19	918-930	относительно	
8-20	931-941	переменной	
8-21	942-945	икс	
8-22	945-946	.	

