#FORMAT=WebAnno TSV 3.3


#Text=title: "Круги Эйлера"
#Text=yb_link: "https://youtu.be/-FDPQEYLxLo"
#Text=branch: "статистика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:17"
#Text=timecode_end: "5:16"
#Text=text: "Давайте прочитаем условие.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-13	Круги	
1-5	14-20	Эйлера	
1-6	20-21	"	
1-7	22-29	yb_link	
1-8	29-30	:	
1-9	31-32	"	
1-10	32-37	https	
1-11	37-38	:	
1-12	38-39	/	
1-13	39-40	/	
1-14	40-48	youtu.be	
1-15	48-49	/	
1-16	49-50	-	
1-17	50-60	FDPQEYLxLo	
1-18	60-61	"	
1-19	62-68	branch	
1-20	68-69	:	
1-21	70-71	"	
1-22	71-81	статистика	
1-23	81-82	"	
1-24	83-88	level	
1-25	88-89	:	
1-26	90-91	"	
1-27	91-99	школьная	
1-28	100-109	программа	
1-29	109-110	"	
1-30	111-125	timecode_start	
1-31	125-126	:	
1-32	127-128	"	
1-33	128-129	0	
1-34	129-130	:	
1-35	130-132	17	
1-36	132-133	"	
1-37	134-146	timecode_end	
1-38	146-147	:	
1-39	148-149	"	
1-40	149-150	5	
1-41	150-151	:	
1-42	151-153	16	
1-43	153-154	"	
1-44	155-159	text	
1-45	159-160	:	
1-46	161-162	"	
1-47	162-169	Давайте	
1-48	170-179	прочитаем	
1-49	180-187	условие	
1-50	187-188	.	

#Text=Семеро кроликов из живого уголка любят капусту, шестеро – морковь, пятеро – горох, четверо любят капусту и морковь, трое – капусту и горох, двое – морковь и горох, а один – охотно ест всё.
2-1	189-195	Семеро	
2-2	196-204	кроликов	
2-3	205-207	из	
2-4	208-214	живого	
2-5	215-221	уголка	
2-6	222-227	любят	
2-7	228-235	капусту	
2-8	235-236	,	
2-9	237-244	шестеро	
2-10	245-246	–	
2-11	247-254	морковь	
2-12	254-255	,	
2-13	256-262	пятеро	
2-14	263-264	–	
2-15	265-270	горох	
2-16	270-271	,	
2-17	272-279	четверо	
2-18	280-285	любят	
2-19	286-293	капусту	
2-20	294-295	и	
2-21	296-303	морковь	
2-22	303-304	,	
2-23	305-309	трое	
2-24	310-311	–	
2-25	312-319	капусту	
2-26	320-321	и	
2-27	322-327	горох	
2-28	327-328	,	
2-29	329-333	двое	
2-30	334-335	–	
2-31	336-343	морковь	
2-32	344-345	и	
2-33	346-351	горох	
2-34	351-352	,	
2-35	353-354	а	
2-36	355-359	один	
2-37	360-361	–	
2-38	362-368	охотно	
2-39	369-372	ест	
2-40	373-376	всё	
2-41	376-377	.	

#Text=И нас спрашивают, сколько кроликов в живом уголке.
3-1	378-379	И	
3-2	380-383	нас	
3-3	384-394	спрашивают	
3-4	394-395	,	
3-5	396-403	сколько	
3-6	404-412	кроликов	
3-7	413-414	в	
3-8	415-420	живом	
3-9	421-427	уголке	
3-10	427-428	.	

#Text=Чтобы решить эту задачу, надо, прежде всего, нарисовать её условие.
4-1	429-434	Чтобы	
4-2	435-441	решить	
4-3	442-445	эту	
4-4	446-452	задачу	
4-5	452-453	,	
4-6	454-458	надо	
4-7	458-459	,	
4-8	460-466	прежде	
4-9	467-472	всего	
4-10	472-473	,	
4-11	474-484	нарисовать	
4-12	485-487	её	
4-13	488-495	условие	
4-14	495-496	.	

#Text=Вот мы возьмём изобразим круг, вот такой.
5-1	497-500	Вот	
5-2	501-503	мы	
5-3	504-511	возьмём	
5-4	512-521	изобразим	
5-5	522-526	круг	
5-6	526-527	,	
5-7	528-531	вот	
5-8	532-537	такой	
5-9	537-538	.	

#Text=Это кролики, которые любят капусту, их всего семь.
6-1	539-542	Это	
6-2	543-550	кролики	
6-3	550-551	,	
6-4	552-559	которые	
6-5	560-565	любят	
6-6	566-573	капусту	
6-7	573-574	,	
6-8	575-577	их	
6-9	578-583	всего	
6-10	584-588	семь	
6-11	588-589	.	

#Text=А как нам теперь нарисовать кроликов, которые любят морковь?
7-1	590-591	А	
7-2	592-595	как	
7-3	596-599	нам	
7-4	600-606	теперь	
7-5	607-617	нарисовать	
7-6	618-626	кроликов	
7-7	626-627	,	
7-8	628-635	которые	
7-9	636-641	любят	
7-10	642-649	морковь	
7-11	649-650	?	

#Text=Дело в том, что есть такие кролики, которые любят и капусту, и морковь, и поэтому морковный круг имеет пересечение с капустным.
8-1	651-655	Дело	
8-2	656-657	в	
8-3	658-661	том	
8-4	661-662	,	
8-5	663-666	что	
8-6	667-671	есть	
8-7	672-677	такие	
8-8	678-685	кролики	
8-9	685-686	,	
8-10	687-694	которые	
8-11	695-700	любят	
8-12	701-702	и	
8-13	703-710	капусту	
8-14	710-711	,	
8-15	712-713	и	
8-16	714-721	морковь	
8-17	721-722	,	
8-18	723-724	и	
8-19	725-732	поэтому	
8-20	733-742	морковный	
8-21	743-747	круг	
8-22	748-753	имеет	
8-23	754-765	пересечение	
8-24	766-767	с	
8-25	768-777	капустным	
8-26	777-778	.	

#Text=Вот здесь у нас будут кролики, которые любят и капусту, и морковь, а вот здесь такие, которые капусту любят, а морковь нет.
9-1	779-782	Вот	
9-2	783-788	здесь	
9-3	789-790	у	
9-4	791-794	нас	
9-5	795-800	будут	
9-6	801-808	кролики	
9-7	808-809	,	
9-8	810-817	которые	
9-9	818-823	любят	
