#FORMAT=WebAnno TSV 3.3


#Text=title: "Сложение одночленов Алгебра 7 класс"
#Text=yb_link: "https://youtu.be/-PcBzQwoSto"
#Text=branch: "элементарная математика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:00"
#Text=timecode_end: "4:01"
#Text=text: "Привет!
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-16	Сложение	
1-5	17-27	одночленов	
1-6	28-35	Алгебра	
1-7	36-37	7	
1-8	38-43	класс	
1-9	43-44	"	
1-10	45-52	yb_link	
1-11	52-53	:	
1-12	54-55	"	
1-13	55-60	https	
1-14	60-61	:	
1-15	61-62	/	
1-16	62-63	/	
1-17	63-71	youtu.be	
1-18	71-72	/	
1-19	72-73	-	
1-20	73-83	PcBzQwoSto	
1-21	83-84	"	
1-22	85-91	branch	
1-23	91-92	:	
1-24	93-94	"	
1-25	94-106	элементарная	
1-26	107-117	математика	
1-27	117-118	"	
1-28	119-124	level	
1-29	124-125	:	
1-30	126-127	"	
1-31	127-135	школьная	
1-32	136-145	программа	
1-33	145-146	"	
1-34	147-161	timecode_start	
1-35	161-162	:	
1-36	163-164	"	
1-37	164-165	0	
1-38	165-166	:	
1-39	166-168	00	
1-40	168-169	"	
1-41	170-182	timecode_end	
1-42	182-183	:	
1-43	184-185	"	
1-44	185-186	4	
1-45	186-187	:	
1-46	187-189	01	
1-47	189-190	"	
1-48	191-195	text	
1-49	195-196	:	
1-50	197-198	"	
1-51	198-204	Привет	
1-52	204-205	!	

#Text=Сегодня мы разберём тему сложение и вычитание одночлена.
2-1	206-213	Сегодня	
2-2	214-216	мы	
2-3	217-225	разберём	
2-4	226-230	тему	
2-5	231-239	сложение	
2-6	240-241	и	
2-7	242-251	вычитание	
2-8	252-261	одночлена	
2-9	261-262	.	

#Text=Есть два одночлена.
3-1	263-267	Есть	
3-2	268-271	два	
3-3	272-281	одночлена	
3-4	281-282	.	

#Text=Здесь два одночлена: четыре а бэ квадрат умножить на дэ, умножить на одну вторую, умножить на цэ квадрат, умножить на бэ; второй одночлен – семь а умножить на ноль семь, умножить на а квадрат, бэ квадрат, цэ квадрат.
4-1	283-288	Здесь	
4-2	289-292	два	
4-3	293-302	одночлена	
4-4	302-303	:	
4-5	304-310	четыре	
4-6	311-312	а	
4-7	313-315	бэ	
4-8	316-323	квадрат	
4-9	324-332	умножить	
4-10	333-335	на	
4-11	336-338	дэ	
4-12	338-339	,	
4-13	340-348	умножить	
4-14	349-351	на	
4-15	352-356	одну	
4-16	357-363	вторую	
4-17	363-364	,	
4-18	365-373	умножить	
4-19	374-376	на	
4-20	377-379	цэ	
4-21	380-387	квадрат	
4-22	387-388	,	
4-23	389-397	умножить	
4-24	398-400	на	
4-25	401-403	бэ	
4-26	403-404	;	
4-27	405-411	второй	
4-28	412-420	одночлен	
4-29	421-422	–	
4-30	423-427	семь	
4-31	428-429	а	
4-32	430-438	умножить	
4-33	439-441	на	
4-34	442-446	ноль	
4-35	447-451	семь	
4-36	451-452	,	
4-37	453-461	умножить	
4-38	462-464	на	
4-39	465-466	а	
4-40	467-474	квадрат	
4-41	474-475	,	
4-42	476-478	бэ	
4-43	479-486	квадрат	
4-44	486-487	,	
4-45	488-490	цэ	
4-46	491-498	квадрат	
4-47	498-499	.	

#Text=Для начала приведём их к стандартному виду.
5-1	500-503	Для	
5-2	504-510	начала	
5-3	511-519	приведём	
5-4	520-522	их	
5-5	523-524	к	
5-6	525-537	стандартному	
5-7	538-542	виду	
5-8	542-543	.	

#Text=Получим следующую сумму: два а бэ в кубе цэ дэ, плюс ноль сорок девять а в кубе, бэ два квадрат, цэ два квадрат.
6-1	544-551	Получим	
6-2	552-561	следующую	
6-3	562-567	сумму	
6-4	567-568	:	
6-5	569-572	два	
6-6	573-574	а	
6-7	575-577	бэ	
6-8	578-579	в	
6-9	580-584	кубе	
6-10	585-587	цэ	
6-11	588-590	дэ	
6-12	590-591	,	
6-13	592-596	плюс	
6-14	597-601	ноль	
6-15	602-607	сорок	
6-16	608-614	девять	
6-17	615-616	а	
6-18	617-618	в	
6-19	619-623	кубе	
6-20	623-624	,	
6-21	625-627	бэ	
6-22	628-631	два	
6-23	632-639	квадрат	
6-24	639-640	,	
6-25	641-643	цэ	
6-26	644-647	два	
6-27	648-655	квадрат	
6-28	655-656	.	

#Text=На этом наши вычисления закончены.
7-1	657-659	На	
7-2	660-664	этом	
7-3	665-669	наши	
7-4	670-680	вычисления	
7-5	681-690	закончены	
7-6	690-691	.	

#Text=Данное выражение называется многочленом.
8-1	692-698	Данное	
8-2	699-708	выражение	
8-3	709-719	называется	
8-4	720-731	многочленом	
8-5	731-732	.	

#Text=В данном случае этот двучлен, или многочлен.
9-1	733-734	В	
9-2	735-741	данном	
9-3	742-748	случае	
9-4	749-753	этот	
9-5	754-761	двучлен	
9-6	761-762	,	
9-7	763-766	или	
9-8	767-776	многочлен	
9-9	776-777	.	

#Text=А можно ли всё-таки при сложении одночленов получить в результате одночлен.
10-1	778-779	А	
10-2	780-785	можно	
10-3	786-788	ли	
10-4	789-797	всё-таки	
10-5	798-801	при	
10-6	802-810	сложении	
10-7	811-821	одночленов	
10-8	822-830	получить	
10-9	831-832	в	
10-10	833-843	результате	
10-11	844-852	одночлен	
10-12	852-853	.	

