#FORMAT=WebAnno TSV 3.3


#Text=title: "МАТЕМАТИКА без проблем.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-18	МАТЕМАТИКА	
1-5	19-22	без	
1-6	23-30	проблем	
1-7	30-31	.	

#Text=Квадратные неравенства, решение методом интервалов."
2-1	32-42	Квадратные	
2-2	43-54	неравенства	
2-3	54-55	,	
2-4	56-63	решение	
2-5	64-71	методом	
2-6	72-82	интервалов	
2-7	82-83	.	
2-8	83-84	"	

#Text=yb_link: "https://youtu.be/IQLjsDju0ks"\r
#Text=branch: "уравнения и неравенства"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:00"\r
#Text=timecode_end: "3:40"\r
#Text=text: "В этом видео мы посмотрим решение неравенств методом интервалов, видео преимущественно для учеников девятых классов, которые в конце года сдают экзамен.
3-1	86-93	yb_link	
3-2	93-94	:	
3-3	95-96	"	
3-4	96-101	https	
3-5	101-102	:	
3-6	102-103	/	
3-7	103-104	/	
3-8	104-112	youtu.be	
3-9	112-113	/	
3-10	113-124	IQLjsDju0ks	
3-11	124-125	"	
3-12	127-133	branch	
3-13	133-134	:	
3-14	135-136	"	
3-15	136-145	уравнения	
3-16	146-147	и	
3-17	148-159	неравенства	
3-18	159-160	"	
3-19	162-167	level	
3-20	167-168	:	
3-21	169-170	"	
3-22	170-178	школьная	
3-23	179-188	программа	
3-24	188-189	"	
3-25	191-205	timecode_start	
3-26	205-206	:	
3-27	207-208	"	
3-28	208-209	0	
3-29	209-210	:	
3-30	210-212	00	
3-31	212-213	"	
3-32	215-227	timecode_end	
3-33	227-228	:	
3-34	229-230	"	
3-35	230-231	3	
3-36	231-232	:	
3-37	232-234	40	
3-38	234-235	"	
3-39	237-241	text	
3-40	241-242	:	
3-41	243-244	"	
3-42	244-245	В	
3-43	246-250	этом	
3-44	251-256	видео	
3-45	257-259	мы	
3-46	260-269	посмотрим	
3-47	270-277	решение	
3-48	278-288	неравенств	
3-49	289-296	методом	
3-50	297-307	интервалов	
3-51	307-308	,	
3-52	309-314	видео	
3-53	315-330	преимущественно	
3-54	331-334	для	
3-55	335-343	учеников	
3-56	344-351	девятых	
3-57	352-359	классов	
3-58	359-360	,	
3-59	361-368	которые	
3-60	369-370	в	
3-61	371-376	конце	
3-62	377-381	года	
3-63	382-387	сдают	
3-64	388-395	экзамен	
3-65	395-396	.	

#Text=Итак, квадратное неравенство какое-нибудь, например, такое, ну и знак меньше либо равно нуля.
4-1	397-401	Итак	
4-2	401-402	,	
4-3	403-413	квадратное	
4-4	414-425	неравенство	
4-5	426-438	какое-нибудь	
4-6	438-439	,	
4-7	440-448	например	
4-8	448-449	,	
4-9	450-455	такое	
4-10	455-456	,	
4-11	457-459	ну	
4-12	460-461	и	
4-13	462-466	знак	
4-14	467-473	меньше	
4-15	474-478	либо	
4-16	479-484	равно	
4-17	485-489	нуля	
4-18	489-490	.	

#Text=Такое задание встречается в первой части в блоке “алгебра” под номером восемь.
5-1	491-496	Такое	
5-2	497-504	задание	
5-3	505-516	встречается	
5-4	517-518	в	
5-5	519-525	первой	
5-6	526-531	части	
5-7	532-533	в	
5-8	534-539	блоке	
5-9	540-541	“	
5-10	541-548	алгебра	
5-11	548-549	”	
5-12	550-553	под	
5-13	554-561	номером	
5-14	562-568	восемь	
5-15	568-569	.	

#Text=Итак, квадратное неравенство решается с помощью уравнения, то есть мы всё это дело приравниваем к нулю.
6-1	570-574	Итак	
6-2	574-575	,	
6-3	576-586	квадратное	
6-4	587-598	неравенство	
6-5	599-607	решается	
6-6	608-609	с	
6-7	610-617	помощью	
6-8	618-627	уравнения	
6-9	627-628	,	
6-10	629-631	то	
6-11	632-636	есть	
6-12	637-639	мы	
6-13	640-643	всё	
6-14	644-647	это	
6-15	648-652	дело	
6-16	653-665	приравниваем	
6-17	666-667	к	
6-18	668-672	нулю	
6-19	672-673	.	

#Text=Вычисляем дискриминант, то есть бэ квадрат минус четыре а цэ, получается девять минус четыре умножить на минус четыре, всё в итоге равно двадцать пять.
7-1	674-683	Вычисляем	
7-2	684-696	дискриминант	
7-3	696-697	,	
7-4	698-700	то	
7-5	701-705	есть	
7-6	706-708	бэ	
7-7	709-716	квадрат	
7-8	717-722	минус	
7-9	723-729	четыре	
7-10	730-731	а	
7-11	732-734	цэ	
7-12	734-735	,	
7-13	736-746	получается	
7-14	747-753	девять	
7-15	754-759	минус	
7-16	760-766	четыре	
7-17	767-775	умножить	
7-18	776-778	на	
7-19	779-784	минус	
7-20	785-791	четыре	
7-21	791-792	,	
7-22	793-796	всё	
7-23	797-798	в	
7-24	799-804	итоге	
7-25	805-810	равно	
7-26	811-819	двадцать	
7-27	820-824	пять	
7-28	824-825	.	

#Text=Теперь находим корни.
8-1	826-832	Теперь	
8-2	833-840	находим	
8-3	841-846	корни	
8-4	846-847	.	

#Text=Формула корней – минус бэ плюс минус корень из дискриминанта поделить на два а.
9-1	848-855	Формула	
9-2	856-862	корней	
9-3	863-864	–	
9-4	865-870	минус	
9-5	871-873	бэ	
9-6	874-878	плюс	
9-7	879-884	минус	
9-8	885-891	корень	
9-9	892-894	из	
9-10	895-908	дискриминанта	
9-11	909-917	поделить	
9-12	918-920	на	
9-13	921-924	два	
9-14	925-926	а	
9-15	926-927	.	

