#FORMAT=WebAnno TSV 3.3


#Text=title: "Алгебра 9 класс (Урок№30 - Обобщающий урок по теме Уравнения и неравенства с двумя переменными)"\r
#Text=yb_link: "https://youtu.be/LeUCq1dgCn4?
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-15	Алгебра	
1-5	16-17	9	
1-6	18-23	класс	
1-7	24-25	(	
1-8	25-29	Урок	
1-9	29-30	№	
1-10	30-32	30	
1-11	33-34	-	
1-12	35-45	Обобщающий	
1-13	46-50	урок	
1-14	51-53	по	
1-15	54-58	теме	
1-16	59-68	Уравнения	
1-17	69-70	и	
1-18	71-82	неравенства	
1-19	83-84	с	
1-20	85-90	двумя	
1-21	91-102	переменными	
1-22	102-103	)	
1-23	103-104	"	
1-24	106-113	yb_link	
1-25	113-114	:	
1-26	115-116	"	
1-27	116-121	https	
1-28	121-122	:	
1-29	122-123	/	
1-30	123-124	/	
1-31	124-132	youtu.be	
1-32	132-133	/	
1-33	133-144	LeUCq1dgCn4	
1-34	144-145	?	

#Text=si=5EaAON9N2UmzqccO"\r
#Text=branch: "уравнения и неравенства"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:19"\r
#Text=timecode_end: "1:02"\r
#Text=text: "Вспомним, что решением уравнения с двумя переменными называется пара значений переменных, обращающая это уравнение в верное равенство.
2-1	145-147	si	
2-2	147-148	=	
2-3	148-164	5EaAON9N2UmzqccO	
2-4	164-165	"	
2-5	167-173	branch	
2-6	173-174	:	
2-7	175-176	"	
2-8	176-185	уравнения	
2-9	186-187	и	
2-10	188-199	неравенства	
2-11	199-200	"	
2-12	202-207	level	
2-13	207-208	:	
2-14	209-210	"	
2-15	210-218	школьная	
2-16	219-228	программа	
2-17	228-229	"	
2-18	231-245	timecode_start	
2-19	245-246	:	
2-20	247-248	"	
2-21	248-249	0	
2-22	249-250	:	
2-23	250-252	19	
2-24	252-253	"	
2-25	255-267	timecode_end	
2-26	267-268	:	
2-27	269-270	"	
2-28	270-271	1	
2-29	271-272	:	
2-30	272-274	02	
2-31	274-275	"	
2-32	277-281	text	
2-33	281-282	:	
2-34	283-284	"	
2-35	284-292	Вспомним	
2-36	292-293	,	
2-37	294-297	что	
2-38	298-306	решением	
2-39	307-316	уравнения	
2-40	317-318	с	
2-41	319-324	двумя	
2-42	325-336	переменными	
2-43	337-347	называется	
2-44	348-352	пара	
2-45	353-361	значений	
2-46	362-372	переменных	
2-47	372-373	,	
2-48	374-384	обращающая	
2-49	385-388	это	
2-50	389-398	уравнение	
2-51	399-400	в	
2-52	401-407	верное	
2-53	408-417	равенство	
2-54	417-418	.	

#Text=Чтобы решить уравнение с двумя переменными, пользуются графическим методом, то есть строят график уравнения.
3-1	419-424	Чтобы	
3-2	425-431	решить	
3-3	432-441	уравнение	
3-4	442-443	с	
3-5	444-449	двумя	
3-6	450-461	переменными	
3-7	461-462	,	
3-8	463-473	пользуются	
3-9	474-485	графическим	
3-10	486-493	методом	
3-11	493-494	,	
3-12	495-497	то	
3-13	498-502	есть	
3-14	503-509	строят	
3-15	510-516	график	
3-16	517-526	уравнения	
3-17	526-527	.	

#Text=Повторим, что называется решением неравенства с двумя переменными.
4-1	528-536	Повторим	
4-2	536-537	,	
4-3	538-541	что	
4-4	542-552	называется	
4-5	553-561	решением	
4-6	562-573	неравенства	
4-7	574-575	с	
4-8	576-581	двумя	
4-9	582-593	переменными	
4-10	593-594	.	

#Text=Напомним, что для решения неравенств с двумя переменными необходимо изобразить график соответствующей функции на координатной плоскости и определить, какая часть плоскости будет состоять из множества точек, являющихся решением неравенства."
5-1	595-603	Напомним	
5-2	603-604	,	
5-3	605-608	что	
5-4	609-612	для	
5-5	613-620	решения	
5-6	621-631	неравенств	
5-7	632-633	с	
5-8	634-639	двумя	
5-9	640-651	переменными	
5-10	652-662	необходимо	
5-11	663-673	изобразить	
5-12	674-680	график	
5-13	681-696	соответствующей	
5-14	697-704	функции	
5-15	705-707	на	
5-16	708-720	координатной	
5-17	721-730	плоскости	
5-18	731-732	и	
5-19	733-743	определить	
5-20	743-744	,	
5-21	745-750	какая	
5-22	751-756	часть	
5-23	757-766	плоскости	
5-24	767-772	будет	
5-25	773-781	состоять	
5-26	782-784	из	
5-27	785-794	множества	
5-28	795-800	точек	
5-29	800-801	,	
5-30	802-812	являющихся	
5-31	813-821	решением	
5-32	822-833	неравенства	
5-33	833-834	.	
5-34	834-835	"	
