#FORMAT=WebAnno TSV 3.3


#Text=title: "Выборочное распределение и выборочные характеристики (среднее, дисперсия, ковариация, коэффициент корреляции)"
#Text=yb_link: "https://youtu.be/OVrPqZGuPlo"
#Text=branch: "статистика"
#Text=level: "университетская программа"
#Text=timecode_start: "0:18"
#Text=timecode_end: "9:53"
#Text=text: "Так, ну что такое коэффициент корреляции двух случайных величин?
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-18	Выборочное	
1-5	19-32	распределение	
1-6	33-34	и	
1-7	35-45	выборочные	
1-8	46-60	характеристики	
1-9	61-62	(	
1-10	62-69	среднее	
1-11	69-70	,	
1-12	71-80	дисперсия	
1-13	80-81	,	
1-14	82-92	ковариация	
1-15	92-93	,	
1-16	94-105	коэффициент	
1-17	106-116	корреляции	
1-18	116-117	)	
1-19	117-118	"	
1-20	119-126	yb_link	
1-21	126-127	:	
1-22	128-129	"	
1-23	129-134	https	
1-24	134-135	:	
1-25	135-136	/	
1-26	136-137	/	
1-27	137-145	youtu.be	
1-28	145-146	/	
1-29	146-157	OVrPqZGuPlo	
1-30	157-158	"	
1-31	159-165	branch	
1-32	165-166	:	
1-33	167-168	"	
1-34	168-178	статистика	
1-35	178-179	"	
1-36	180-185	level	
1-37	185-186	:	
1-38	187-188	"	
1-39	188-203	университетская	
1-40	204-213	программа	
1-41	213-214	"	
1-42	215-229	timecode_start	
1-43	229-230	:	
1-44	231-232	"	
1-45	232-233	0	
1-46	233-234	:	
1-47	234-236	18	
1-48	236-237	"	
1-49	238-250	timecode_end	
1-50	250-251	:	
1-51	252-253	"	
1-52	253-254	9	
1-53	254-255	:	
1-54	255-257	53	
1-55	257-258	"	
1-56	259-263	text	
1-57	263-264	:	
1-58	265-266	"	
1-59	266-269	Так	
1-60	269-270	,	
1-61	271-273	ну	
1-62	274-277	что	
1-63	278-283	такое	
1-64	284-295	коэффициент	
1-65	296-306	корреляции	
1-66	307-311	двух	
1-67	312-321	случайных	
1-68	322-329	величин	
1-69	329-330	?	

#Text=По определению – это такое выражение ковариации случайных величин делить на произведение их среднеквадратичных отклонений.
2-1	331-333	По	
2-2	334-345	определению	
2-3	346-347	–	
2-4	348-351	это	
2-5	352-357	такое	
2-6	358-367	выражение	
2-7	368-378	ковариации	
2-8	379-388	случайных	
2-9	389-396	величин	
2-10	397-403	делить	
2-11	404-406	на	
2-12	407-419	произведение	
2-13	420-422	их	
2-14	423-441	среднеквадратичных	
2-15	442-452	отклонений	
2-16	452-453	.	

#Text=Ну, мы не будем пока углубляться в ту тему, какими свойствами обладает коэффициент корреляции.
3-1	454-456	Ну	
3-2	456-457	,	
3-3	458-460	мы	
3-4	461-463	не	
3-5	464-469	будем	
3-6	470-474	пока	
3-7	475-486	углубляться	
3-8	487-488	в	
3-9	489-491	ту	
3-10	492-496	тему	
3-11	496-497	,	
3-12	498-504	какими	
3-13	505-515	свойствами	
3-14	516-524	обладает	
3-15	525-536	коэффициент	
3-16	537-547	корреляции	
3-17	547-548	.	

#Text=Пока просто рассмотрим расчётный пример.
4-1	549-553	Пока	
4-2	554-560	просто	
4-3	561-571	рассмотрим	
4-4	572-581	расчётный	
4-5	582-588	пример	
4-6	588-589	.	

#Text=Берём такую случайную величину двумерную с таким распределением.
5-1	590-595	Берём	
5-2	596-601	такую	
5-3	602-611	случайную	
5-4	612-620	величину	
5-5	621-630	двумерную	
5-6	631-632	с	
5-7	633-638	таким	
5-8	639-653	распределением	
5-9	653-654	.	

#Text=Вероятности его вот какие.
6-1	655-666	Вероятности	
6-2	667-670	его	
6-3	671-674	вот	
6-4	675-680	какие	
6-5	680-681	.	

#Text=Ну что нам нужно?
7-1	682-684	Ну	
7-2	685-688	что	
7-3	689-692	нам	
7-4	693-698	нужно	
7-5	698-699	?	

#Text=Для начала нам нужно полностью исследовать распределения компонентов.
8-1	700-703	Для	
8-2	704-710	начала	
8-3	711-714	нам	
8-4	715-720	нужно	
8-5	721-730	полностью	
8-6	731-742	исследовать	
8-7	743-756	распределения	
8-8	757-768	компонентов	
8-9	768-769	.	

#Text=Записываем распределение компоненты икс.
9-1	770-780	Записываем	
9-2	781-794	распределение	
9-3	795-805	компоненты	
9-4	806-809	икс	
9-5	809-810	.	

#Text=Но это распределение получилось сложением вероятностей по столбцам.
10-1	811-813	Но	
10-2	814-817	это	
10-3	818-831	распределение	
10-4	832-842	получилось	
10-5	843-852	сложением	
10-6	853-865	вероятностей	
10-7	866-868	по	
10-8	869-877	столбцам	
10-9	877-878	.	

#Text=И вот значение компоненты икс.
11-1	879-880	И	
11-2	881-884	вот	
11-3	885-893	значение	
11-4	894-904	компоненты	
11-5	905-908	икс	
11-6	908-909	.	

#Text=Считаем матожидание.
12-1	910-917	Считаем	
12-2	918-929	матожидание	
12-3	929-930	.	

#Text=Ну и после сложения там имеем восемь десятых.
13-1	931-933	Ну	
13-2	934-935	и	
13-3	936-941	после	
13-4	942-950	сложения	
13-5	951-954	там	
13-6	955-960	имеем	
13-7	961-967	восемь	
13-8	968-975	десятых	
13-9	975-976	.	

#Text=Дальше нам понадобится в конечном счёте сигма икса.
14-1	977-983	Дальше	
14-2	984-987	нам	
14-3	988-999	понадобится	
14-4	1000-1001	в	
14-5	1002-1010	конечном	
