#FORMAT=WebAnno TSV 3.3


#Text=title: "Натуральные числа, целые числа, рациональные числа, иррациональные числа и действительные числа"
#Text=yb_link: "https://youtu.be/B_ygc4pSVV4"
#Text=branch: "элементарная математика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:06"
#Text=timecode_end: "6:01"
#Text=text: "Всем привет!
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-19	Натуральные	
1-5	20-25	числа	
1-6	25-26	,	
1-7	27-32	целые	
1-8	33-38	числа	
1-9	38-39	,	
1-10	40-52	рациональные	
1-11	53-58	числа	
1-12	58-59	,	
1-13	60-74	иррациональные	
1-14	75-80	числа	
1-15	81-82	и	
1-16	83-97	действительные	
1-17	98-103	числа	
1-18	103-104	"	
1-19	105-112	yb_link	
1-20	112-113	:	
1-21	114-115	"	
1-22	115-120	https	
1-23	120-121	:	
1-24	121-122	/	
1-25	122-123	/	
1-26	123-131	youtu.be	
1-27	131-132	/	
1-28	132-143	B_ygc4pSVV4	
1-29	143-144	"	
1-30	145-151	branch	
1-31	151-152	:	
1-32	153-154	"	
1-33	154-166	элементарная	
1-34	167-177	математика	
1-35	177-178	"	
1-36	179-184	level	
1-37	184-185	:	
1-38	186-187	"	
1-39	187-195	школьная	
1-40	196-205	программа	
1-41	205-206	"	
1-42	207-221	timecode_start	
1-43	221-222	:	
1-44	223-224	"	
1-45	224-225	0	
1-46	225-226	:	
1-47	226-228	06	
1-48	228-229	"	
1-49	230-242	timecode_end	
1-50	242-243	:	
1-51	244-245	"	
1-52	245-246	6	
1-53	246-247	:	
1-54	247-249	01	
1-55	249-250	"	
1-56	251-255	text	
1-57	255-256	:	
1-58	257-258	"	
1-59	258-262	Всем	
1-60	263-269	привет	
1-61	269-270	!	

#Text=Сегодня мы с вами будем говорить о такой теме, как множество натуральных чисел, множество целых чисел, множество рациональных, иррациональных и множество действительных чисел.
2-1	271-278	Сегодня	
2-2	279-281	мы	
2-3	282-283	с	
2-4	284-288	вами	
2-5	289-294	будем	
2-6	295-303	говорить	
2-7	304-305	о	
2-8	306-311	такой	
2-9	312-316	теме	
2-10	316-317	,	
2-11	318-321	как	
2-12	322-331	множество	
2-13	332-343	натуральных	
2-14	344-349	чисел	
2-15	349-350	,	
2-16	351-360	множество	
2-17	361-366	целых	
2-18	367-372	чисел	
2-19	372-373	,	
2-20	374-383	множество	
2-21	384-396	рациональных	
2-22	396-397	,	
2-23	398-412	иррациональных	
2-24	413-414	и	
2-25	415-424	множество	
2-26	425-439	действительных	
2-27	440-445	чисел	
2-28	445-446	.	

#Text=Сегодня будем говорить о числах.
3-1	447-454	Сегодня	
3-2	455-460	будем	
3-3	461-469	говорить	
3-4	470-471	о	
3-5	472-478	числах	
3-6	478-479	.	

#Text=Что такое натуральное число?
4-1	480-483	Что	
4-2	484-489	такое	
4-3	490-501	натуральное	
4-4	502-507	число	
4-5	507-508	?	

#Text=Натуральное число – это такие числа, которые мы используем для счёта каких-то целых объектов.
5-1	509-520	Натуральное	
5-2	521-526	число	
5-3	527-528	–	
5-4	529-532	это	
5-5	533-538	такие	
5-6	539-544	числа	
5-7	544-545	,	
5-8	546-553	которые	
5-9	554-556	мы	
5-10	557-567	используем	
5-11	568-571	для	
5-12	572-577	счёта	
5-13	578-586	каких-то	
5-14	587-592	целых	
5-15	593-601	объектов	
5-16	601-602	.	

#Text=Вот у нас, например, есть мячики: считаем один мячик, два мячика и так далее.
6-1	603-606	Вот	
6-2	607-608	у	
6-3	609-612	нас	
6-4	612-613	,	
6-5	614-622	например	
6-6	622-623	,	
6-7	624-628	есть	
6-8	629-635	мячики	
6-9	635-636	:	
6-10	637-644	считаем	
6-11	645-649	один	
6-12	650-655	мячик	
6-13	655-656	,	
6-14	657-660	два	
6-15	661-667	мячика	
6-16	668-669	и	
6-17	670-673	так	
6-18	674-679	далее	
6-19	679-680	.	

#Text=И самое маленькое натуральное число – это один, самого большого натурального числа не существует, то есть оно стремится к бесконечности.
7-1	681-682	И	
7-2	683-688	самое	
7-3	689-698	маленькое	
7-4	699-710	натуральное	
7-5	711-716	число	
7-6	717-718	–	
7-7	719-722	это	
7-8	723-727	один	
7-9	727-728	,	
7-10	729-735	самого	
7-11	736-744	большого	
7-12	745-757	натурального	
7-13	758-763	числа	
7-14	764-766	не	
7-15	767-777	существует	
7-16	777-778	,	
7-17	779-781	то	
7-18	782-786	есть	
7-19	787-790	оно	
7-20	791-800	стремится	
7-21	801-802	к	
7-22	803-816	бесконечности	
7-23	816-817	.	

#Text=Итак, смотрите – это один, два, три и так далее до бесконечности.
8-1	818-822	Итак	
8-2	822-823	,	
8-3	824-832	смотрите	
8-4	833-834	–	
8-5	835-838	это	
8-6	839-843	один	
8-7	843-844	,	
8-8	845-848	два	
8-9	848-849	,	
8-10	850-853	три	
8-11	854-855	и	
8-12	856-859	так	
8-13	860-865	далее	
8-14	866-868	до	
8-15	869-882	бесконечности	
8-16	882-883	.	

#Text=Это натуральные числа.
9-1	884-887	Это	
9-2	888-899	натуральные	
9-3	900-905	числа	
9-4	905-906	.	

#Text=Если мы захотим изображать множество вот этих чисел каким-то графическим способом, давайте изобразим натуральные числа вот здесь: все–все натуральные числа спрятаны в этом овале.
10-1	907-911	Если	
10-2	912-914	мы	
