#FORMAT=WebAnno TSV 3.3


#Text=title: "Рациональные и иррациональные числа за 5 минут"
#Text=yb_link: "https://youtu.be/QKnvIDE1ucc"
#Text=branch: "элементарная математика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:00"
#Text=timecode_end: "1:39"
#Text=text: "Привет.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-20	Рациональные	
1-5	21-22	и	
1-6	23-37	иррациональные	
1-7	38-43	числа	
1-8	44-46	за	
1-9	47-48	5	
1-10	49-54	минут	
1-11	54-55	"	
1-12	56-63	yb_link	
1-13	63-64	:	
1-14	65-66	"	
1-15	66-71	https	
1-16	71-72	:	
1-17	72-73	/	
1-18	73-74	/	
1-19	74-82	youtu.be	
1-20	82-83	/	
1-21	83-94	QKnvIDE1ucc	
1-22	94-95	"	
1-23	96-102	branch	
1-24	102-103	:	
1-25	104-105	"	
1-26	105-117	элементарная	
1-27	118-128	математика	
1-28	128-129	"	
1-29	130-135	level	
1-30	135-136	:	
1-31	137-138	"	
1-32	138-146	школьная	
1-33	147-156	программа	
1-34	156-157	"	
1-35	158-172	timecode_start	
1-36	172-173	:	
1-37	174-175	"	
1-38	175-176	0	
1-39	176-177	:	
1-40	177-179	00	
1-41	179-180	"	
1-42	181-193	timecode_end	
1-43	193-194	:	
1-44	195-196	"	
1-45	196-197	1	
1-46	197-198	:	
1-47	198-200	39	
1-48	200-201	"	
1-49	202-206	text	
1-50	206-207	:	
1-51	208-209	"	
1-52	209-215	Привет	
1-53	215-216	.	

#Text=В этом видео мы разберём рациональные числа и иррациональные числа, а также поймём, какое отношение к ним имеет арифметический квадратный корень.
2-1	217-218	В	
2-2	219-223	этом	
2-3	224-229	видео	
2-4	230-232	мы	
2-5	233-241	разберём	
2-6	242-254	рациональные	
2-7	255-260	числа	
2-8	261-262	и	
2-9	263-277	иррациональные	
2-10	278-283	числа	
2-11	283-284	,	
2-12	285-286	а	
2-13	287-292	также	
2-14	293-299	поймём	
2-15	299-300	,	
2-16	301-306	какое	
2-17	307-316	отношение	
2-18	317-318	к	
2-19	319-322	ним	
2-20	323-328	имеет	
2-21	329-343	арифметический	
2-22	344-354	квадратный	
2-23	355-361	корень	
2-24	361-362	.	

#Text=И, например, корень из двух – это рациональное число или иррациональные число?
3-1	363-364	И	
3-2	364-365	,	
3-3	366-374	например	
3-4	374-375	,	
3-5	376-382	корень	
3-6	383-385	из	
3-7	386-390	двух	
3-8	391-392	–	
3-9	393-396	это	
3-10	397-409	рациональное	
3-11	410-415	число	
3-12	416-419	или	
3-13	420-434	иррациональные	
3-14	435-440	число	
3-15	440-441	?	

#Text=Итак, множество действительных чисел состоит из рациональных чисел и из иррациональных чисел.
4-1	442-446	Итак	
4-2	446-447	,	
4-3	448-457	множество	
4-4	458-472	действительных	
4-5	473-478	чисел	
4-6	479-486	состоит	
4-7	487-489	из	
4-8	490-502	рациональных	
4-9	503-508	чисел	
4-10	509-510	и	
4-11	511-513	из	
4-12	514-528	иррациональных	
4-13	529-534	чисел	
4-14	534-535	.	

#Text=К рациональным числам относятся натуральные числа.
5-1	536-537	К	
5-2	538-550	рациональным	
5-3	551-557	числам	
5-4	558-567	относятся	
5-5	568-579	натуральные	
5-6	580-585	числа	
5-7	585-586	.	

#Text=Натуральные числа – это те числа, с помощью которых мы ведём счёт: один, два, три, четыре, пять и так далее.
6-1	587-598	Натуральные	
6-2	599-604	числа	
6-3	605-606	–	
6-4	607-610	это	
6-5	611-613	те	
6-6	614-619	числа	
6-7	619-620	,	
6-8	621-622	с	
6-9	623-630	помощью	
6-10	631-638	которых	
6-11	639-641	мы	
6-12	642-647	ведём	
6-13	648-652	счёт	
6-14	652-653	:	
6-15	654-658	один	
6-16	658-659	,	
6-17	660-663	два	
6-18	663-664	,	
6-19	665-668	три	
6-20	668-669	,	
6-21	670-676	четыре	
6-22	676-677	,	
6-23	678-682	пять	
6-24	683-684	и	
6-25	685-688	так	
6-26	689-694	далее	
6-27	694-695	.	

#Text=Если мы в множество натуральных чисел добавляем противоположные числа и число ноль, то мы получаем множество целых чисел.
7-1	696-700	Если	
7-2	701-703	мы	
7-3	704-705	в	
7-4	706-715	множество	
7-5	716-727	натуральных	
7-6	728-733	чисел	
7-7	734-743	добавляем	
7-8	744-759	противоположные	
7-9	760-765	числа	
7-10	766-767	и	
7-11	768-773	число	
7-12	774-778	ноль	
7-13	778-779	,	
7-14	780-782	то	
7-15	783-785	мы	
7-16	786-794	получаем	
7-17	795-804	множество	
7-18	805-810	целых	
7-19	811-816	чисел	
7-20	816-817	.	

#Text=Если мы к множеству целых чисел добавляем дробные числа, выраженные числителем и знаменателем, у которых числитель – это целое число, а знаменатель – натуральное число, то мы получаем множество рациональных чисел.
8-1	818-822	Если	
8-2	823-825	мы	
8-3	826-827	к	
8-4	828-837	множеству	
8-5	838-843	целых	
8-6	844-849	чисел	
8-7	850-859	добавляем	
8-8	860-867	дробные	
8-9	868-873	числа	
8-10	873-874	,	
8-11	875-885	выраженные	
8-12	886-896	числителем	
8-13	897-898	и	
8-14	899-911	знаменателем	
8-15	911-912	,	
8-16	913-914	у	
8-17	915-922	которых	
8-18	923-932	числитель	
8-19	933-934	–	
8-20	935-938	это	
8-21	939-944	целое	
8-22	945-950	число	
