#FORMAT=WebAnno TSV 3.3


#Text=title: "10 класс.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-10	10	
1-5	11-16	класс	
1-6	16-17	.	

#Text=Алгебра.
2-1	18-25	Алгебра	
2-2	25-26	.	

#Text=Системы показательных уравнений."
3-1	27-34	Системы	
3-2	35-48	показательных	
3-3	49-58	уравнений	
3-4	58-59	.	
3-5	59-60	"	

#Text=yb_link: "https://youtu.be/7nLAPfR6qGg"\r
#Text=branch: "уравнения и неравенства"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:01"\r
#Text=timecode_end: "6:47"\r
#Text=text: "Решить систему уравнений: девять в степени икс умножить на семь в степени два игрек равно двадцати семи, пять в степени игрек умножить на четыре в степени икс плюс один равно тридцати двум.
4-1	62-69	yb_link	
4-2	69-70	:	
4-3	71-72	"	
4-4	72-77	https	
4-5	77-78	:	
4-6	78-79	/	
4-7	79-80	/	
4-8	80-88	youtu.be	
4-9	88-89	/	
4-10	89-100	7nLAPfR6qGg	
4-11	100-101	"	
4-12	103-109	branch	
4-13	109-110	:	
4-14	111-112	"	
4-15	112-121	уравнения	
4-16	122-123	и	
4-17	124-135	неравенства	
4-18	135-136	"	
4-19	138-143	level	
4-20	143-144	:	
4-21	145-146	"	
4-22	146-154	школьная	
4-23	155-164	программа	
4-24	164-165	"	
4-25	167-181	timecode_start	
4-26	181-182	:	
4-27	183-184	"	
4-28	184-185	0	
4-29	185-186	:	
4-30	186-188	01	
4-31	188-189	"	
4-32	191-203	timecode_end	
4-33	203-204	:	
4-34	205-206	"	
4-35	206-207	6	
4-36	207-208	:	
4-37	208-210	47	
4-38	210-211	"	
4-39	213-217	text	
4-40	217-218	:	
4-41	219-220	"	
4-42	220-226	Решить	
4-43	227-234	систему	
4-44	235-244	уравнений	
4-45	244-245	:	
4-46	246-252	девять	
4-47	253-254	в	
4-48	255-262	степени	
4-49	263-266	икс	
4-50	267-275	умножить	
4-51	276-278	на	
4-52	279-283	семь	
4-53	284-285	в	
4-54	286-293	степени	
4-55	294-297	два	
4-56	298-303	игрек	
4-57	304-309	равно	
4-58	310-318	двадцати	
4-59	319-323	семи	
4-60	323-324	,	
4-61	325-329	пять	
4-62	330-331	в	
4-63	332-339	степени	
4-64	340-345	игрек	
4-65	346-354	умножить	
4-66	355-357	на	
4-67	358-364	четыре	
4-68	365-366	в	
4-69	367-374	степени	
4-70	375-378	икс	
4-71	379-383	плюс	
4-72	384-388	один	
4-73	389-394	равно	
4-74	395-403	тридцати	
4-75	404-408	двум	
4-76	408-409	.	

#Text=Заметим, что в первом уравнении числа девять и двадцать семь являются степенями тройки: девять – это три во второй, двадцать семь – это три в третьей, и множитель семь в степени два игрек никак не вписывается в это уравнение.
5-1	410-417	Заметим	
5-2	417-418	,	
5-3	419-422	что	
5-4	423-424	в	
5-5	425-431	первом	
5-6	432-441	уравнении	
5-7	442-447	числа	
5-8	448-454	девять	
5-9	455-456	и	
5-10	457-465	двадцать	
5-11	466-470	семь	
5-12	471-479	являются	
5-13	480-489	степенями	
5-14	490-496	тройки	
5-15	496-497	:	
5-16	498-504	девять	
5-17	505-506	–	
5-18	507-510	это	
5-19	511-514	три	
5-20	515-517	во	
5-21	518-524	второй	
5-22	524-525	,	
5-23	526-534	двадцать	
5-24	535-539	семь	
5-25	540-541	–	
5-26	542-545	это	
5-27	546-549	три	
5-28	550-551	в	
5-29	552-559	третьей	
5-30	559-560	,	
5-31	561-562	и	
5-32	563-572	множитель	
5-33	573-577	семь	
5-34	578-579	в	
5-35	580-587	степени	
5-36	588-591	два	
5-37	592-597	игрек	
5-38	598-603	никак	
5-39	604-606	не	
5-40	607-618	вписывается	
5-41	619-620	в	
5-42	621-624	это	
5-43	625-634	уравнение	
5-44	634-635	.	

#Text=То же самое можно сказать и про множитель пять в степени игрек во втором уравнении, так как четыре и тридцать два являются степенями двойки: четыре – это два во второй, тридцать два – это два в пятой.
6-1	636-638	То	
6-2	639-641	же	
6-3	642-647	самое	
6-4	648-653	можно	
6-5	654-661	сказать	
6-6	662-663	и	
6-7	664-667	про	
6-8	668-677	множитель	
6-9	678-682	пять	
6-10	683-684	в	
6-11	685-692	степени	
6-12	693-698	игрек	
6-13	699-701	во	
6-14	702-708	втором	
6-15	709-718	уравнении	
6-16	718-719	,	
6-17	720-723	так	
6-18	724-727	как	
6-19	728-734	четыре	
6-20	735-736	и	
6-21	737-745	тридцать	
6-22	746-749	два	
6-23	750-758	являются	
6-24	759-768	степенями	
6-25	769-775	двойки	
6-26	775-776	:	
6-27	777-783	четыре	
6-28	784-785	–	
6-29	786-789	это	
6-30	790-793	два	
6-31	794-796	во	
6-32	797-803	второй	
6-33	803-804	,	
6-34	805-813	тридцать	
6-35	814-817	два	
6-36	818-819	–	
6-37	820-823	это	
6-38	824-827	два	
6-39	828-829	в	
6-40	830-835	пятой	
6-41	835-836	.	

#Text=Поэтому давайте как-нибудь изолируем эти степени с основанием семь и пять, ну или объединим.
7-1	837-844	Поэтому	
7-2	845-852	давайте	
7-3	853-863	как-нибудь	
7-4	864-873	изолируем	
7-5	874-877	эти	
7-6	878-885	степени	
7-7	886-887	с	
7-8	888-898	основанием	
7-9	899-903	семь	
7-10	904-905	и	
7-11	906-910	пять	
