#FORMAT=WebAnno TSV 3.3


#Text=title: "6 Уравнения и неравенства, содержащие переменную под знаком модуля"\r
#Text=yb_link: "https://youtu.be/4mSV2w0bnr8"\r
#Text=branch: "уравнения и неравенства"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:00"\r
#Text=timecode_end: "1:47"\r
#Text=text: "Уравнения и неравенства, содержащие переменную под знаком модуля.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-9	6	
1-5	10-19	Уравнения	
1-6	20-21	и	
1-7	22-33	неравенства	
1-8	33-34	,	
1-9	35-45	содержащие	
1-10	46-56	переменную	
1-11	57-60	под	
1-12	61-67	знаком	
1-13	68-74	модуля	
1-14	74-75	"	
1-15	77-84	yb_link	
1-16	84-85	:	
1-17	86-87	"	
1-18	87-92	https	
1-19	92-93	:	
1-20	93-94	/	
1-21	94-95	/	
1-22	95-103	youtu.be	
1-23	103-104	/	
1-24	104-115	4mSV2w0bnr8	
1-25	115-116	"	
1-26	118-124	branch	
1-27	124-125	:	
1-28	126-127	"	
1-29	127-136	уравнения	
1-30	137-138	и	
1-31	139-150	неравенства	
1-32	150-151	"	
1-33	153-158	level	
1-34	158-159	:	
1-35	160-161	"	
1-36	161-169	школьная	
1-37	170-179	программа	
1-38	179-180	"	
1-39	182-196	timecode_start	
1-40	196-197	:	
1-41	198-199	"	
1-42	199-200	0	
1-43	200-201	:	
1-44	201-203	00	
1-45	203-204	"	
1-46	206-218	timecode_end	
1-47	218-219	:	
1-48	220-221	"	
1-49	221-222	1	
1-50	222-223	:	
1-51	223-225	47	
1-52	225-226	"	
1-53	228-232	text	
1-54	232-233	:	
1-55	234-235	"	
1-56	235-244	Уравнения	
1-57	245-246	и	
1-58	247-258	неравенства	
1-59	258-259	,	
1-60	260-270	содержащие	
1-61	271-281	переменную	
1-62	282-285	под	
1-63	286-292	знаком	
1-64	293-299	модуля	
1-65	299-300	.	

#Text=Модулем действительного числа икс называется само это число, если икс положителен, и противоположное число, минус икс, если икс отрицателен.
2-1	301-308	Модулем	
2-2	309-324	действительного	
2-3	325-330	числа	
2-4	331-334	икс	
2-5	335-345	называется	
2-6	346-350	само	
2-7	351-354	это	
2-8	355-360	число	
2-9	360-361	,	
2-10	362-366	если	
2-11	367-370	икс	
2-12	371-382	положителен	
2-13	382-383	,	
2-14	384-385	и	
2-15	386-401	противоположное	
2-16	402-407	число	
2-17	407-408	,	
2-18	409-414	минус	
2-19	415-418	икс	
2-20	418-419	,	
2-21	420-424	если	
2-22	425-428	икс	
2-23	429-440	отрицателен	
2-24	440-441	.	

#Text=Для решения уравнения или неравенства, содержащего неизвестную величину под знаком модуля, обычно используют следующий алгоритм.
3-1	442-445	Для	
3-2	446-453	решения	
3-3	454-463	уравнения	
3-4	464-467	или	
3-5	468-479	неравенства	
3-6	479-480	,	
3-7	481-492	содержащего	
3-8	493-504	неизвестную	
3-9	505-513	величину	
3-10	514-517	под	
3-11	518-524	знаком	
3-12	525-531	модуля	
3-13	531-532	,	
3-14	533-539	обычно	
3-15	540-550	используют	
3-16	551-560	следующий	
3-17	561-569	алгоритм	
3-18	569-570	.	

#Text=Первое.
4-1	571-577	Первое	
4-2	577-578	.	

#Text=Находим область допустимых значений уравнения или неравенства.
5-1	579-586	Находим	
5-2	587-594	область	
5-3	595-605	допустимых	
5-4	606-614	значений	
5-5	615-624	уравнения	
5-6	625-628	или	
5-7	629-640	неравенства	
5-8	640-641	.	

#Text=Второе.
6-1	642-648	Второе	
6-2	648-649	.	

#Text=Найти значения переменной, при которых выражения, стоящие под знаком модуля, обращаются в нуль.
7-1	650-655	Найти	
7-2	656-664	значения	
7-3	665-675	переменной	
7-4	675-676	,	
7-5	677-680	при	
7-6	681-688	которых	
7-7	689-698	выражения	
7-8	698-699	,	
7-9	700-707	стоящие	
7-10	708-711	под	
7-11	712-718	знаком	
7-12	719-725	модуля	
7-13	725-726	,	
7-14	727-737	обращаются	
7-15	738-739	в	
7-16	740-744	нуль	
7-17	744-745	.	

#Text=Третье.
8-1	746-752	Третье	
8-2	752-753	.	

#Text=Область допустимых значений уравнения (неравенства) найденными значениями разбивается на промежутки, на каждом из которых выражение, находящееся под знаком модуля, сохраняет знак.
9-1	754-761	Область	
9-2	762-772	допустимых	
9-3	773-781	значений	
9-4	782-791	уравнения	
9-5	792-793	(	
9-6	793-804	неравенства	
9-7	804-805	)	
9-8	806-816	найденными	
9-9	817-827	значениями	
9-10	828-839	разбивается	
9-11	840-842	на	
9-12	843-853	промежутки	
9-13	853-854	,	
9-14	855-857	на	
9-15	858-864	каждом	
9-16	865-867	из	
9-17	868-875	которых	
9-18	876-885	выражение	
9-19	885-886	,	
9-20	887-898	находящееся	
9-21	899-902	под	
9-22	903-909	знаком	
9-23	910-916	модуля	
9-24	916-917	,	
9-25	918-927	сохраняет	
9-26	928-932	знак	
9-27	932-933	.	

#Text=Четвёртое.
10-1	934-943	Четвёртое	
10-2	943-944	.	

#Text=На каждом таком промежутке записать уравнение (неравенство), раскрывая модуль в соответствии со знаком.
11-1	945-947	На	
11-2	948-954	каждом	
11-3	955-960	таком	
11-4	961-971	промежутке	
11-5	972-980	записать	
11-6	981-990	уравнение	
11-7	991-992	(	
11-8	992-1003	неравенство	
