#FORMAT=WebAnno TSV 3.3


#Text=title: "Комбинаторика 3.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-21	Комбинаторика	
1-5	22-23	3	
1-6	23-24	.	

#Text=Число размещений.
2-1	25-30	Число	
2-2	31-41	размещений	
2-3	41-42	.	

#Text=Число сочетаний.
3-1	43-48	Число	
3-2	49-58	сочетаний	
3-3	58-59	.	

#Text=Часть 3"
#Text=yb_link: "https://youtu.be/6Yf81TxrayE"
#Text=branch: "статистика"
#Text=level: "олимпиадная программа"
#Text=timecode_start: "0:01"
#Text=timecode_end: "3:51"
#Text=text: "Сейчас мы с вами потренируемся применять полученные навыки в задачах.
4-1	60-65	Часть	
4-2	66-67	3	
4-3	67-68	"	
4-4	69-76	yb_link	
4-5	76-77	:	
4-6	78-79	"	
4-7	79-84	https	
4-8	84-85	:	
4-9	85-86	/	
4-10	86-87	/	
4-11	87-95	youtu.be	
4-12	95-96	/	
4-13	96-107	6Yf81TxrayE	
4-14	107-108	"	
4-15	109-115	branch	
4-16	115-116	:	
4-17	117-118	"	
4-18	118-128	статистика	
4-19	128-129	"	
4-20	130-135	level	
4-21	135-136	:	
4-22	137-138	"	
4-23	138-149	олимпиадная	
4-24	150-159	программа	
4-25	159-160	"	
4-26	161-175	timecode_start	
4-27	175-176	:	
4-28	177-178	"	
4-29	178-179	0	
4-30	179-180	:	
4-31	180-182	01	
4-32	182-183	"	
4-33	184-196	timecode_end	
4-34	196-197	:	
4-35	198-199	"	
4-36	199-200	3	
4-37	200-201	:	
4-38	201-203	51	
4-39	203-204	"	
4-40	205-209	text	
4-41	209-210	:	
4-42	211-212	"	
4-43	212-218	Сейчас	
4-44	219-221	мы	
4-45	222-223	с	
4-46	224-228	вами	
4-47	229-242	потренируемся	
4-48	243-252	применять	
4-49	253-263	полученные	
4-50	264-270	навыки	
4-51	271-272	в	
4-52	273-280	задачах	
4-53	280-281	.	

#Text=Первая задачка.
5-1	282-288	Первая	
5-2	289-296	задачка	
5-3	296-297	.	

#Text=Сколько способов у нас разбить десять человек на две команды по пять человек?
6-1	298-305	Сколько	
6-2	306-314	способов	
6-3	315-316	у	
6-4	317-320	нас	
6-5	321-328	разбить	
6-6	329-335	десять	
6-7	336-343	человек	
6-8	344-346	на	
6-9	347-350	две	
6-10	351-358	команды	
6-11	359-361	по	
6-12	362-366	пять	
6-13	367-374	человек	
6-14	374-375	?	

#Text=Нам нужно выбрать сперва пять человек из десяти.
7-1	376-379	Нам	
7-2	380-385	нужно	
7-3	386-393	выбрать	
7-4	394-400	сперва	
7-5	401-405	пять	
7-6	406-413	человек	
7-7	414-416	из	
7-8	417-423	десяти	
7-9	423-424	.	

#Text=Причём, мы не должны их по порядку расставлять.
8-1	425-431	Причём	
8-2	431-432	,	
8-3	433-435	мы	
8-4	436-438	не	
8-5	439-445	должны	
8-6	446-448	их	
8-7	449-451	по	
8-8	452-459	порядку	
8-9	460-471	расставлять	
8-10	471-472	.	

#Text=Значит, это у нас цэ из десяти в пять.
9-1	473-479	Значит	
9-2	479-480	,	
9-3	481-484	это	
9-4	485-486	у	
9-5	487-490	нас	
9-6	491-493	цэ	
9-7	494-496	из	
9-8	497-503	десяти	
9-9	504-505	в	
9-10	506-510	пять	
9-11	510-511	.	

#Text=Это мы выбрали пять человек в одну команду и, соответственно, у нас вторая команда автоматически тоже появилась.
10-1	512-515	Это	
10-2	516-518	мы	
10-3	519-526	выбрали	
10-4	527-531	пять	
10-5	532-539	человек	
10-6	540-541	в	
10-7	542-546	одну	
10-8	547-554	команду	
10-9	555-556	и	
10-10	556-557	,	
10-11	558-572	соответственно	
10-12	572-573	,	
10-13	574-575	у	
10-14	576-579	нас	
10-15	580-586	вторая	
10-16	587-594	команда	
10-17	595-608	автоматически	
10-18	609-613	тоже	
10-19	614-623	появилась	
10-20	623-624	.	

#Text=Но в этой задачке мы можем сперва поставить первую и вторую команду, либо вторую и первую.
11-1	625-627	Но	
11-2	628-629	в	
11-3	630-634	этой	
11-4	635-642	задачке	
11-5	643-645	мы	
11-6	646-651	можем	
11-7	652-658	сперва	
11-8	659-668	поставить	
11-9	669-675	первую	
11-10	676-677	и	
11-11	678-684	вторую	
11-12	685-692	команду	
11-13	692-693	,	
11-14	694-698	либо	
11-15	699-705	вторую	
11-16	706-707	и	
11-17	708-714	первую	
11-18	714-715	.	

#Text=То есть у нас команда один, команда два – мы выбрали пять человек сюда.
12-1	716-718	То	
12-2	719-723	есть	
12-3	724-725	у	
12-4	726-729	нас	
12-5	730-737	команда	
12-6	738-742	один	
12-7	742-743	,	
12-8	744-751	команда	
12-9	752-755	два	
12-10	756-757	–	
12-11	758-760	мы	
12-12	761-768	выбрали	
12-13	769-773	пять	
12-14	774-781	человек	
12-15	782-786	сюда	
12-16	786-787	.	

#Text=А могли выбрать наоборот: команда два, команда один – этих пять человек могли выбрать сюда.
13-1	788-789	А	
13-2	790-795	могли	
13-3	796-803	выбрать	
13-4	804-812	наоборот	
13-5	812-813	:	
13-6	814-821	команда	
13-7	822-825	два	
13-8	825-826	,	
13-9	827-834	команда	
13-10	835-839	один	
13-11	840-841	–	
13-12	842-846	этих	
13-13	847-851	пять	
13-14	852-859	человек	
13-15	860-865	могли	
13-16	866-873	выбрать	
