#FORMAT=WebAnno TSV 3.3


#Text=title: "КВАДРАТНЫЙ КОРЕНЬ ИЗ ДРОБИ 8 класс алгебра"
#Text=yb_link: "https://youtu.be/tn5TAGa4A9s"
#Text=branch: "элементарная математика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:03"
#Text=timecode_end: "3:06"
#Text=text: "Тема урока квадратный корень из дроби.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-18	КВАДРАТНЫЙ	
1-5	19-25	КОРЕНЬ	
1-6	26-28	ИЗ	
1-7	29-34	ДРОБИ	
1-8	35-36	8	
1-9	37-42	класс	
1-10	43-50	алгебра	
1-11	50-51	"	
1-12	52-59	yb_link	
1-13	59-60	:	
1-14	61-62	"	
1-15	62-67	https	
1-16	67-68	:	
1-17	68-69	/	
1-18	69-70	/	
1-19	70-78	youtu.be	
1-20	78-79	/	
1-21	79-90	tn5TAGa4A9s	
1-22	90-91	"	
1-23	92-98	branch	
1-24	98-99	:	
1-25	100-101	"	
1-26	101-113	элементарная	
1-27	114-124	математика	
1-28	124-125	"	
1-29	126-131	level	
1-30	131-132	:	
1-31	133-134	"	
1-32	134-142	школьная	
1-33	143-152	программа	
1-34	152-153	"	
1-35	154-168	timecode_start	
1-36	168-169	:	
1-37	170-171	"	
1-38	171-172	0	
1-39	172-173	:	
1-40	173-175	03	
1-41	175-176	"	
1-42	177-189	timecode_end	
1-43	189-190	:	
1-44	191-192	"	
1-45	192-193	3	
1-46	193-194	:	
1-47	194-196	06	
1-48	196-197	"	
1-49	198-202	text	
1-50	202-203	:	
1-51	204-205	"	
1-52	205-209	Тема	
1-53	210-215	урока	
1-54	216-226	квадратный	
1-55	227-233	корень	
1-56	234-236	из	
1-57	237-242	дроби	
1-58	242-243	.	

#Text=Пример номер один: вычислите.
2-1	244-250	Пример	
2-2	251-256	номер	
2-3	257-261	один	
2-4	261-262	:	
2-5	263-272	вычислите	
2-6	272-273	.	

#Text=Извлечём отдельно квадратные корни из числителей и знаменателей: это будет шесть восьмых плюс семь двенадцатых.
3-1	274-282	Извлечём	
3-2	283-291	отдельно	
3-3	292-302	квадратные	
3-4	303-308	корни	
3-5	309-311	из	
3-6	312-322	числителей	
3-7	323-324	и	
3-8	325-337	знаменателей	
3-9	337-338	:	
3-10	339-342	это	
3-11	343-348	будет	
3-12	349-354	шесть	
3-13	355-362	восьмых	
3-14	363-367	плюс	
3-15	368-372	семь	
3-16	373-384	двенадцатых	
3-17	384-385	.	

#Text=Первую дробь я сокращу, разделю числитель и знаменатель на два, получу новую дробь три четвёртых.
4-1	386-392	Первую	
4-2	393-398	дробь	
4-3	399-400	я	
4-4	401-408	сокращу	
4-5	408-409	,	
4-6	410-417	разделю	
4-7	418-427	числитель	
4-8	428-429	и	
4-9	430-441	знаменатель	
4-10	442-444	на	
4-11	445-448	два	
4-12	448-449	,	
4-13	450-456	получу	
4-14	457-462	новую	
4-15	463-468	дробь	
4-16	469-472	три	
4-17	473-482	четвёртых	
4-18	482-483	.	

#Text=Теперь эту дробь умножу и числитель, и знаменатель на три, и новая дробь будет девять двенадцатых.
5-1	484-490	Теперь	
5-2	491-494	эту	
5-3	495-500	дробь	
5-4	501-507	умножу	
5-5	508-509	и	
5-6	510-519	числитель	
5-7	519-520	,	
5-8	521-522	и	
5-9	523-534	знаменатель	
5-10	535-537	на	
5-11	538-541	три	
5-12	541-542	,	
5-13	543-544	и	
5-14	545-550	новая	
5-15	551-556	дробь	
5-16	557-562	будет	
5-17	563-569	девять	
5-18	570-581	двенадцатых	
5-19	581-582	.	

#Text=И так я получу шестнадцать двенадцатых.
6-1	583-584	И	
6-2	585-588	так	
6-3	589-590	я	
6-4	591-597	получу	
6-5	598-609	шестнадцать	
6-6	610-621	двенадцатых	
6-7	621-622	.	

#Text=У этой дроби разделю числитель и знаменатель на четыре, получу четыре третьих, выделю целую часть – это будет одна целая одна третья.
7-1	623-624	У	
7-2	625-629	этой	
7-3	630-635	дроби	
7-4	636-643	разделю	
7-5	644-653	числитель	
7-6	654-655	и	
7-7	656-667	знаменатель	
7-8	668-670	на	
7-9	671-677	четыре	
7-10	677-678	,	
7-11	679-685	получу	
7-12	686-692	четыре	
7-13	693-700	третьих	
7-14	700-701	,	
7-15	702-708	выделю	
7-16	709-714	целую	
7-17	715-720	часть	
7-18	721-722	–	
7-19	723-726	это	
7-20	727-732	будет	
7-21	733-737	одна	
7-22	738-743	целая	
7-23	744-748	одна	
7-24	749-755	третья	
7-25	755-756	.	

#Text=Пример номер два: вычислите.
8-1	757-763	Пример	
8-2	764-769	номер	
8-3	770-773	два	
8-4	773-774	:	
8-5	775-784	вычислите	
8-6	784-785	.	

#Text=Умножим и числитель, и знаменатель на скобку корень из семи минус корень из трёх.
9-1	786-793	Умножим	
9-2	794-795	и	
9-3	796-805	числитель	
9-4	805-806	,	
9-5	807-808	и	
9-6	809-820	знаменатель	
9-7	821-823	на	
9-8	824-830	скобку	
9-9	831-837	корень	
9-10	838-840	из	
9-11	841-845	семи	
9-12	846-851	минус	
9-13	852-858	корень	
9-14	859-861	из	
9-15	862-866	трёх	
9-16	866-867	.	

#Text=Тогда в числителе мы получим квадрат, а к знаменателю применим формулу разности квадратов.
10-1	868-873	Тогда	
10-2	874-875	в	
