#FORMAT=WebAnno TSV 3.3


#Text=title: "КВАДРАТНЫЙ КОРЕНЬ ИЗ ПРОИЗВЕДЕНИЯ 8 класс алгебра"
#Text=yb_link: "https://youtu.be/tXEhJzYx8Yk"
#Text=branch: "элементарная математика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:03"
#Text=timecode_end: "4:58"
#Text=text: "Тема урока – квадратный корень из произведения.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-18	КВАДРАТНЫЙ	
1-5	19-25	КОРЕНЬ	
1-6	26-28	ИЗ	
1-7	29-41	ПРОИЗВЕДЕНИЯ	
1-8	42-43	8	
1-9	44-49	класс	
1-10	50-57	алгебра	
1-11	57-58	"	
1-12	59-66	yb_link	
1-13	66-67	:	
1-14	68-69	"	
1-15	69-74	https	
1-16	74-75	:	
1-17	75-76	/	
1-18	76-77	/	
1-19	77-85	youtu.be	
1-20	85-86	/	
1-21	86-97	tXEhJzYx8Yk	
1-22	97-98	"	
1-23	99-105	branch	
1-24	105-106	:	
1-25	107-108	"	
1-26	108-120	элементарная	
1-27	121-131	математика	
1-28	131-132	"	
1-29	133-138	level	
1-30	138-139	:	
1-31	140-141	"	
1-32	141-149	школьная	
1-33	150-159	программа	
1-34	159-160	"	
1-35	161-175	timecode_start	
1-36	175-176	:	
1-37	177-178	"	
1-38	178-179	0	
1-39	179-180	:	
1-40	180-182	03	
1-41	182-183	"	
1-42	184-196	timecode_end	
1-43	196-197	:	
1-44	198-199	"	
1-45	199-200	4	
1-46	200-201	:	
1-47	201-203	58	
1-48	203-204	"	
1-49	205-209	text	
1-50	209-210	:	
1-51	211-212	"	
1-52	212-216	Тема	
1-53	217-222	урока	
1-54	223-224	–	
1-55	225-235	квадратный	
1-56	236-242	корень	
1-57	243-245	из	
1-58	246-258	произведения	
1-59	258-259	.	

#Text=Пример номер один: вычислите.
2-1	260-266	Пример	
2-2	267-272	номер	
2-3	273-277	один	
2-4	277-278	:	
2-5	279-288	вычислите	
2-6	288-289	.	

#Text=Все три множителя я вынесу под один квадратный корень, тогда пятёрки можно сократить, также можно сократить и девятки и останется дробь три двенадцатых.
3-1	290-293	Все	
3-2	294-297	три	
3-3	298-307	множителя	
3-4	308-309	я	
3-5	310-316	вынесу	
3-6	317-320	под	
3-7	321-325	один	
3-8	326-336	квадратный	
3-9	337-343	корень	
3-10	343-344	,	
3-11	345-350	тогда	
3-12	351-358	пятёрки	
3-13	359-364	можно	
3-14	365-374	сократить	
3-15	374-375	,	
3-16	376-381	также	
3-17	382-387	можно	
3-18	388-397	сократить	
3-19	398-399	и	
3-20	400-407	девятки	
3-21	408-409	и	
3-22	410-419	останется	
3-23	420-425	дробь	
3-24	426-429	три	
3-25	430-441	двенадцатых	
3-26	441-442	.	

#Text=И разделим числитель и знаменатель дроби на три – это будет одна четвёртая.
4-1	443-444	И	
4-2	445-453	разделим	
4-3	454-463	числитель	
4-4	464-465	и	
4-5	466-477	знаменатель	
4-6	478-483	дроби	
4-7	484-486	на	
4-8	487-490	три	
4-9	491-492	–	
4-10	493-496	это	
4-11	497-502	будет	
4-12	503-507	одна	
4-13	508-517	четвёртая	
4-14	517-518	.	

#Text=И теперь извлечём квадратный корень из числителя и квадратный корень из знаменателя, получим одну вторую.
5-1	519-520	И	
5-2	521-527	теперь	
5-3	528-536	извлечём	
5-4	537-547	квадратный	
5-5	548-554	корень	
5-6	555-557	из	
5-7	558-567	числителя	
5-8	568-569	и	
5-9	570-580	квадратный	
5-10	581-587	корень	
5-11	588-590	из	
5-12	591-602	знаменателя	
5-13	602-603	,	
5-14	604-611	получим	
5-15	612-616	одну	
5-16	617-623	вторую	
5-17	623-624	.	

#Text=Пример номер два: вычислите.
6-1	625-631	Пример	
6-2	632-637	номер	
6-3	638-641	два	
6-4	641-642	:	
6-5	643-652	вычислите	
6-6	652-653	.	

#Text=Воспользуемся формулой квадрата суммы.
7-1	654-667	Воспользуемся	
7-2	668-676	формулой	
7-3	677-685	квадрата	
7-4	686-691	суммы	
7-5	691-692	.	

#Text=Получим квадратный корень из двух в квадрате плюс удвоенное произведение квадратного корня из двух и квадратного корня из восьми, плюс квадратный корень из восьми в квадрате.
8-1	693-700	Получим	
8-2	701-711	квадратный	
8-3	712-718	корень	
8-4	719-721	из	
8-5	722-726	двух	
8-6	727-728	в	
8-7	729-737	квадрате	
8-8	738-742	плюс	
8-9	743-752	удвоенное	
8-10	753-765	произведение	
8-11	766-777	квадратного	
8-12	778-783	корня	
8-13	784-786	из	
8-14	787-791	двух	
8-15	792-793	и	
8-16	794-805	квадратного	
8-17	806-811	корня	
8-18	812-814	из	
8-19	815-821	восьми	
8-20	821-822	,	
8-21	823-827	плюс	
8-22	828-838	квадратный	
8-23	839-845	корень	
8-24	846-848	из	
8-25	849-855	восьми	
8-26	856-857	в	
8-27	858-866	квадрате	
8-28	866-867	.	

#Text=Два множителя, корень из восьми и корень, из двух запишем под одним квадратным корнем – это будет шестнадцать.
9-1	868-871	Два	
9-2	872-881	множителя	
9-3	881-882	,	
9-4	883-889	корень	
9-5	890-892	из	
9-6	893-899	восьми	
9-7	900-901	и	
9-8	902-908	корень	
9-9	908-909	,	
9-10	910-912	из	
9-11	913-917	двух	
9-12	918-925	запишем	
9-13	926-929	под	
