#FORMAT=WebAnno TSV 3.3


#Text=title: "ОСНОВНОЕ СВОЙСТВО ДРОБИ 5 класс 6 класс урок 1 математика"
#Text=yb_link: "https://youtu.be/IueKnAI804E"
#Text=branch: "элементарная математика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:00"
#Text=timecode_end: "3:07"
#Text=text: "Всем привет.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-16	ОСНОВНОЕ	
1-5	17-25	СВОЙСТВО	
1-6	26-31	ДРОБИ	
1-7	32-33	5	
1-8	34-39	класс	
1-9	40-41	6	
1-10	42-47	класс	
1-11	48-52	урок	
1-12	53-54	1	
1-13	55-65	математика	
1-14	65-66	"	
1-15	67-74	yb_link	
1-16	74-75	:	
1-17	76-77	"	
1-18	77-82	https	
1-19	82-83	:	
1-20	83-84	/	
1-21	84-85	/	
1-22	85-93	youtu.be	
1-23	93-94	/	
1-24	94-105	IueKnAI804E	
1-25	105-106	"	
1-26	107-113	branch	
1-27	113-114	:	
1-28	115-116	"	
1-29	116-128	элементарная	
1-30	129-139	математика	
1-31	139-140	"	
1-32	141-146	level	
1-33	146-147	:	
1-34	148-149	"	
1-35	149-157	школьная	
1-36	158-167	программа	
1-37	167-168	"	
1-38	169-183	timecode_start	
1-39	183-184	:	
1-40	185-186	"	
1-41	186-187	0	
1-42	187-188	:	
1-43	188-190	00	
1-44	190-191	"	
1-45	192-204	timecode_end	
1-46	204-205	:	
1-47	206-207	"	
1-48	207-208	3	
1-49	208-209	:	
1-50	209-211	07	
1-51	211-212	"	
1-52	213-217	text	
1-53	217-218	:	
1-54	219-220	"	
1-55	220-224	Всем	
1-56	225-231	привет	
1-57	231-232	.	

#Text=Сегодня разберём что такое основное свойство дроби.
2-1	233-240	Сегодня	
2-2	241-249	разберём	
2-3	250-253	что	
2-4	254-259	такое	
2-5	260-268	основное	
2-6	269-277	свойство	
2-7	278-283	дроби	
2-8	283-284	.	

#Text=В любой дроби, для примера я возьму дробь три двенадцатых, можно умножить и числитель, и знаменатель на одно и то же число.
3-1	285-286	В	
3-2	287-292	любой	
3-3	293-298	дроби	
3-4	298-299	,	
3-5	300-303	для	
3-6	304-311	примера	
3-7	312-313	я	
3-8	314-320	возьму	
3-9	321-326	дробь	
3-10	327-330	три	
3-11	331-342	двенадцатых	
3-12	342-343	,	
3-13	344-349	можно	
3-14	350-358	умножить	
3-15	359-360	и	
3-16	361-370	числитель	
3-17	370-371	,	
3-18	372-373	и	
3-19	374-385	знаменатель	
3-20	386-388	на	
3-21	389-393	одно	
3-22	394-395	и	
3-23	396-398	то	
3-24	399-401	же	
3-25	402-407	число	
3-26	407-408	.	

#Text=При этом мы получим новую дробь: шесть двадцать четвёртых, и эта новая дробь будет равняться нашей исходной дроби.
4-1	409-412	При	
4-2	413-417	этом	
4-3	418-420	мы	
4-4	421-428	получим	
4-5	429-434	новую	
4-6	435-440	дробь	
4-7	440-441	:	
4-8	442-447	шесть	
4-9	448-456	двадцать	
4-10	457-466	четвёртых	
4-11	466-467	,	
4-12	468-469	и	
4-13	470-473	эта	
4-14	474-479	новая	
4-15	480-485	дробь	
4-16	486-491	будет	
4-17	492-501	равняться	
4-18	502-507	нашей	
4-19	508-516	исходной	
4-20	517-522	дроби	
4-21	522-523	.	

#Text=Точно так же любую дробь: и числитель, и знаменатель, я могу разделить на одно и то же число.
5-1	524-529	Точно	
5-2	530-533	так	
5-3	534-536	же	
5-4	537-542	любую	
5-5	543-548	дробь	
5-6	548-549	:	
5-7	550-551	и	
5-8	552-561	числитель	
5-9	561-562	,	
5-10	563-564	и	
5-11	565-576	знаменатель	
5-12	576-577	,	
5-13	578-579	я	
5-14	580-584	могу	
5-15	585-594	разделить	
5-16	595-597	на	
5-17	598-602	одно	
5-18	603-604	и	
5-19	605-607	то	
5-20	608-610	же	
5-21	611-616	число	
5-22	616-617	.	

#Text=Я получу новую дробь: одну четвёртую, и эта дробь будет равняться нашей исходной дроби.
6-1	618-619	Я	
6-2	620-626	получу	
6-3	627-632	новую	
6-4	633-638	дробь	
6-5	638-639	:	
6-6	640-644	одну	
6-7	645-654	четвёртую	
6-8	654-655	,	
6-9	656-657	и	
6-10	658-661	эта	
6-11	662-667	дробь	
6-12	668-673	будет	
6-13	674-683	равняться	
6-14	684-689	нашей	
6-15	690-698	исходной	
6-16	699-704	дроби	
6-17	704-705	.	

#Text=Это и называется основным свойством дроби: мы можем дроби умножать: и числитель, и знаменатель на одно и то же число; и делить и числитель, и знаменатель на одно и то же число.
7-1	706-709	Это	
7-2	710-711	и	
7-3	712-722	называется	
7-4	723-731	основным	
7-5	732-741	свойством	
7-6	742-747	дроби	
7-7	747-748	:	
7-8	749-751	мы	
7-9	752-757	можем	
7-10	758-763	дроби	
7-11	764-772	умножать	
7-12	772-773	:	
7-13	774-775	и	
7-14	776-785	числитель	
7-15	785-786	,	
7-16	787-788	и	
7-17	789-800	знаменатель	
7-18	801-803	на	
7-19	804-808	одно	
7-20	809-810	и	
7-21	811-813	то	
7-22	814-816	же	
7-23	817-822	число	
7-24	822-823	;	
7-25	824-825	и	
7-26	826-832	делить	
7-27	833-834	и	
7-28	835-844	числитель	
7-29	844-845	,	
7-30	846-847	и	
7-31	848-859	знаменатель	
7-32	860-862	на	
