#FORMAT=WebAnno TSV 3.3


#Text=title: "СОКРАЩЕНИЕ ДРОБЕЙ 5 и 6 класс математика"
#Text=yb_link: "https://youtu.be/eyHR4LUtEDI"
#Text=branch: "элементарная математика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:00"
#Text=timecode_end: "1:39"
#Text=text: "Всем привет!
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-18	СОКРАЩЕНИЕ	
1-5	19-25	ДРОБЕЙ	
1-6	26-27	5	
1-7	28-29	и	
1-8	30-31	6	
1-9	32-37	класс	
1-10	38-48	математика	
1-11	48-49	"	
1-12	50-57	yb_link	
1-13	57-58	:	
1-14	59-60	"	
1-15	60-65	https	
1-16	65-66	:	
1-17	66-67	/	
1-18	67-68	/	
1-19	68-76	youtu.be	
1-20	76-77	/	
1-21	77-88	eyHR4LUtEDI	
1-22	88-89	"	
1-23	90-96	branch	
1-24	96-97	:	
1-25	98-99	"	
1-26	99-111	элементарная	
1-27	112-122	математика	
1-28	122-123	"	
1-29	124-129	level	
1-30	129-130	:	
1-31	131-132	"	
1-32	132-140	школьная	
1-33	141-150	программа	
1-34	150-151	"	
1-35	152-166	timecode_start	
1-36	166-167	:	
1-37	168-169	"	
1-38	169-170	0	
1-39	170-171	:	
1-40	171-173	00	
1-41	173-174	"	
1-42	175-187	timecode_end	
1-43	187-188	:	
1-44	189-190	"	
1-45	190-191	1	
1-46	191-192	:	
1-47	192-194	39	
1-48	194-195	"	
1-49	196-200	text	
1-50	200-201	:	
1-51	202-203	"	
1-52	203-207	Всем	
1-53	208-214	привет	
1-54	214-215	!	

#Text=Тема урока – сокращение дробей.
2-1	216-220	Тема	
2-2	221-226	урока	
2-3	227-228	–	
2-4	229-239	сокращение	
2-5	240-246	дробей	
2-6	246-247	.	

#Text=Напомню вам, что в дроби верхнее число называется числителем дроби и нижнее число – знаменателем.
3-1	248-255	Напомню	
3-2	256-259	вам	
3-3	259-260	,	
3-4	261-264	что	
3-5	265-266	в	
3-6	267-272	дроби	
3-7	273-280	верхнее	
3-8	281-286	число	
3-9	287-297	называется	
3-10	298-308	числителем	
3-11	309-314	дроби	
3-12	315-316	и	
3-13	317-323	нижнее	
3-14	324-329	число	
3-15	330-331	–	
3-16	332-344	знаменателем	
3-17	344-345	.	

#Text=Любую дробь, и числитель, и знаменатель мы можем умножить или разделить на одно и то же число, при этом дробь у нас не изменится.
4-1	346-351	Любую	
4-2	352-357	дробь	
4-3	357-358	,	
4-4	359-360	и	
4-5	361-370	числитель	
4-6	370-371	,	
4-7	372-373	и	
4-8	374-385	знаменатель	
4-9	386-388	мы	
4-10	389-394	можем	
4-11	395-403	умножить	
4-12	404-407	или	
4-13	408-417	разделить	
4-14	418-420	на	
4-15	421-425	одно	
4-16	426-427	и	
4-17	428-430	то	
4-18	431-433	же	
4-19	434-439	число	
4-20	439-440	,	
4-21	441-444	при	
4-22	445-449	этом	
4-23	450-455	дробь	
4-24	456-457	у	
4-25	458-461	нас	
4-26	462-464	не	
4-27	465-474	изменится	
4-28	474-475	.	

#Text=Давайте эту дробь, для примера, разделим на три: и числитель, и знаменатель дроби.
5-1	476-483	Давайте	
5-2	484-487	эту	
5-3	488-493	дробь	
5-4	493-494	,	
5-5	495-498	для	
5-6	499-506	примера	
5-7	506-507	,	
5-8	508-516	разделим	
5-9	517-519	на	
5-10	520-523	три	
5-11	523-524	:	
5-12	525-526	и	
5-13	527-536	числитель	
5-14	536-537	,	
5-15	538-539	и	
5-16	540-551	знаменатель	
5-17	552-557	дроби	
5-18	557-558	.	

#Text=При таком делении и числитель, и знаменатель дроби у нас станут меньше, но вот сама дробь у нас не изменится.
6-1	559-562	При	
6-2	563-568	таком	
6-3	569-576	делении	
6-4	577-578	и	
6-5	579-588	числитель	
6-6	588-589	,	
6-7	590-591	и	
6-8	592-603	знаменатель	
6-9	604-609	дроби	
6-10	610-611	у	
6-11	612-615	нас	
6-12	616-622	станут	
6-13	623-629	меньше	
6-14	629-630	,	
6-15	631-633	но	
6-16	634-637	вот	
6-17	638-642	сама	
6-18	643-648	дробь	
6-19	649-650	у	
6-20	651-654	нас	
6-21	655-657	не	
6-22	658-667	изменится	
6-23	667-668	.	

#Text=Рассмотрим пример: дробь шесть девятых.
7-1	669-679	Рассмотрим	
7-2	680-686	пример	
7-3	686-687	:	
7-4	688-693	дробь	
7-5	694-699	шесть	
7-6	700-707	девятых	
7-7	707-708	.	

#Text=И знаменатель, и числитель дроби у нас делятся на три.
8-1	709-710	И	
8-2	711-722	знаменатель	
8-3	722-723	,	
8-4	724-725	и	
8-5	726-735	числитель	
8-6	736-741	дроби	
8-7	742-743	у	
8-8	744-747	нас	
8-9	748-755	делятся	
8-10	756-758	на	
8-11	759-762	три	
8-12	762-763	.	

#Text=Давайте их разделим.
9-1	764-771	Давайте	
9-2	772-774	их	
9-3	775-783	разделим	
9-4	783-784	.	

#Text=Мы получим новую дробь две третьих, и вот эти две дроби будут равными.
10-1	785-787	Мы	
10-2	788-795	получим	
10-3	796-801	новую	
10-4	802-807	дробь	
10-5	808-811	две	
10-6	812-819	третьих	
10-7	819-820	,	
10-8	821-822	и	
10-9	823-826	вот	
10-10	827-830	эти	
10-11	831-834	две	
10-12	835-840	дроби	
