#FORMAT=WebAnno TSV 3.3


#Text=title: "УМНОЖЕНИЕ ДРОБЕЙ с разными знаменателями 5 6 класс"
#Text=yb_link: "https://youtu.be/BwLLoWxCZqA"
#Text=branch: "элементарная математика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:00"
#Text=timecode_end: "2:06"
#Text=text: "Всем привет.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-17	УМНОЖЕНИЕ	
1-5	18-24	ДРОБЕЙ	
1-6	25-26	с	
1-7	27-34	разными	
1-8	35-48	знаменателями	
1-9	49-50	5	
1-10	51-52	6	
1-11	53-58	класс	
1-12	58-59	"	
1-13	60-67	yb_link	
1-14	67-68	:	
1-15	69-70	"	
1-16	70-75	https	
1-17	75-76	:	
1-18	76-77	/	
1-19	77-78	/	
1-20	78-86	youtu.be	
1-21	86-87	/	
1-22	87-98	BwLLoWxCZqA	
1-23	98-99	"	
1-24	100-106	branch	
1-25	106-107	:	
1-26	108-109	"	
1-27	109-121	элементарная	
1-28	122-132	математика	
1-29	132-133	"	
1-30	134-139	level	
1-31	139-140	:	
1-32	141-142	"	
1-33	142-150	школьная	
1-34	151-160	программа	
1-35	160-161	"	
1-36	162-176	timecode_start	
1-37	176-177	:	
1-38	178-179	"	
1-39	179-180	0	
1-40	180-181	:	
1-41	181-183	00	
1-42	183-184	"	
1-43	185-197	timecode_end	
1-44	197-198	:	
1-45	199-200	"	
1-46	200-201	2	
1-47	201-202	:	
1-48	202-204	06	
1-49	204-205	"	
1-50	206-210	text	
1-51	210-211	:	
1-52	212-213	"	
1-53	213-217	Всем	
1-54	218-224	привет	
1-55	224-225	.	

#Text=Тема урока: умножение дробей.
2-1	226-230	Тема	
2-2	231-236	урока	
2-3	236-237	:	
2-4	238-247	умножение	
2-5	248-254	дробей	
2-6	254-255	.	

#Text=Сначала я вам напомню, что верхнее число в дроби называется числителем дроби, нижнее число – знаменателем дроби.
3-1	256-263	Сначала	
3-2	264-265	я	
3-3	266-269	вам	
3-4	270-277	напомню	
3-5	277-278	,	
3-6	279-282	что	
3-7	283-290	верхнее	
3-8	291-296	число	
3-9	297-298	в	
3-10	299-304	дроби	
3-11	305-315	называется	
3-12	316-326	числителем	
3-13	327-332	дроби	
3-14	332-333	,	
3-15	334-340	нижнее	
3-16	341-346	число	
3-17	347-348	–	
3-18	349-361	знаменателем	
3-19	362-367	дроби	
3-20	367-368	.	

#Text=Чтобы нам умножить две дроби, нам нужно умножить числители этих дробей и умножить знаменатели этих дробей.
4-1	369-374	Чтобы	
4-2	375-378	нам	
4-3	379-387	умножить	
4-4	388-391	две	
4-5	392-397	дроби	
4-6	397-398	,	
4-7	399-402	нам	
4-8	403-408	нужно	
4-9	409-417	умножить	
4-10	418-427	числители	
4-11	428-432	этих	
4-12	433-439	дробей	
4-13	440-441	и	
4-14	442-450	умножить	
4-15	451-462	знаменатели	
4-16	463-467	этих	
4-17	468-474	дробей	
4-18	474-475	.	

#Text=Два умножаем на шесть, это двенадцать, и три умножаем на семь, получим двадцать один.
5-1	476-479	Два	
5-2	480-488	умножаем	
5-3	489-491	на	
5-4	492-497	шесть	
5-5	497-498	,	
5-6	499-502	это	
5-7	503-513	двенадцать	
5-8	513-514	,	
5-9	515-516	и	
5-10	517-520	три	
5-11	521-529	умножаем	
5-12	530-532	на	
5-13	533-537	семь	
5-14	537-538	,	
5-15	539-546	получим	
5-16	547-555	двадцать	
5-17	556-560	один	
5-18	560-561	.	

#Text=И числитель, и знаменатель этой дроби делятся на три.
6-1	562-563	И	
6-2	564-573	числитель	
6-3	573-574	,	
6-4	575-576	и	
6-5	577-588	знаменатель	
6-6	589-593	этой	
6-7	594-599	дроби	
6-8	600-607	делятся	
6-9	608-610	на	
6-10	611-614	три	
6-11	614-615	.	

#Text=Давайте их разделим.
7-1	616-623	Давайте	
7-2	624-626	их	
7-3	627-635	разделим	
7-4	635-636	.	

#Text=Мы получим новую дробь четыре седьмых.
8-1	637-639	Мы	
8-2	640-647	получим	
8-3	648-653	новую	
8-4	654-659	дробь	
8-5	660-666	четыре	
8-6	667-674	седьмых	
8-7	674-675	.	

#Text=Вот эта операция, когда мы и знаменатель, и числитель делим на одно и то же число, называется сокращением дроби.
9-1	676-679	Вот	
9-2	680-683	эта	
9-3	684-692	операция	
9-4	692-693	,	
9-5	694-699	когда	
9-6	700-702	мы	
9-7	703-704	и	
9-8	705-716	знаменатель	
9-9	716-717	,	
9-10	718-719	и	
9-11	720-729	числитель	
9-12	730-735	делим	
9-13	736-738	на	
9-14	739-743	одно	
9-15	744-745	и	
9-16	746-748	то	
9-17	749-751	же	
9-18	752-757	число	
9-19	757-758	,	
9-20	759-769	называется	
9-21	770-781	сокращением	
9-22	782-787	дроби	
9-23	787-788	.	

#Text=Мы могли сразу бы сократить вот это произведение: знаменатель первой дроби можно разделить на три, и числитель второй дроби можно разделить и так же на три.
10-1	789-791	Мы	
10-2	792-797	могли	
10-3	798-803	сразу	
10-4	804-806	бы	
10-5	807-816	сократить	
10-6	817-820	вот	
10-7	821-824	это	
10-8	825-837	произведение	
10-9	837-838	:	
10-10	839-850	знаменатель	
10-11	851-857	первой	
10-12	858-863	дроби	
10-13	864-869	можно	
10-14	870-879	разделить	
10-15	880-882	на	
