#FORMAT=WebAnno TSV 3.3


#Text=title: "Основы комбинаторики.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-14	Основы	
1-5	15-28	комбинаторики	
1-6	28-29	.	

#Text=Урок 1.
2-1	30-34	Урок	
2-2	35-36	1	
2-3	36-37	.	

#Text=Общие правила комбинаторики."
#Text=yb_link: "https://youtu.be/AscXvFV-07g"
#Text=branch: "статистика"
#Text=level: "школьная программа"
#Text=timecode_start: "2:51"
#Text=timecode_end: "13:30"
#Text=text: "И первый видеоурок, или первый параграф, для тех, кто будет вести конспект, можно так и написать: общие правила комбинаторики.
3-1	38-43	Общие	
3-2	44-51	правила	
3-3	52-65	комбинаторики	
3-4	65-66	.	
3-5	66-67	"	
3-6	68-75	yb_link	
3-7	75-76	:	
3-8	77-78	"	
3-9	78-83	https	
3-10	83-84	:	
3-11	84-85	/	
3-12	85-86	/	
3-13	86-94	youtu.be	
3-14	94-95	/	
3-15	95-102	AscXvFV	
3-16	102-103	-	
3-17	103-106	07g	
3-18	106-107	"	
3-19	108-114	branch	
3-20	114-115	:	
3-21	116-117	"	
3-22	117-127	статистика	
3-23	127-128	"	
3-24	129-134	level	
3-25	134-135	:	
3-26	136-137	"	
3-27	137-145	школьная	
3-28	146-155	программа	
3-29	155-156	"	
3-30	157-171	timecode_start	
3-31	171-172	:	
3-32	173-174	"	
3-33	174-175	2	
3-34	175-176	:	
3-35	176-178	51	
3-36	178-179	"	
3-37	180-192	timecode_end	
3-38	192-193	:	
3-39	194-195	"	
3-40	195-197	13	
3-41	197-198	:	
3-42	198-200	30	
3-43	200-201	"	
3-44	202-206	text	
3-45	206-207	:	
3-46	208-209	"	
3-47	209-210	И	
3-48	211-217	первый	
3-49	218-227	видеоурок	
3-50	227-228	,	
3-51	229-232	или	
3-52	233-239	первый	
3-53	240-248	параграф	
3-54	248-249	,	
3-55	250-253	для	
3-56	254-257	тех	
3-57	257-258	,	
3-58	259-262	кто	
3-59	263-268	будет	
3-60	269-274	вести	
3-61	275-283	конспект	
3-62	283-284	,	
3-63	285-290	можно	
3-64	291-294	так	
3-65	295-296	и	
3-66	297-305	написать	
3-67	305-306	:	
3-68	307-312	общие	
3-69	313-320	правила	
3-70	321-334	комбинаторики	
3-71	334-335	.	

#Text=Параграф один – общие правила комбинаторики.
4-1	336-344	Параграф	
4-2	345-349	один	
4-3	350-351	–	
4-4	352-357	общие	
4-5	358-365	правила	
4-6	366-379	комбинаторики	
4-7	379-380	.	

#Text=Но прежде чем приступать непосредственно к формулировке правил, скажем, что это за наука – комбинаторика.
5-1	381-383	Но	
5-2	384-390	прежде	
5-3	391-394	чем	
5-4	395-405	приступать	
5-5	406-421	непосредственно	
5-6	422-423	к	
5-7	424-436	формулировке	
5-8	437-443	правил	
5-9	443-444	,	
5-10	445-451	скажем	
5-11	451-452	,	
5-12	453-456	что	
5-13	457-460	это	
5-14	461-463	за	
5-15	464-469	наука	
5-16	470-471	–	
5-17	472-485	комбинаторика	
5-18	485-486	.	

#Text=Область математики, в которой изучаются вопросы о том, сколько различных комбинаций, подчиненных тем или иным условиям, можно составить из заданных объектов, предметов, и называется комбинаторикой.
6-1	487-494	Область	
6-2	495-505	математики	
6-3	505-506	,	
6-4	507-508	в	
6-5	509-516	которой	
6-6	517-526	изучаются	
6-7	527-534	вопросы	
6-8	535-536	о	
6-9	537-540	том	
6-10	540-541	,	
6-11	542-549	сколько	
6-12	550-559	различных	
6-13	560-570	комбинаций	
6-14	570-571	,	
6-15	572-583	подчиненных	
6-16	584-587	тем	
6-17	588-591	или	
6-18	592-596	иным	
6-19	597-605	условиям	
6-20	605-606	,	
6-21	607-612	можно	
6-22	613-622	составить	
6-23	623-625	из	
6-24	626-634	заданных	
6-25	635-643	объектов	
6-26	643-644	,	
6-27	645-654	предметов	
6-28	654-655	,	
6-29	656-657	и	
6-30	658-668	называется	
6-31	669-683	комбинаторикой	
6-32	683-684	.	

#Text=В свое время комбинаторика, как и теория вероятности, возникли из теории азартных игр.
7-1	685-686	В	
7-2	687-691	свое	
7-3	692-697	время	
7-4	698-711	комбинаторика	
7-5	711-712	,	
7-6	713-716	как	
7-7	717-718	и	
7-8	719-725	теория	
7-9	726-737	вероятности	
7-10	737-738	,	
7-11	739-747	возникли	
7-12	748-750	из	
7-13	751-757	теории	
7-14	758-766	азартных	
7-15	767-770	игр	
7-16	770-771	.	

#Text=Для чего нужно изучение комбинаторики?
8-1	772-775	Для	
8-2	776-780	чего	
8-3	781-786	нужно	
8-4	787-795	изучение	
8-5	796-809	комбинаторики	
8-6	809-810	?	

#Text=Что даёт эта наука?
9-1	811-814	Что	
9-2	815-819	даёт	
9-3	820-823	эта	
9-4	824-829	наука	
9-5	829-830	?	

#Text=Комбинаторика, знание её законов, даёт возможность считать, умение считать, считать комбинации, считать разные другие вещи.
10-1	831-844	Комбинаторика	
10-2	844-845	,	
10-3	846-852	знание	
10-4	853-855	её	
10-5	856-863	законов	
10-6	863-864	,	
10-7	865-869	даёт	
10-8	870-881	возможность	
10-9	882-889	считать	
10-10	889-890	,	
10-11	891-897	умение	
10-12	898-905	считать	
10-13	905-906	,	
10-14	907-914	считать	
10-15	915-925	комбинации	
10-16	925-926	,	
10-17	927-934	считать	
10-18	935-941	разные	
