#FORMAT=WebAnno TSV 3.3


#Text=title: "Основы комбинаторики.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-14	Основы	
1-5	15-28	комбинаторики	
1-6	28-29	.	

#Text=Урок 2.
2-1	30-34	Урок	
2-2	35-36	2	
2-3	36-37	.	

#Text=Размещения с повторениями."
#Text=yb_link: "https://youtu.be/6CLMqZZmcqs"
#Text=branch: "статистика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:29"
#Text=timecode_end: "6:30"
#Text=text: "Дорогие друзья, мы начинаем второй видеоурок, посвященный вопросам комбинаторики.
3-1	38-48	Размещения	
3-2	49-50	с	
3-3	51-63	повторениями	
3-4	63-64	.	
3-5	64-65	"	
3-6	66-73	yb_link	
3-7	73-74	:	
3-8	75-76	"	
3-9	76-81	https	
3-10	81-82	:	
3-11	82-83	/	
3-12	83-84	/	
3-13	84-92	youtu.be	
3-14	92-93	/	
3-15	93-104	6CLMqZZmcqs	
3-16	104-105	"	
3-17	106-112	branch	
3-18	112-113	:	
3-19	114-115	"	
3-20	115-125	статистика	
3-21	125-126	"	
3-22	127-132	level	
3-23	132-133	:	
3-24	134-135	"	
3-25	135-143	школьная	
3-26	144-153	программа	
3-27	153-154	"	
3-28	155-169	timecode_start	
3-29	169-170	:	
3-30	171-172	"	
3-31	172-173	0	
3-32	173-174	:	
3-33	174-176	29	
3-34	176-177	"	
3-35	178-190	timecode_end	
3-36	190-191	:	
3-37	192-193	"	
3-38	193-194	6	
3-39	194-195	:	
3-40	195-197	30	
3-41	197-198	"	
3-42	199-203	text	
3-43	203-204	:	
3-44	205-206	"	
3-45	206-213	Дорогие	
3-46	214-220	друзья	
3-47	220-221	,	
3-48	222-224	мы	
3-49	225-233	начинаем	
3-50	234-240	второй	
3-51	241-250	видеоурок	
3-52	250-251	,	
3-53	252-263	посвященный	
3-54	264-272	вопросам	
3-55	273-286	комбинаторики	
3-56	286-287	.	

#Text=Так и запишем: параграф номер два.
4-1	288-291	Так	
4-2	292-293	и	
4-3	294-301	запишем	
4-4	301-302	:	
4-5	303-311	параграф	
4-6	312-317	номер	
4-7	318-321	два	
4-8	321-322	.	

#Text=Размещения с повторениями.
5-1	323-333	Размещения	
5-2	334-335	с	
5-3	336-348	повторениями	
5-4	348-349	.	

#Text=Итак, размещения с повторениями.
6-1	350-354	Итак	
6-2	354-355	,	
6-3	356-366	размещения	
6-4	367-368	с	
6-5	369-381	повторениями	
6-6	381-382	.	

#Text=Постановка задачи.
7-1	383-393	Постановка	
7-2	394-400	задачи	
7-3	400-401	.	

#Text=Пусть имеется эм различных типов предметов.
8-1	402-407	Пусть	
8-2	408-415	имеется	
8-3	416-418	эм	
8-4	419-428	различных	
8-5	429-434	типов	
8-6	435-444	предметов	
8-7	444-445	.	

#Text=Из них нужно составить расстановку размера ка, или расстановку из ка предметов, причём, в расстановку могут входить и предметы одного типа, а различные расстановки отличаются друг от друга или порядком входящих предметов или составом, такие расстановки и называются размещениями с повторениями.
9-1	446-448	Из	
9-2	449-452	них	
9-3	453-458	нужно	
9-4	459-468	составить	
9-5	469-480	расстановку	
9-6	481-488	размера	
9-7	489-491	ка	
9-8	491-492	,	
9-9	493-496	или	
9-10	497-508	расстановку	
9-11	509-511	из	
9-12	512-514	ка	
9-13	515-524	предметов	
9-14	524-525	,	
9-15	526-532	причём	
9-16	532-533	,	
9-17	534-535	в	
9-18	536-547	расстановку	
9-19	548-553	могут	
9-20	554-561	входить	
9-21	562-563	и	
9-22	564-572	предметы	
9-23	573-579	одного	
9-24	580-584	типа	
9-25	584-585	,	
9-26	586-587	а	
9-27	588-597	различные	
9-28	598-609	расстановки	
9-29	610-620	отличаются	
9-30	621-625	друг	
9-31	626-628	от	
9-32	629-634	друга	
9-33	635-638	или	
9-34	639-647	порядком	
9-35	648-656	входящих	
9-36	657-666	предметов	
9-37	667-670	или	
9-38	671-679	составом	
9-39	679-680	,	
9-40	681-686	такие	
9-41	687-698	расстановки	
9-42	699-700	и	
9-43	701-711	называются	
9-44	712-724	размещениями	
9-45	725-726	с	
9-46	727-739	повторениями	
9-47	739-740	.	

#Text=Обозначим общее число, или число всех размещений с повторениями, следующим образом: а с индексами эн внизу, ка вверху и с черточкой, с чертой вверху.
10-1	741-750	Обозначим	
10-2	751-756	общее	
10-3	757-762	число	
10-4	762-763	,	
10-5	764-767	или	
10-6	768-773	число	
10-7	774-778	всех	
10-8	779-789	размещений	
10-9	790-791	с	
10-10	792-804	повторениями	
10-11	804-805	,	
10-12	806-815	следующим	
10-13	816-823	образом	
10-14	823-824	:	
10-15	825-826	а	
10-16	827-828	с	
10-17	829-838	индексами	
10-18	839-841	эн	
10-19	842-847	внизу	
10-20	847-848	,	
10-21	849-851	ка	
10-22	852-858	вверху	
10-23	859-860	и	
10-24	861-862	с	
10-25	863-872	черточкой	
10-26	872-873	,	
10-27	874-875	с	
10-28	876-882	чертой	
10-29	883-889	вверху	
10-30	889-890	.	

#Text=А из эм по ка.
11-1	891-892	А	
11-2	893-895	из	
11-3	896-898	эм	
11-4	899-901	по	
11-5	902-904	ка	
11-6	904-905	.	

#Text=Пример: сколько членов в клубе велосипедистов, если номера их членских билетов – трёхзначные, и из суеверных соображений в номерах не встречаются цифры ноль и восемь?
