#FORMAT=WebAnno TSV 3.3


#Text=title: "КВАДРАТНЫЙ КОРЕНЬ из степени 8 класс алгебра"
#Text=yb_link: "https://youtu.be/nt82WSRvz_"
#Text=branch: "элементарная математика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:00"
#Text=timecode_end: "0:00"
#Text=text: "Тема урока – квадратный корень из степени.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-18	КВАДРАТНЫЙ	
1-5	19-25	КОРЕНЬ	
1-6	26-28	из	
1-7	29-36	степени	
1-8	37-38	8	
1-9	39-44	класс	
1-10	45-52	алгебра	
1-11	52-53	"	
1-12	54-61	yb_link	
1-13	61-62	:	
1-14	63-64	"	
1-15	64-69	https	
1-16	69-70	:	
1-17	70-71	/	
1-18	71-72	/	
1-19	72-80	youtu.be	
1-20	80-81	/	
1-21	81-90	nt82WSRvz	
1-22	90-91	_	
1-23	91-92	"	
1-24	93-99	branch	
1-25	99-100	:	
1-26	101-102	"	
1-27	102-114	элементарная	
1-28	115-125	математика	
1-29	125-126	"	
1-30	127-132	level	
1-31	132-133	:	
1-32	134-135	"	
1-33	135-143	школьная	
1-34	144-153	программа	
1-35	153-154	"	
1-36	155-169	timecode_start	
1-37	169-170	:	
1-38	171-172	"	
1-39	172-173	0	
1-40	173-174	:	
1-41	174-176	00	
1-42	176-177	"	
1-43	178-190	timecode_end	
1-44	190-191	:	
1-45	192-193	"	
1-46	193-194	0	
1-47	194-195	:	
1-48	195-197	00	
1-49	197-198	"	
1-50	199-203	text	
1-51	203-204	:	
1-52	205-206	"	
1-53	206-210	Тема	
1-54	211-216	урока	
1-55	217-218	–	
1-56	219-229	квадратный	
1-57	230-236	корень	
1-58	237-239	из	
1-59	240-247	степени	
1-60	247-248	.	

#Text=Пример номер один: вычислите значение выражений.
2-1	249-255	Пример	
2-2	256-261	номер	
2-3	262-266	один	
2-4	266-267	:	
2-5	268-277	вычислите	
2-6	278-286	значение	
2-7	287-296	выражений	
2-8	296-297	.	

#Text=Четвёртую степень у тройки запишем как три в квадрате и ещё раз в квадрате.
3-1	298-307	Четвёртую	
3-2	308-315	степень	
3-3	316-317	у	
3-4	318-324	тройки	
3-5	325-332	запишем	
3-6	333-336	как	
3-7	337-340	три	
3-8	341-342	в	
3-9	343-351	квадрате	
3-10	352-353	и	
3-11	354-357	ещё	
3-12	358-361	раз	
3-13	362-363	в	
3-14	364-372	квадрате	
3-15	372-373	.	

#Text=При возведении степени в степень показатели перемножаются.
4-1	374-377	При	
4-2	378-388	возведении	
4-3	389-396	степени	
4-4	397-398	в	
4-5	399-406	степень	
4-6	407-417	показатели	
4-7	418-431	перемножаются	
4-8	431-432	.	

#Text=Квадратный корень и вторая степень сократится, и мы получим девять.
5-1	433-443	Квадратный	
5-2	444-450	корень	
5-3	451-452	и	
5-4	453-459	вторая	
5-5	460-467	степень	
5-6	468-478	сократится	
5-7	478-479	,	
5-8	480-481	и	
5-9	482-484	мы	
5-10	485-492	получим	
5-11	493-499	девять	
5-12	499-500	.	

#Text=Давайте рассмотрим минус два в шестой степени.
6-1	501-508	Давайте	
6-2	509-519	рассмотрим	
6-3	520-525	минус	
6-4	526-529	два	
6-5	530-531	в	
6-6	532-538	шестой	
6-7	539-546	степени	
6-8	546-547	.	

#Text=Минус мы можем записать как минус единицу, умноженную на два.
7-1	548-553	Минус	
7-2	554-556	мы	
7-3	557-562	можем	
7-4	563-571	записать	
7-5	572-575	как	
7-6	576-581	минус	
7-7	582-589	единицу	
7-8	589-590	,	
7-9	591-601	умноженную	
7-10	602-604	на	
7-11	605-608	два	
7-12	608-609	.	

#Text=Выносим минус единицу за скобки, получим минус единица в шестой степени умножить на два в шестой степени.
8-1	610-617	Выносим	
8-2	618-623	минус	
8-3	624-631	единицу	
8-4	632-634	за	
8-5	635-641	скобки	
8-6	641-642	,	
8-7	643-650	получим	
8-8	651-656	минус	
8-9	657-664	единица	
8-10	665-666	в	
8-11	667-673	шестой	
8-12	674-681	степени	
8-13	682-690	умножить	
8-14	691-693	на	
8-15	694-697	два	
8-16	698-699	в	
8-17	700-706	шестой	
8-18	707-714	степени	
8-19	714-715	.	

#Text=Минус единица в чётной степени будет просто единицей, и так мы получим два в шестой степени.
9-1	716-721	Минус	
9-2	722-729	единица	
9-3	730-731	в	
9-4	732-738	чётной	
9-5	739-746	степени	
9-6	747-752	будет	
9-7	753-759	просто	
9-8	760-768	единицей	
9-9	768-769	,	
9-10	770-771	и	
9-11	772-775	так	
9-12	776-778	мы	
9-13	779-786	получим	
9-14	787-790	два	
9-15	791-792	в	
9-16	793-799	шестой	
9-17	800-807	степени	
9-18	807-808	.	

#Text=И действительно, любое отрицательное число в чётной степени будет равняться положительному числу.
10-1	809-810	И	
10-2	811-824	действительно	
10-3	824-825	,	
10-4	826-831	любое	
10-5	832-845	отрицательное	
10-6	846-851	число	
10-7	852-853	в	
10-8	854-860	чётной	
10-9	861-868	степени	
10-10	869-874	будет	
10-11	875-884	равняться	
10-12	885-899	положительному	
10-13	900-905	числу	
10-14	905-906	.	

#Text=И тогда знак минус мы отбросим, шестую степень запишем как третью степень и возводим во вторую степень.
11-1	907-908	И	
11-2	909-914	тогда	
11-3	915-919	знак	
11-4	920-925	минус	
11-5	926-928	мы	
