#FORMAT=WebAnno TSV 3.3


#Text=title: "Случайные величины.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-17	Случайные	
1-5	18-26	величины	
1-6	26-27	.	

#Text=Дискретные и непрерывные случайные величины"
#Text=yb_link: "https://youtu.be/a9TozuTnShY"
#Text=branch: "статистика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:00"
#Text=timecode_end: "0:00"
#Text=text: "Случайные величины.
2-1	28-38	Дискретные	
2-2	39-40	и	
2-3	41-52	непрерывные	
2-4	53-62	случайные	
2-5	63-71	величины	
2-6	71-72	"	
2-7	73-80	yb_link	
2-8	80-81	:	
2-9	82-83	"	
2-10	83-88	https	
2-11	88-89	:	
2-12	89-90	/	
2-13	90-91	/	
2-14	91-99	youtu.be	
2-15	99-100	/	
2-16	100-111	a9TozuTnShY	
2-17	111-112	"	
2-18	113-119	branch	
2-19	119-120	:	
2-20	121-122	"	
2-21	122-132	статистика	
2-22	132-133	"	
2-23	134-139	level	
2-24	139-140	:	
2-25	141-142	"	
2-26	142-150	школьная	
2-27	151-160	программа	
2-28	160-161	"	
2-29	162-176	timecode_start	
2-30	176-177	:	
2-31	178-179	"	
2-32	179-180	0	
2-33	180-181	:	
2-34	181-183	00	
2-35	183-184	"	
2-36	185-197	timecode_end	
2-37	197-198	:	
2-38	199-200	"	
2-39	200-201	0	
2-40	201-202	:	
2-41	202-204	00	
2-42	204-205	"	
2-43	206-210	text	
2-44	210-211	:	
2-45	212-213	"	
2-46	213-222	Случайные	
2-47	223-231	величины	
2-48	231-232	.	

#Text=Дискретные и непрерывные случайные величины.
3-1	233-243	Дискретные	
3-2	244-245	и	
3-3	246-257	непрерывные	
3-4	258-267	случайные	
3-5	268-276	величины	
3-6	276-277	.	

#Text=Случайной величиной называют величину, которая в результате испытания будет принимать одно и только одно значение заранее неизвестное и зависящее от случайных причин.
4-1	278-287	Случайной	
4-2	288-297	величиной	
4-3	298-306	называют	
4-4	307-315	величину	
4-5	315-316	,	
4-6	317-324	которая	
4-7	325-326	в	
4-8	327-337	результате	
4-9	338-347	испытания	
4-10	348-353	будет	
4-11	354-363	принимать	
4-12	364-368	одно	
4-13	369-370	и	
4-14	371-377	только	
4-15	378-382	одно	
4-16	383-391	значение	
4-17	392-399	заранее	
4-18	400-411	неизвестное	
4-19	412-413	и	
4-20	414-423	зависящее	
4-21	424-426	от	
4-22	427-436	случайных	
4-23	437-443	причин	
4-24	443-444	.	

#Text=Существенно, что значение этой величины заранее неизвестно и зависит от случайных причин.
5-1	445-456	Существенно	
5-2	456-457	,	
5-3	458-461	что	
5-4	462-470	значение	
5-5	471-475	этой	
5-6	476-484	величины	
5-7	485-492	заранее	
5-8	493-503	неизвестно	
5-9	504-505	и	
5-10	506-513	зависит	
5-11	514-516	от	
5-12	517-526	случайных	
5-13	527-533	причин	
5-14	533-534	.	

#Text=Пример: подбрасываем игральный кубик с гранями один, два, три, четыре, пять, шесть.
6-1	535-541	Пример	
6-2	541-542	:	
6-3	543-555	подбрасываем	
6-4	556-565	игральный	
6-5	566-571	кубик	
6-6	572-573	с	
6-7	574-581	гранями	
6-8	582-586	один	
6-9	586-587	,	
6-10	588-591	два	
6-11	591-592	,	
6-12	593-596	три	
6-13	596-597	,	
6-14	598-604	четыре	
6-15	604-605	,	
6-16	606-610	пять	
6-17	610-611	,	
6-18	612-617	шесть	
6-19	617-618	.	

#Text=Возможные значения – один, два, три, четыре, пять, шесть.
7-1	619-628	Возможные	
7-2	629-637	значения	
7-3	638-639	–	
7-4	640-644	один	
7-5	644-645	,	
7-6	646-649	два	
7-7	649-650	,	
7-8	651-654	три	
7-9	654-655	,	
7-10	656-662	четыре	
7-11	662-663	,	
7-12	664-668	пять	
7-13	668-669	,	
7-14	670-675	шесть	
7-15	675-676	.	

#Text=Значит, число выпавших очков при подбрасывании игрального кубика это и есть случайная величина.
8-1	677-683	Значит	
8-2	683-684	,	
8-3	685-690	число	
8-4	691-699	выпавших	
8-5	700-705	очков	
8-6	706-709	при	
8-7	710-723	подбрасывании	
8-8	724-734	игрального	
8-9	735-741	кубика	
8-10	742-745	это	
8-11	746-747	и	
8-12	748-752	есть	
8-13	753-762	случайная	
8-14	763-771	величина	
8-15	771-772	.	

#Text=Действительно, при подбрасывании выпадает то или иное количество очков, обязательно выпадает, и при этом какое-то одно: один, два, три, четыре, пять, шесть.
9-1	773-786	Действительно	
9-2	786-787	,	
9-3	788-791	при	
9-4	792-805	подбрасывании	
9-5	806-814	выпадает	
9-6	815-817	то	
9-7	818-821	или	
9-8	822-826	иное	
9-9	827-837	количество	
9-10	838-843	очков	
9-11	843-844	,	
9-12	845-856	обязательно	
9-13	857-865	выпадает	
9-14	865-866	,	
9-15	867-868	и	
9-16	869-872	при	
9-17	873-877	этом	
9-18	878-886	какое-то	
9-19	887-891	одно	
9-20	891-892	:	
9-21	893-897	один	
9-22	897-898	,	
9-23	899-902	два	
9-24	902-903	,	
9-25	904-907	три	
9-26	907-908	,	
9-27	909-915	четыре	
9-28	915-916	,	
9-29	917-921	пять	
9-30	921-922	,	
9-31	923-928	шесть	
9-32	928-929	.	

#Text=Причём заранее сказать, какое выпадет невозможно, поскольку это зависит от множества случайных факторов, заранее которые предсказать не представляется возможным.
