#FORMAT=WebAnno TSV 3.3


#Text=title: "Иррациональные неравенства #1"\r
#Text=yb_link: "https://youtu.be/X3oHS8eL40c"\r
#Text=branch: "уравнения и неравенства"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:00"\r
#Text=timecode_end: "5:08"\r
#Text=text: "Иррациональные неравенства.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-22	Иррациональные	
1-5	23-34	неравенства	
1-6	35-37	#1	
1-7	37-38	"	
1-8	40-47	yb_link	
1-9	47-48	:	
1-10	49-50	"	
1-11	50-55	https	
1-12	55-56	:	
1-13	56-57	/	
1-14	57-58	/	
1-15	58-66	youtu.be	
1-16	66-67	/	
1-17	67-78	X3oHS8eL40c	
1-18	78-79	"	
1-19	81-87	branch	
1-20	87-88	:	
1-21	89-90	"	
1-22	90-99	уравнения	
1-23	100-101	и	
1-24	102-113	неравенства	
1-25	113-114	"	
1-26	116-121	level	
1-27	121-122	:	
1-28	123-124	"	
1-29	124-132	школьная	
1-30	133-142	программа	
1-31	142-143	"	
1-32	145-159	timecode_start	
1-33	159-160	:	
1-34	161-162	"	
1-35	162-163	0	
1-36	163-164	:	
1-37	164-166	00	
1-38	166-167	"	
1-39	169-181	timecode_end	
1-40	181-182	:	
1-41	183-184	"	
1-42	184-185	5	
1-43	185-186	:	
1-44	186-188	08	
1-45	188-189	"	
1-46	191-195	text	
1-47	195-196	:	
1-48	197-198	"	
1-49	198-212	Иррациональные	
1-50	213-224	неравенства	
1-51	224-225	.	

#Text=Решите неравенство: разность икс минус пять умножить на квадратный корень, под корнем икс плюс один, и всё это меньше нуля.
2-1	226-232	Решите	
2-2	233-244	неравенство	
2-3	244-245	:	
2-4	246-254	разность	
2-5	255-258	икс	
2-6	259-264	минус	
2-7	265-269	пять	
2-8	270-278	умножить	
2-9	279-281	на	
2-10	282-292	квадратный	
2-11	293-299	корень	
2-12	299-300	,	
2-13	301-304	под	
2-14	305-311	корнем	
2-15	312-315	икс	
2-16	316-320	плюс	
2-17	321-325	один	
2-18	325-326	,	
2-19	327-328	и	
2-20	329-332	всё	
2-21	333-336	это	
2-22	337-343	меньше	
2-23	344-348	нуля	
2-24	348-349	.	

#Text=Данное неравенство имеет смысл, когда существует квадратный корень, а квадратный корень существует, когда подкоренное выражение, икс плюс один, больше либо равно нулю, то есть неотрицательно.
3-1	350-356	Данное	
3-2	357-368	неравенство	
3-3	369-374	имеет	
3-4	375-380	смысл	
3-5	380-381	,	
3-6	382-387	когда	
3-7	388-398	существует	
3-8	399-409	квадратный	
3-9	410-416	корень	
3-10	416-417	,	
3-11	418-419	а	
3-12	420-430	квадратный	
3-13	431-437	корень	
3-14	438-448	существует	
3-15	448-449	,	
3-16	450-455	когда	
3-17	456-467	подкоренное	
3-18	468-477	выражение	
3-19	477-478	,	
3-20	479-482	икс	
3-21	483-487	плюс	
3-22	488-492	один	
3-23	492-493	,	
3-24	494-500	больше	
3-25	501-505	либо	
3-26	506-511	равно	
3-27	512-516	нулю	
3-28	516-517	,	
3-29	518-520	то	
3-30	521-525	есть	
3-31	526-540	неотрицательно	
3-32	540-541	.	

#Text=Мало того, учитывая вот это наше основное неравенство, мы можем сразу сделать вывод отсюда, что икс плюс один должен быть строго больше нуля.
4-1	542-546	Мало	
4-2	547-551	того	
4-3	551-552	,	
4-4	553-561	учитывая	
4-5	562-565	вот	
4-6	566-569	это	
4-7	570-574	наше	
4-8	575-583	основное	
4-9	584-595	неравенство	
4-10	595-596	,	
4-11	597-599	мы	
4-12	600-605	можем	
4-13	606-611	сразу	
4-14	612-619	сделать	
4-15	620-625	вывод	
4-16	626-632	отсюда	
4-17	632-633	,	
4-18	634-637	что	
4-19	638-641	икс	
4-20	642-646	плюс	
4-21	647-651	один	
4-22	652-658	должен	
4-23	659-663	быть	
4-24	664-670	строго	
4-25	671-677	больше	
4-26	678-682	нуля	
4-27	682-683	.	

#Text=Почему?
5-1	684-690	Почему	
5-2	690-691	?	

#Text=Потому что если подкоренное выражение будет равно нулю, то тогда корень будет равен нулю, тогда левая часть будет равна нулю, и у нас получится, что ноль меньше нуля, то есть нет корней.
6-1	692-698	Потому	
6-2	699-702	что	
6-3	703-707	если	
6-4	708-719	подкоренное	
6-5	720-729	выражение	
6-6	730-735	будет	
6-7	736-741	равно	
6-8	742-746	нулю	
6-9	746-747	,	
6-10	748-750	то	
6-11	751-756	тогда	
6-12	757-763	корень	
6-13	764-769	будет	
6-14	770-775	равен	
6-15	776-780	нулю	
6-16	780-781	,	
6-17	782-787	тогда	
6-18	788-793	левая	
6-19	794-799	часть	
6-20	800-805	будет	
6-21	806-811	равна	
6-22	812-816	нулю	
6-23	816-817	,	
6-24	818-819	и	
6-25	820-821	у	
6-26	822-825	нас	
6-27	826-835	получится	
6-28	835-836	,	
6-29	837-840	что	
6-30	841-845	ноль	
6-31	846-852	меньше	
6-32	853-857	нуля	
6-33	857-858	,	
6-34	859-861	то	
6-35	862-866	есть	
6-36	867-870	нет	
6-37	871-877	корней	
6-38	877-878	.	

#Text=Это значит сразу потребуем, чтобы подкоренное выражение было строго больше нуля.
7-1	879-882	Это	
7-2	883-889	значит	
7-3	890-895	сразу	
7-4	896-905	потребуем	
7-5	905-906	,	
7-6	907-912	чтобы	
