#FORMAT=WebAnno TSV 3.3


#Text=title: "Иррациональные уравнения 1"\r
#Text=yb_link: "https://youtu.be/DThWseoo5DA"\r
#Text=branch: "уравнения и неравенства"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:00"\r
#Text=timecode_end: "5:38"\r
#Text=text: "Иррациональные уравнения.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-22	Иррациональные	
1-5	23-32	уравнения	
1-6	33-34	1	
1-7	34-35	"	
1-8	37-44	yb_link	
1-9	44-45	:	
1-10	46-47	"	
1-11	47-52	https	
1-12	52-53	:	
1-13	53-54	/	
1-14	54-55	/	
1-15	55-63	youtu.be	
1-16	63-64	/	
1-17	64-75	DThWseoo5DA	
1-18	75-76	"	
1-19	78-84	branch	
1-20	84-85	:	
1-21	86-87	"	
1-22	87-96	уравнения	
1-23	97-98	и	
1-24	99-110	неравенства	
1-25	110-111	"	
1-26	113-118	level	
1-27	118-119	:	
1-28	120-121	"	
1-29	121-129	школьная	
1-30	130-139	программа	
1-31	139-140	"	
1-32	142-156	timecode_start	
1-33	156-157	:	
1-34	158-159	"	
1-35	159-160	0	
1-36	160-161	:	
1-37	161-163	00	
1-38	163-164	"	
1-39	166-178	timecode_end	
1-40	178-179	:	
1-41	180-181	"	
1-42	181-182	5	
1-43	182-183	:	
1-44	183-185	38	
1-45	185-186	"	
1-46	188-192	text	
1-47	192-193	:	
1-48	194-195	"	
1-49	195-209	Иррациональные	
1-50	210-219	уравнения	
1-51	219-220	.	

#Text=Решите уравнение квадратный корень, под корнем икс квадрат минус десять, равен квадратному корню, под корнем минус три икс.
2-1	221-227	Решите	
2-2	228-237	уравнение	
2-3	238-248	квадратный	
2-4	249-255	корень	
2-5	255-256	,	
2-6	257-260	под	
2-7	261-267	корнем	
2-8	268-271	икс	
2-9	272-279	квадрат	
2-10	280-285	минус	
2-11	286-292	десять	
2-12	292-293	,	
2-13	294-299	равен	
2-14	300-311	квадратному	
2-15	312-317	корню	
2-16	317-318	,	
2-17	319-322	под	
2-18	323-329	корнем	
2-19	330-335	минус	
2-20	336-339	три	
2-21	340-343	икс	
2-22	343-344	.	

#Text=Квадратные корни, если они существуют, то они неотрицательны, то есть вот этот в левой части квадратный корень должен быть больше либо равен нулю и в правой части вот этот весь квадратный корень больше либо равен нулю.
3-1	345-355	Квадратные	
3-2	356-361	корни	
3-3	361-362	,	
3-4	363-367	если	
3-5	368-371	они	
3-6	372-382	существуют	
3-7	382-383	,	
3-8	384-386	то	
3-9	387-390	они	
3-10	391-405	неотрицательны	
3-11	405-406	,	
3-12	407-409	то	
3-13	410-414	есть	
3-14	415-418	вот	
3-15	419-423	этот	
3-16	424-425	в	
3-17	426-431	левой	
3-18	432-437	части	
3-19	438-448	квадратный	
3-20	449-455	корень	
3-21	456-462	должен	
3-22	463-467	быть	
3-23	468-474	больше	
3-24	475-479	либо	
3-25	480-485	равен	
3-26	486-490	нулю	
3-27	491-492	и	
3-28	493-494	в	
3-29	495-501	правой	
3-30	502-507	части	
3-31	508-511	вот	
3-32	512-516	этот	
3-33	517-521	весь	
3-34	522-532	квадратный	
3-35	533-539	корень	
3-36	540-546	больше	
3-37	547-551	либо	
3-38	552-557	равен	
3-39	558-562	нулю	
3-40	562-563	.	

#Text=А это значит, что можно возвести обе части данного уравнения в квадрат без потери корней.
4-1	564-565	А	
4-2	566-569	это	
4-3	570-576	значит	
4-4	576-577	,	
4-5	578-581	что	
4-6	582-587	можно	
4-7	588-596	возвести	
4-8	597-600	обе	
4-9	601-606	части	
4-10	607-614	данного	
4-11	615-624	уравнения	
4-12	625-626	в	
4-13	627-634	квадрат	
4-14	635-638	без	
4-15	639-645	потери	
4-16	646-652	корней	
4-17	652-653	.	

#Text=Тогда у нас получается икс квадрат минус десять после возведения первого квадратного корня в квадрат, получается подкоренное выражение, и в правой части получается тоже подкоренное выражение равно, минус три икс.
5-1	654-659	Тогда	
5-2	660-661	у	
5-3	662-665	нас	
5-4	666-676	получается	
5-5	677-680	икс	
5-6	681-688	квадрат	
5-7	689-694	минус	
5-8	695-701	десять	
5-9	702-707	после	
5-10	708-718	возведения	
5-11	719-726	первого	
5-12	727-738	квадратного	
5-13	739-744	корня	
5-14	745-746	в	
5-15	747-754	квадрат	
5-16	754-755	,	
5-17	756-766	получается	
5-18	767-778	подкоренное	
5-19	779-788	выражение	
5-20	788-789	,	
5-21	790-791	и	
5-22	792-793	в	
5-23	794-800	правой	
5-24	801-806	части	
5-25	807-817	получается	
5-26	818-822	тоже	
5-27	823-834	подкоренное	
5-28	835-844	выражение	
5-29	845-850	равно	
5-30	850-851	,	
5-31	852-857	минус	
5-32	858-861	три	
5-33	862-865	икс	
5-34	865-866	.	

#Text=Теперь надо добавить условия существования каждого из этих корней.
6-1	867-873	Теперь	
6-2	874-878	надо	
6-3	879-887	добавить	
6-4	888-895	условия	
6-5	896-909	существования	
6-6	910-917	каждого	
6-7	918-920	из	
6-8	921-925	этих	
6-9	926-932	корней	
6-10	932-933	.	

#Text=Минус три икс, подкоренное выражение второго корня, вот это вот, начинаем с более простого, больше либо равно нулю должно быть.
7-1	934-939	Минус	
7-2	940-943	три	
7-3	944-947	икс	
7-4	947-948	,	
7-5	949-960	подкоренное	
7-6	961-970	выражение	
