#FORMAT=WebAnno TSV 3.3


#Text=title: "Квадратные корни.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-18	Квадратные	
1-5	19-24	корни	
1-6	24-25	.	

#Text=Свойства квадратных корней.
2-1	26-34	Свойства	
2-2	35-45	квадратных	
2-3	46-52	корней	
2-4	52-53	.	

#Text=Алгебра 8 класс.
3-1	54-61	Алгебра	
3-2	62-63	8	
3-3	64-69	класс	
3-4	69-70	.	

#Text=Урок 16.
4-1	71-75	Урок	
4-2	76-78	16	
4-3	78-79	.	

#Text=Видеоуроки математики"\r
#Text=yb_link: "https://youtu.be/r4WJNaJrR_U"\r
#Text=branch: "элементарная математика"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:20"\r
#Text=timecode_end: "9:25"\r
#Text=text: "Квадратные корни и их свойства.
5-1	80-90	Видеоуроки	
5-2	91-101	математики	
5-3	101-102	"	
5-4	104-111	yb_link	
5-5	111-112	:	
5-6	113-114	"	
5-7	114-119	https	
5-8	119-120	:	
5-9	120-121	/	
5-10	121-122	/	
5-11	122-130	youtu.be	
5-12	130-131	/	
5-13	131-142	r4WJNaJrR_U	
5-14	142-143	"	
5-15	145-151	branch	
5-16	151-152	:	
5-17	153-154	"	
5-18	154-166	элементарная	
5-19	167-177	математика	
5-20	177-178	"	
5-21	180-185	level	
5-22	185-186	:	
5-23	187-188	"	
5-24	188-196	школьная	
5-25	197-206	программа	
5-26	206-207	"	
5-27	209-223	timecode_start	
5-28	223-224	:	
5-29	225-226	"	
5-30	226-227	0	
5-31	227-228	:	
5-32	228-230	20	
5-33	230-231	"	
5-34	233-245	timecode_end	
5-35	245-246	:	
5-36	247-248	"	
5-37	248-249	9	
5-38	249-250	:	
5-39	250-252	25	
5-40	252-253	"	
5-41	255-259	text	
5-42	259-260	:	
5-43	261-262	"	
5-44	262-272	Квадратные	
5-45	273-278	корни	
5-46	279-280	и	
5-47	281-283	их	
5-48	284-292	свойства	
5-49	292-293	.	

#Text=Квадратным корнем из числа а называют число, квадрат которого равен а.
6-1	294-304	Квадратным	
6-2	305-311	корнем	
6-3	312-314	из	
6-4	315-320	числа	
6-5	321-322	а	
6-6	323-331	называют	
6-7	332-337	число	
6-8	337-338	,	
6-9	339-346	квадрат	
6-10	347-355	которого	
6-11	356-361	равен	
6-12	362-363	а	
6-13	363-364	.	

#Text=Например, если икс в квадрате равняется двадцать пять, то икс, равное пять и икс, равное минус пять – квадратные корни из числа двадцать пять.
7-1	365-373	Например	
7-2	373-374	,	
7-3	375-379	если	
7-4	380-383	икс	
7-5	384-385	в	
7-6	386-394	квадрате	
7-7	395-404	равняется	
7-8	405-413	двадцать	
7-9	414-418	пять	
7-10	418-419	,	
7-11	420-422	то	
7-12	423-426	икс	
7-13	426-427	,	
7-14	428-434	равное	
7-15	435-439	пять	
7-16	440-441	и	
7-17	442-445	икс	
7-18	445-446	,	
7-19	447-453	равное	
7-20	454-459	минус	
7-21	460-464	пять	
7-22	465-466	–	
7-23	467-477	квадратные	
7-24	478-483	корни	
7-25	484-486	из	
7-26	487-492	числа	
7-27	493-501	двадцать	
7-28	502-506	пять	
7-29	506-507	.	

#Text=Арифметическим квадратным корнем из числа а называют неотрицательное число, квадрат которого равен а, то есть если икс в квадрате равняется девять, то икс, равный трем есть арифметический квадратный корень из числа девять.
8-1	508-522	Арифметическим	
8-2	523-533	квадратным	
8-3	534-540	корнем	
8-4	541-543	из	
8-5	544-549	числа	
8-6	550-551	а	
8-7	552-560	называют	
8-8	561-576	неотрицательное	
8-9	577-582	число	
8-10	582-583	,	
8-11	584-591	квадрат	
8-12	592-600	которого	
8-13	601-606	равен	
8-14	607-608	а	
8-15	608-609	,	
8-16	610-612	то	
8-17	613-617	есть	
8-18	618-622	если	
8-19	623-626	икс	
8-20	627-628	в	
8-21	629-637	квадрате	
8-22	638-647	равняется	
8-23	648-654	девять	
8-24	654-655	,	
8-25	656-658	то	
8-26	659-662	икс	
8-27	662-663	,	
8-28	664-670	равный	
8-29	671-675	трем	
8-30	676-680	есть	
8-31	681-695	арифметический	
8-32	696-706	квадратный	
8-33	707-713	корень	
8-34	714-716	из	
8-35	717-722	числа	
8-36	723-729	девять	
8-37	729-730	.	

#Text=Арифметический квадратный корень из числа а обозначается так, при этом а называется подкоренным выражением.
9-1	731-745	Арифметический	
9-2	746-756	квадратный	
9-3	757-763	корень	
9-4	764-766	из	
9-5	767-772	числа	
9-6	773-774	а	
9-7	775-787	обозначается	
9-8	788-791	так	
9-9	791-792	,	
9-10	793-796	при	
9-11	797-801	этом	
9-12	802-803	а	
9-13	804-814	называется	
9-14	815-826	подкоренным	
9-15	827-837	выражением	
9-16	837-838	.	

#Text=Действие, с помощью которого вычисляют арифметический квадратный корень называется извлечением квадратного корня.
10-1	839-847	Действие	
10-2	847-848	,	
10-3	849-850	с	
10-4	851-858	помощью	
10-5	859-867	которого	
10-6	868-877	вычисляют	
10-7	878-892	арифметический	
10-8	893-903	квадратный	
10-9	904-910	корень	
10-10	911-921	называется	
10-11	922-933	извлечением	
10-12	934-945	квадратного	
10-13	946-951	корня	
10-14	951-952	.	

#Text=Например, корень квадратный из числа двадцать пять равен пяти, при этом, пять является арифметическим квадратным корнем.
11-1	953-961	Например	
