#FORMAT=WebAnno TSV 3.3


#Text=title: "Решение типовых заданий по теме \\"Квадратные корни\\".
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-15	Решение	
1-5	16-23	типовых	
1-6	24-31	заданий	
1-7	32-34	по	
1-8	35-39	теме	
1-9	40-41	\	
1-10	41-42	"	
1-11	42-52	Квадратные	
1-12	53-58	корни	
1-13	58-59	\	
1-14	59-60	"	
1-15	60-61	.	

#Text=Алгебра 8 класс.
2-1	62-69	Алгебра	
2-2	70-71	8	
2-3	72-77	класс	
2-4	77-78	.	

#Text=Урок 17.
3-1	79-83	Урок	
3-2	84-86	17	
3-3	86-87	.	

#Text=Видеоуроки математики"\r
#Text=yb_link: "https://youtu.be/EaWN8bgtm3w"\r
#Text=branch: "элементарная математика"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:20"\r
#Text=timecode_end: "11:36"\r
#Text=text: "Решение типовых заданий по теме квадратные корни.
4-1	88-98	Видеоуроки	
4-2	99-109	математики	
4-3	109-110	"	
4-4	112-119	yb_link	
4-5	119-120	:	
4-6	121-122	"	
4-7	122-127	https	
4-8	127-128	:	
4-9	128-129	/	
4-10	129-130	/	
4-11	130-138	youtu.be	
4-12	138-139	/	
4-13	139-150	EaWN8bgtm3w	
4-14	150-151	"	
4-15	153-159	branch	
4-16	159-160	:	
4-17	161-162	"	
4-18	162-174	элементарная	
4-19	175-185	математика	
4-20	185-186	"	
4-21	188-193	level	
4-22	193-194	:	
4-23	195-196	"	
4-24	196-204	школьная	
4-25	205-214	программа	
4-26	214-215	"	
4-27	217-231	timecode_start	
4-28	231-232	:	
4-29	233-234	"	
4-30	234-235	0	
4-31	235-236	:	
4-32	236-238	20	
4-33	238-239	"	
4-34	241-253	timecode_end	
4-35	253-254	:	
4-36	255-256	"	
4-37	256-258	11	
4-38	258-259	:	
4-39	259-261	36	
4-40	261-262	"	
4-41	264-268	text	
4-42	268-269	:	
4-43	270-271	"	
4-44	271-278	Решение	
4-45	279-286	типовых	
4-46	287-294	заданий	
4-47	295-297	по	
4-48	298-302	теме	
4-49	303-313	квадратные	
4-50	314-319	корни	
4-51	319-320	.	

#Text=Задание номер один.
5-1	321-328	Задание	
5-2	329-334	номер	
5-3	335-339	один	
5-4	339-340	.	

#Text=Найти значение выражения.
6-1	341-346	Найти	
6-2	347-355	значение	
6-3	356-365	выражения	
6-4	365-366	.	

#Text=Корень квадратный, под корнем квадрата разности, корень квадратный из трех минус корень квадратный из двух.
7-1	367-373	Корень	
7-2	374-384	квадратный	
7-3	384-385	,	
7-4	386-389	под	
7-5	390-396	корнем	
7-6	397-405	квадрата	
7-7	406-414	разности	
7-8	414-415	,	
7-9	416-422	корень	
7-10	423-433	квадратный	
7-11	434-436	из	
7-12	437-441	трех	
7-13	442-447	минус	
7-14	448-454	корень	
7-15	455-465	квадратный	
7-16	466-468	из	
7-17	469-473	двух	
7-18	473-474	.	

#Text=По свойству квадратного корня. корень квадратный из квадрата равен модулю подкоренного выражения.
8-1	475-477	По	
8-2	478-486	свойству	
8-3	487-498	квадратного	
8-4	499-504	корня	
8-5	504-505	.	
8-6	506-512	корень	
8-7	513-523	квадратный	
8-8	524-526	из	
8-9	527-535	квадрата	
8-10	536-541	равен	
8-11	542-548	модулю	
8-12	549-561	подкоренного	
8-13	562-571	выражения	
8-14	571-572	.	

#Text=Поскольку корень квадратный из трех больше корня квадратного из двух значит выражение стоящие под знаком модуля является положительным числом, поэтому модуль будем раскрывать со знаком плюс.
9-1	573-582	Поскольку	
9-2	583-589	корень	
9-3	590-600	квадратный	
9-4	601-603	из	
9-5	604-608	трех	
9-6	609-615	больше	
9-7	616-621	корня	
9-8	622-633	квадратного	
9-9	634-636	из	
9-10	637-641	двух	
9-11	642-648	значит	
9-12	649-658	выражение	
9-13	659-666	стоящие	
9-14	667-670	под	
9-15	671-677	знаком	
9-16	678-684	модуля	
9-17	685-693	является	
9-18	694-707	положительным	
9-19	708-714	числом	
9-20	714-715	,	
9-21	716-723	поэтому	
9-22	724-730	модуль	
9-23	731-736	будем	
9-24	737-747	раскрывать	
9-25	748-750	со	
9-26	751-757	знаком	
9-27	758-762	плюс	
9-28	762-763	.	

#Text=Получаем вот такой ответ.
10-1	764-772	Получаем	
10-2	773-776	вот	
10-3	777-782	такой	
10-4	783-788	ответ	
10-5	788-789	.	

#Text=Второе задание.
11-1	790-796	Второе	
11-2	797-804	задание	
11-3	804-805	.	

#Text=Корень квадратный из икс квадрат минус два икс плюс единица.
12-1	806-812	Корень	
12-2	813-823	квадратный	
12-3	824-826	из	
12-4	827-830	икс	
12-5	831-838	квадрат	
12-6	839-844	минус	
12-7	845-848	два	
12-8	849-852	икс	
12-9	853-857	плюс	
12-10	858-865	единица	
12-11	865-866	.	

#Text=При этом известно, что икс больше единицы.
13-1	867-870	При	
13-2	871-875	этом	
13-3	876-884	известно	
13-4	884-885	,	
13-5	886-889	что	
13-6	890-893	икс	
13-7	894-900	больше	
13-8	901-908	единицы	
13-9	908-909	.	

#Text=Несложно заметить под знаком корня квадрат разности.
14-1	910-918	Несложно	
14-2	919-927	заметить	
14-3	928-931	под	
14-4	932-938	знаком	
14-5	939-944	корня	
14-6	945-952	квадрат	
14-7	953-961	разности	
