#FORMAT=WebAnno TSV 3.3


#Text=title: "Дробные рациональные выражения.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-15	Дробные	
1-5	16-28	рациональные	
1-6	29-38	выражения	
1-7	38-39	.	

#Text=Действия с рациональными дробями.
2-1	40-48	Действия	
2-2	49-50	с	
2-3	51-64	рациональными	
2-4	65-72	дробями	
2-5	72-73	.	

#Text=Алгебра 8 класс.
3-1	74-81	Алгебра	
3-2	82-83	8	
3-3	84-89	класс	
3-4	89-90	.	

#Text=Урок 13"\r
#Text=yb_link: "https://youtu.be/fyOB50jLLn0"\r
#Text=branch: "элементарная математика"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:20"\r
#Text=timecode_end: "15:40"\r
#Text=text: "Дробные рациональные выражения.
4-1	91-95	Урок	
4-2	96-98	13	
4-3	98-99	"	
4-4	101-108	yb_link	
4-5	108-109	:	
4-6	110-111	"	
4-7	111-116	https	
4-8	116-117	:	
4-9	117-118	/	
4-10	118-119	/	
4-11	119-127	youtu.be	
4-12	127-128	/	
4-13	128-139	fyOB50jLLn0	
4-14	139-140	"	
4-15	142-148	branch	
4-16	148-149	:	
4-17	150-151	"	
4-18	151-163	элементарная	
4-19	164-174	математика	
4-20	174-175	"	
4-21	177-182	level	
4-22	182-183	:	
4-23	184-185	"	
4-24	185-193	школьная	
4-25	194-203	программа	
4-26	203-204	"	
4-27	206-220	timecode_start	
4-28	220-221	:	
4-29	222-223	"	
4-30	223-224	0	
4-31	224-225	:	
4-32	225-227	20	
4-33	227-228	"	
4-34	230-242	timecode_end	
4-35	242-243	:	
4-36	244-245	"	
4-37	245-247	15	
4-38	247-248	:	
4-39	248-250	40	
4-40	250-251	"	
4-41	253-257	text	
4-42	257-258	:	
4-43	259-260	"	
4-44	260-267	Дробные	
4-45	268-280	рациональные	
4-46	281-290	выражения	
4-47	290-291	.	

#Text=Существуют целые и дробные рациональные выражения.
5-1	292-302	Существуют	
5-2	303-308	целые	
5-3	309-310	и	
5-4	311-318	дробные	
5-5	319-331	рациональные	
5-6	332-341	выражения	
5-7	341-342	.	

#Text=В целом выражении отсутствует деление на переменную, а в дробном присутствует деление на выражение, содержащее переменную.
6-1	343-344	В	
6-2	345-350	целом	
6-3	351-360	выражении	
6-4	361-372	отсутствует	
6-5	373-380	деление	
6-6	381-383	на	
6-7	384-394	переменную	
6-8	394-395	,	
6-9	396-397	а	
6-10	398-399	в	
6-11	400-407	дробном	
6-12	408-420	присутствует	
6-13	421-428	деление	
6-14	429-431	на	
6-15	432-441	выражение	
6-16	441-442	,	
6-17	443-453	содержащее	
6-18	454-464	переменную	
6-19	464-465	.	

#Text=Например, выражение вида три икс квадрат минус четыре икс плюс два является целым или одна седьмая квадрат минус четыре также является целым.
7-1	466-474	Например	
7-2	474-475	,	
7-3	476-485	выражение	
7-4	486-490	вида	
7-5	491-494	три	
7-6	495-498	икс	
7-7	499-506	квадрат	
7-8	507-512	минус	
7-9	513-519	четыре	
7-10	520-523	икс	
7-11	524-528	плюс	
7-12	529-532	два	
7-13	533-541	является	
7-14	542-547	целым	
7-15	548-551	или	
7-16	552-556	одна	
7-17	557-564	седьмая	
7-18	565-572	квадрат	
7-19	573-578	минус	
7-20	579-585	четыре	
7-21	586-591	также	
7-22	592-600	является	
7-23	601-606	целым	
7-24	606-607	.	

#Text=А выражение, например, шесть, деленное на икс минус два или три плюс икс, деленное на три минус икс являются дробными, поскольку знаменатели этих выражений содержат неизвестную икс.
8-1	608-609	А	
8-2	610-619	выражение	
8-3	619-620	,	
8-4	621-629	например	
8-5	629-630	,	
8-6	631-636	шесть	
8-7	636-637	,	
8-8	638-646	деленное	
8-9	647-649	на	
8-10	650-653	икс	
8-11	654-659	минус	
8-12	660-663	два	
8-13	664-667	или	
8-14	668-671	три	
8-15	672-676	плюс	
8-16	677-680	икс	
8-17	680-681	,	
8-18	682-690	деленное	
8-19	691-693	на	
8-20	694-697	три	
8-21	698-703	минус	
8-22	704-707	икс	
8-23	708-716	являются	
8-24	717-725	дробными	
8-25	725-726	,	
8-26	727-736	поскольку	
8-27	737-748	знаменатели	
8-28	749-753	этих	
8-29	754-763	выражений	
8-30	764-772	содержат	
8-31	773-784	неизвестную	
8-32	785-788	икс	
8-33	788-789	.	

#Text=Значение переменных, при которых возможны все математические действия, записанные в рациональном выражении, называются допустимыми значениями переменных.
9-1	790-798	Значение	
9-2	799-809	переменных	
9-3	809-810	,	
9-4	811-814	при	
9-5	815-822	которых	
9-6	823-831	возможны	
9-7	832-835	все	
9-8	836-850	математические	
9-9	851-859	действия	
9-10	859-860	,	
9-11	861-871	записанные	
9-12	872-873	в	
9-13	874-886	рациональном	
9-14	887-896	выражении	
9-15	896-897	,	
9-16	898-908	называются	
9-17	909-920	допустимыми	
9-18	921-931	значениями	
9-19	932-942	переменных	
9-20	942-943	.	

#Text=Например, рассмотрим дробь в числителе четыре, в знаменателе икс минус восемь.
10-1	944-952	Например	
10-2	952-953	,	
10-3	954-964	рассмотрим	
10-4	965-970	дробь	
10-5	971-972	в	
10-6	973-982	числителе	
10-7	983-989	четыре	
10-8	989-990	,	
10-9	991-992	в	
10-10	993-1004	знаменателе	
10-11	1005-1008	икс	
10-12	1009-1014	минус	
