#FORMAT=WebAnno TSV 3.3


#Text=title: "Сложение и вычитание дробей с равными знаменателями.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-16	Сложение	
1-5	17-18	и	
1-6	19-28	вычитание	
1-7	29-35	дробей	
1-8	36-37	с	
1-9	38-45	равными	
1-10	46-59	знаменателями	
1-11	59-60	.	

#Text=Математика 5–6 классы #10"
#Text=yb_link: "https://youtu.be/1BElonosSOc"
#Text=branch: "элементарная математика"
#Text=level: "школьная программа"
#Text=timecode_start: "0:20"
#Text=timecode_end: "7:07"
#Text=text: "Сложение и вычитание дробей с равными знаменателями.
2-1	61-71	Математика	
2-2	72-73	5	
2-3	73-74	–	
2-4	74-75	6	
2-5	76-82	классы	
2-6	83-86	#10	
2-7	86-87	"	
2-8	88-95	yb_link	
2-9	95-96	:	
2-10	97-98	"	
2-11	98-103	https	
2-12	103-104	:	
2-13	104-105	/	
2-14	105-106	/	
2-15	106-114	youtu.be	
2-16	114-115	/	
2-17	115-126	1BElonosSOc	
2-18	126-127	"	
2-19	128-134	branch	
2-20	134-135	:	
2-21	136-137	"	
2-22	137-149	элементарная	
2-23	150-160	математика	
2-24	160-161	"	
2-25	162-167	level	
2-26	167-168	:	
2-27	169-170	"	
2-28	170-178	школьная	
2-29	179-188	программа	
2-30	188-189	"	
2-31	190-204	timecode_start	
2-32	204-205	:	
2-33	206-207	"	
2-34	207-208	0	
2-35	208-209	:	
2-36	209-211	20	
2-37	211-212	"	
2-38	213-225	timecode_end	
2-39	225-226	:	
2-40	227-228	"	
2-41	228-229	7	
2-42	229-230	:	
2-43	230-232	07	
2-44	232-233	"	
2-45	234-238	text	
2-46	238-239	:	
2-47	240-241	"	
2-48	241-249	Сложение	
2-49	250-251	и	
2-50	252-261	вычитание	
2-51	262-268	дробей	
2-52	269-270	с	
2-53	271-278	равными	
2-54	279-292	знаменателями	
2-55	292-293	.	

#Text=При сложении дробей с равными знаменателями необходимо сложить их числители и оставить тот же знаменатель.
3-1	294-297	При	
3-2	298-306	сложении	
3-3	307-313	дробей	
3-4	314-315	с	
3-5	316-323	равными	
3-6	324-337	знаменателями	
3-7	338-348	необходимо	
3-8	349-356	сложить	
3-9	357-359	их	
3-10	360-369	числители	
3-11	370-371	и	
3-12	372-380	оставить	
3-13	381-384	тот	
3-14	385-387	же	
3-15	388-399	знаменатель	
3-16	399-400	.	

#Text=Например, две девятых плюс пять девятых равняется: в числителе записываем сумму числителей данных дробей, знаменатель оставляем прежним, получаем в ответе дробь семь девятых.
4-1	401-409	Например	
4-2	409-410	,	
4-3	411-414	две	
4-4	415-422	девятых	
4-5	423-427	плюс	
4-6	428-432	пять	
4-7	433-440	девятых	
4-8	441-450	равняется	
4-9	450-451	:	
4-10	452-453	в	
4-11	454-463	числителе	
4-12	464-474	записываем	
4-13	475-480	сумму	
4-14	481-491	числителей	
4-15	492-498	данных	
4-16	499-505	дробей	
4-17	505-506	,	
4-18	507-518	знаменатель	
4-19	519-528	оставляем	
4-20	529-536	прежним	
4-21	536-537	,	
4-22	538-546	получаем	
4-23	547-548	в	
4-24	549-555	ответе	
4-25	556-561	дробь	
4-26	562-566	семь	
4-27	567-574	девятых	
4-28	574-575	.	

#Text=Четыре тринадцатых плюс пять тринадцатых равняется: в числителе записываем сумму числителей, знаменатель оставляем без изменений, получаем девять тринадцатых.
5-1	576-582	Четыре	
5-2	583-594	тринадцатых	
5-3	595-599	плюс	
5-4	600-604	пять	
5-5	605-616	тринадцатых	
5-6	617-626	равняется	
5-7	626-627	:	
5-8	628-629	в	
5-9	630-639	числителе	
5-10	640-650	записываем	
5-11	651-656	сумму	
5-12	657-667	числителей	
5-13	667-668	,	
5-14	669-680	знаменатель	
5-15	681-690	оставляем	
5-16	691-694	без	
5-17	695-704	изменений	
5-18	704-705	,	
5-19	706-714	получаем	
5-20	715-721	девять	
5-21	722-733	тринадцатых	
5-22	733-734	.	

#Text=При вычитании дробей с равными знаменателями необходимо от числителя уменьшаемого вычесть числитель вычитаемого и знаменатель оставить без изменений.
6-1	735-738	При	
6-2	739-748	вычитании	
6-3	749-755	дробей	
6-4	756-757	с	
6-5	758-765	равными	
6-6	766-779	знаменателями	
6-7	780-790	необходимо	
6-8	791-793	от	
6-9	794-803	числителя	
6-10	804-816	уменьшаемого	
6-11	817-824	вычесть	
6-12	825-834	числитель	
6-13	835-846	вычитаемого	
6-14	847-848	и	
6-15	849-860	знаменатель	
6-16	861-869	оставить	
6-17	870-873	без	
6-18	874-883	изменений	
6-19	883-884	.	

#Text=Например, восемь пятнадцатых минус четыре пятнадцатых равняется: в числителе записываем разность числителей первой и второй дроби, знаменатель оставляем без изменений, получаем четыре пятнадцатых.
7-1	885-893	Например	
7-2	893-894	,	
7-3	895-901	восемь	
7-4	902-913	пятнадцатых	
7-5	914-919	минус	
7-6	920-926	четыре	
7-7	927-938	пятнадцатых	
7-8	939-948	равняется	
7-9	948-949	:	
7-10	950-951	в	
7-11	952-961	числителе	
7-12	962-972	записываем	
7-13	973-981	разность	
7-14	982-992	числителей	
7-15	993-999	первой	
7-16	1000-1001	и	
7-17	1002-1008	второй	
7-18	1009-1014	дроби	
7-19	1014-1015	,	
7-20	1016-1027	знаменатель	
7-21	1028-1037	оставляем	
