#FORMAT=WebAnno TSV 3.3


#Text=title: "Сложение и вычитание натуральных чисел.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-16	Сложение	
1-5	17-18	и	
1-6	19-28	вычитание	
1-7	29-40	натуральных	
1-8	41-46	чисел	
1-9	46-47	.	

#Text=Математика 5–6 классы #2"\r
#Text=yb_link: "https://youtu.be/9FM9NarGNWw"\r
#Text=branch: "элементарная математика"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:20"\r
#Text=timecode_end: "13:15"\r
#Text=text: "Сложение и вычитание натуральных чисел, переместительный и сочетательный закон и сложения.
2-1	48-58	Математика	
2-2	59-60	5	
2-3	60-61	–	
2-4	61-62	6	
2-5	63-69	классы	
2-6	70-72	#2	
2-7	72-73	"	
2-8	75-82	yb_link	
2-9	82-83	:	
2-10	84-85	"	
2-11	85-90	https	
2-12	90-91	:	
2-13	91-92	/	
2-14	92-93	/	
2-15	93-101	youtu.be	
2-16	101-102	/	
2-17	102-113	9FM9NarGNWw	
2-18	113-114	"	
2-19	116-122	branch	
2-20	122-123	:	
2-21	124-125	"	
2-22	125-137	элементарная	
2-23	138-148	математика	
2-24	148-149	"	
2-25	151-156	level	
2-26	156-157	:	
2-27	158-159	"	
2-28	159-167	школьная	
2-29	168-177	программа	
2-30	177-178	"	
2-31	180-194	timecode_start	
2-32	194-195	:	
2-33	196-197	"	
2-34	197-198	0	
2-35	198-199	:	
2-36	199-201	20	
2-37	201-202	"	
2-38	204-216	timecode_end	
2-39	216-217	:	
2-40	218-219	"	
2-41	219-221	13	
2-42	221-222	:	
2-43	222-224	15	
2-44	224-225	"	
2-45	227-231	text	
2-46	231-232	:	
2-47	233-234	"	
2-48	234-242	Сложение	
2-49	243-244	и	
2-50	245-254	вычитание	
2-51	255-266	натуральных	
2-52	267-272	чисел	
2-53	272-273	,	
2-54	274-290	переместительный	
2-55	291-292	и	
2-56	293-306	сочетательный	
2-57	307-312	закон	
2-58	313-314	и	
2-59	315-323	сложения	
2-60	323-324	.	

#Text=Пусть a плюс бэ равняется цэ, где а, бэ и цэ некоторые числа.
3-1	325-330	Пусть	
3-2	331-332	a	
3-3	333-337	плюс	
3-4	338-340	бэ	
3-5	341-350	равняется	
3-6	351-353	цэ	
3-7	353-354	,	
3-8	355-358	где	
3-9	359-360	а	
3-10	360-361	,	
3-11	362-364	бэ	
3-12	365-366	и	
3-13	367-369	цэ	
3-14	370-379	некоторые	
3-15	380-385	числа	
3-16	385-386	.	

#Text=Числа а и бэ называют слагаемыми, число цэ, а также выражение a плюс бэ называют суммой чисел а и бэ.
4-1	387-392	Числа	
4-2	393-394	а	
4-3	395-396	и	
4-4	397-399	бэ	
4-5	400-408	называют	
4-6	409-419	слагаемыми	
4-7	419-420	,	
4-8	421-426	число	
4-9	427-429	цэ	
4-10	429-430	,	
4-11	431-432	а	
4-12	433-438	также	
4-13	439-448	выражение	
4-14	449-450	a	
4-15	451-455	плюс	
4-16	456-458	бэ	
4-17	459-467	называют	
4-18	468-474	суммой	
4-19	475-480	чисел	
4-20	481-482	а	
4-21	483-484	и	
4-22	485-487	бэ	
4-23	487-488	.	

#Text=Действие, с помощью которого определяется сумма, называется сложением.
5-1	489-497	Действие	
5-2	497-498	,	
5-3	499-500	с	
5-4	501-508	помощью	
5-5	509-517	которого	
5-6	518-530	определяется	
5-7	531-536	сумма	
5-8	536-537	,	
5-9	538-548	называется	
5-10	549-558	сложением	
5-11	558-559	.	

#Text=Например, восемнадцать плюс двенадцать равняется тридцать.
6-1	560-568	Например	
6-2	568-569	,	
6-3	570-582	восемнадцать	
6-4	583-587	плюс	
6-5	588-598	двенадцать	
6-6	599-608	равняется	
6-7	609-617	тридцать	
6-8	617-618	.	

#Text=В этой записи числа восемнадцать и двенадцать являются слагаемыми, число тридцать является суммой.
7-1	619-620	В	
7-2	621-625	этой	
7-3	626-632	записи	
7-4	633-638	числа	
7-5	639-651	восемнадцать	
7-6	652-653	и	
7-7	654-664	двенадцать	
7-8	665-673	являются	
7-9	674-684	слагаемыми	
7-10	684-685	,	
7-11	686-691	число	
7-12	692-700	тридцать	
7-13	701-709	является	
7-14	710-716	суммой	
7-15	716-717	.	

#Text=Переместительный закон сложения гласит о следующем: a плюс бэ равняется бэ плюс a, то есть от перестановки слагаемых сумма не изменяется.
8-1	718-734	Переместительный	
8-2	735-740	закон	
8-3	741-749	сложения	
8-4	750-756	гласит	
8-5	757-758	о	
8-6	759-768	следующем	
8-7	768-769	:	
8-8	770-771	a	
8-9	772-776	плюс	
8-10	777-779	бэ	
8-11	780-789	равняется	
8-12	790-792	бэ	
8-13	793-797	плюс	
8-14	798-799	a	
8-15	799-800	,	
8-16	801-803	то	
8-17	804-808	есть	
8-18	809-811	от	
8-19	812-824	перестановки	
8-20	825-834	слагаемых	
8-21	835-840	сумма	
8-22	841-843	не	
8-23	844-854	изменяется	
8-24	854-855	.	

#Text=Например, двенадцать плюс тринадцать равняется двадцать пять или тринадцать плюс двенадцать также равняется двадцать пять.
9-1	856-864	Например	
9-2	864-865	,	
9-3	866-876	двенадцать	
9-4	877-881	плюс	
9-5	882-892	тринадцать	
9-6	893-902	равняется	
9-7	903-911	двадцать	
9-8	912-916	пять	
9-9	917-920	или	
