#FORMAT=WebAnno TSV 3.3


#Text=title: "Степень с натуральным показателем.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-15	Степень	
1-5	16-17	с	
1-6	18-29	натуральным	
1-7	30-41	показателем	
1-8	41-42	.	

#Text=Свойства степени.
2-1	43-51	Свойства	
2-2	52-59	степени	
2-3	59-60	.	

#Text=Алгебра 7 класс.
3-1	61-68	Алгебра	
3-2	69-70	7	
3-3	71-76	класс	
3-4	76-77	.	

#Text=Урок 3.
4-1	78-82	Урок	
4-2	83-84	3	
4-3	84-85	.	

#Text=Видеоуроки математики"\r
#Text=yb_link: "https://youtu.be/EZKwDM5qOTY"\r
#Text=branch: "элементарная математика"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:20"\r
#Text=timecode_end: "14:24"\r
#Text=text: "Степень с натуральным показателем.
5-1	86-96	Видеоуроки	
5-2	97-107	математики	
5-3	107-108	"	
5-4	110-117	yb_link	
5-5	117-118	:	
5-6	119-120	"	
5-7	120-125	https	
5-8	125-126	:	
5-9	126-127	/	
5-10	127-128	/	
5-11	128-136	youtu.be	
5-12	136-137	/	
5-13	137-148	EZKwDM5qOTY	
5-14	148-149	"	
5-15	151-157	branch	
5-16	157-158	:	
5-17	159-160	"	
5-18	160-172	элементарная	
5-19	173-183	математика	
5-20	183-184	"	
5-21	186-191	level	
5-22	191-192	:	
5-23	193-194	"	
5-24	194-202	школьная	
5-25	203-212	программа	
5-26	212-213	"	
5-27	215-229	timecode_start	
5-28	229-230	:	
5-29	231-232	"	
5-30	232-233	0	
5-31	233-234	:	
5-32	234-236	20	
5-33	236-237	"	
5-34	239-251	timecode_end	
5-35	251-252	:	
5-36	253-254	"	
5-37	254-256	14	
5-38	256-257	:	
5-39	257-259	24	
5-40	259-260	"	
5-41	262-266	text	
5-42	266-267	:	
5-43	268-269	"	
5-44	269-276	Степень	
5-45	277-278	с	
5-46	279-290	натуральным	
5-47	291-302	показателем	
5-48	302-303	.	

#Text=Определение степени: а в энной степени равняется произведению эн множителей, каждый из которых равен а, где эн – число натуральное.
6-1	304-315	Определение	
6-2	316-323	степени	
6-3	323-324	:	
6-4	325-326	а	
6-5	327-328	в	
6-6	329-334	энной	
6-7	335-342	степени	
6-8	343-352	равняется	
6-9	353-365	произведению	
6-10	366-368	эн	
6-11	369-379	множителей	
6-12	379-380	,	
6-13	381-387	каждый	
6-14	388-390	из	
6-15	391-398	которых	
6-16	399-404	равен	
6-17	405-406	а	
6-18	406-407	,	
6-19	408-411	где	
6-20	412-414	эн	
6-21	415-416	–	
6-22	417-422	число	
6-23	423-434	натуральное	
6-24	434-435	.	

#Text=Считается, что а в первой степени равняется а.
7-1	436-445	Считается	
7-2	445-446	,	
7-3	447-450	что	
7-4	451-452	а	
7-5	453-454	в	
7-6	455-461	первой	
7-7	462-469	степени	
7-8	470-479	равняется	
7-9	480-481	а	
7-10	481-482	.	

#Text=Например, три в третьей степени – это произведение трех троек, равно такое произведение числу двадцать семь.
8-1	483-491	Например	
8-2	491-492	,	
8-3	493-496	три	
8-4	497-498	в	
8-5	499-506	третьей	
8-6	507-514	степени	
8-7	515-516	–	
8-8	517-520	это	
8-9	521-533	произведение	
8-10	534-538	трех	
8-11	539-544	троек	
8-12	544-545	,	
8-13	546-551	равно	
8-14	552-557	такое	
8-15	558-570	произведение	
8-16	571-576	числу	
8-17	577-585	двадцать	
8-18	586-590	семь	
8-19	590-591	.	

#Text=Минус пять во второй степени: для того, чтобы вычислить, нужно минус пять умножить на минус пять, получим двадцать пять, семь в первой степени равно семи.
9-1	592-597	Минус	
9-2	598-602	пять	
9-3	603-605	во	
9-4	606-612	второй	
9-5	613-620	степени	
9-6	620-621	:	
9-7	622-625	для	
9-8	626-630	того	
9-9	630-631	,	
9-10	632-637	чтобы	
9-11	638-647	вычислить	
9-12	647-648	,	
9-13	649-654	нужно	
9-14	655-660	минус	
9-15	661-665	пять	
9-16	666-674	умножить	
9-17	675-677	на	
9-18	678-683	минус	
9-19	684-688	пять	
9-20	688-689	,	
9-21	690-697	получим	
9-22	698-706	двадцать	
9-23	707-711	пять	
9-24	711-712	,	
9-25	713-717	семь	
9-26	718-719	в	
9-27	720-726	первой	
9-28	727-734	степени	
9-29	735-740	равно	
9-30	741-745	семи	
9-31	745-746	.	

#Text=Стоит записать еще несколько свойств, например: ноль в энной степени равен нулю, единица в энной степени равна единице для любого натурального числа эн, ноль в нулевой степени – не определено, такое выражение не определено.
10-1	747-752	Стоит	
10-2	753-761	записать	
10-3	762-765	еще	
10-4	766-775	несколько	
10-5	776-783	свойств	
10-6	783-784	,	
10-7	785-793	например	
10-8	793-794	:	
10-9	795-799	ноль	
10-10	800-801	в	
10-11	802-807	энной	
10-12	808-815	степени	
10-13	816-821	равен	
10-14	822-826	нулю	
10-15	826-827	,	
10-16	828-835	единица	
10-17	836-837	в	
10-18	838-843	энной	
10-19	844-851	степени	
10-20	852-857	равна	
10-21	858-865	единице	
10-22	866-869	для	
10-23	870-876	любого	
10-24	877-889	натурального	
10-25	890-895	числа	
10-26	896-898	эн	
10-27	898-899	,	
10-28	900-904	ноль	
10-29	905-906	в	
10-30	907-914	нулевой	
10-31	915-922	степени	
10-32	923-924	–	
10-33	925-927	не	
10-34	928-938	определено	
