#FORMAT=WebAnno TSV 3.3


#Text=title: "Иррациональные уравнения и неравенства.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-22	Иррациональные	
1-5	23-32	уравнения	
1-6	33-34	и	
1-7	35-46	неравенства	
1-8	46-47	.	

#Text=Урок №6"\r
#Text=yb_link: "https://youtu.be/es7SrjN_nk0?
2-1	48-52	Урок	
2-2	53-54	№	
2-3	54-55	6	
2-4	55-56	"	
2-5	58-65	yb_link	
2-6	65-66	:	
2-7	67-68	"	
2-8	68-73	https	
2-9	73-74	:	
2-10	74-75	/	
2-11	75-76	/	
2-12	76-84	youtu.be	
2-13	84-85	/	
2-14	85-96	es7SrjN_nk0	
2-15	96-97	?	

#Text=si=a9uiAbeI_yXbw2AH"\r
#Text=branch: "уравнения и неравенства"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:00"\r
#Text=timecode_end: "3:00"\r
#Text=text: "Теперь давайте рассмотрим иррациональные уравнения, которые решаются без возведения в квадрат.
3-1	97-99	si	
3-2	99-100	=	
3-3	100-116	a9uiAbeI_yXbw2AH	
3-4	116-117	"	
3-5	119-125	branch	
3-6	125-126	:	
3-7	127-128	"	
3-8	128-137	уравнения	
3-9	138-139	и	
3-10	140-151	неравенства	
3-11	151-152	"	
3-12	154-159	level	
3-13	159-160	:	
3-14	161-162	"	
3-15	162-170	школьная	
3-16	171-180	программа	
3-17	180-181	"	
3-18	183-197	timecode_start	
3-19	197-198	:	
3-20	199-200	"	
3-21	200-201	0	
3-22	201-202	:	
3-23	202-204	00	
3-24	204-205	"	
3-25	207-219	timecode_end	
3-26	219-220	:	
3-27	221-222	"	
3-28	222-223	3	
3-29	223-224	:	
3-30	224-226	00	
3-31	226-227	"	
3-32	229-233	text	
3-33	233-234	:	
3-34	235-236	"	
3-35	236-242	Теперь	
3-36	243-250	давайте	
3-37	251-261	рассмотрим	
3-38	262-276	иррациональные	
3-39	277-286	уравнения	
3-40	286-287	,	
3-41	288-295	которые	
3-42	296-304	решаются	
3-43	305-308	без	
3-44	309-319	возведения	
3-45	320-321	в	
3-46	322-329	квадрат	
3-47	329-330	.	

#Text=В этом уроке мы коснёмся такого типажа, который называется сумма неотрицательных.
4-1	331-332	В	
4-2	333-337	этом	
4-3	338-343	уроке	
4-4	344-346	мы	
4-5	347-355	коснёмся	
4-6	356-362	такого	
4-7	363-369	типажа	
4-8	369-370	,	
4-9	371-378	который	
4-10	379-389	называется	
4-11	390-395	сумма	
4-12	396-411	неотрицательных	
4-13	411-412	.	

#Text=Я приведу пример.
5-1	413-414	Я	
5-2	415-422	приведу	
5-3	423-429	пример	
5-4	429-430	.	

#Text=Икс в квадрате минус пять икс плюс шесть под корнем плюс, специально напишу, корень четвёртой степени икс в четвёртой плюс пять икс в кубе минус девять икс минус тридцать восемь, это всё равно нулю.
6-1	431-434	Икс	
6-2	435-436	в	
6-3	437-445	квадрате	
6-4	446-451	минус	
6-5	452-456	пять	
6-6	457-460	икс	
6-7	461-465	плюс	
6-8	466-471	шесть	
6-9	472-475	под	
6-10	476-482	корнем	
6-11	483-487	плюс	
6-12	487-488	,	
6-13	489-499	специально	
6-14	500-506	напишу	
6-15	506-507	,	
6-16	508-514	корень	
6-17	515-524	четвёртой	
6-18	525-532	степени	
6-19	533-536	икс	
6-20	537-538	в	
6-21	539-548	четвёртой	
6-22	549-553	плюс	
6-23	554-558	пять	
6-24	559-562	икс	
6-25	563-564	в	
6-26	565-569	кубе	
6-27	570-575	минус	
6-28	576-582	девять	
6-29	583-586	икс	
6-30	587-592	минус	
6-31	593-601	тридцать	
6-32	602-608	восемь	
6-33	608-609	,	
6-34	610-613	это	
6-35	614-617	всё	
6-36	618-623	равно	
6-37	624-628	нулю	
6-38	628-629	.	

#Text=О чём мы должны думать?
7-1	630-631	О	
7-2	632-635	чём	
7-3	636-638	мы	
7-4	639-645	должны	
7-5	646-652	думать	
7-6	652-653	?	

#Text=Чем ужаснее выглядит иррациональное уравнение, тем, значит, в нём какое-то более простое решение будет.
8-1	654-657	Чем	
8-2	658-665	ужаснее	
8-3	666-674	выглядит	
8-4	675-689	иррациональное	
8-5	690-699	уравнение	
8-6	699-700	,	
8-7	701-704	тем	
8-8	704-705	,	
8-9	706-712	значит	
8-10	712-713	,	
8-11	714-715	в	
8-12	716-719	нём	
8-13	720-728	какое-то	
8-14	729-734	более	
8-15	735-742	простое	
8-16	743-750	решение	
8-17	751-756	будет	
8-18	756-757	.	

#Text=Конечно же здесь вы не сможете возведением в квадрат добиться чего-либо хорошего.
9-1	758-765	Конечно	
9-2	766-768	же	
9-3	769-774	здесь	
9-4	775-777	вы	
9-5	778-780	не	
9-6	781-788	сможете	
9-7	789-800	возведением	
9-8	801-802	в	
9-9	803-810	квадрат	
9-10	811-819	добиться	
9-11	820-829	чего-либо	
9-12	830-838	хорошего	
9-13	838-839	.	

#Text=Давайте обратим внимание на следующий момент.
10-1	840-847	Давайте	
10-2	848-855	обратим	
10-3	856-864	внимание	
10-4	865-867	на	
10-5	868-877	следующий	
10-6	878-884	момент	
10-7	884-885	.	

#Text=Вот здесь стоит корень, корень, арифметический квадратный корень, известное дело, он больше либо равен нуля всегда.
11-1	886-889	Вот	
11-2	890-895	здесь	
11-3	896-901	стоит	
