#FORMAT=WebAnno TSV 3.3


#Text=title: "Линейная функция и её график"\r
#Text=yb_link: "https://youtu.be/zNq4iY9W1ls"\r
#Text=branch: "теория функций"\r
#Text=level: "школьная программа"\r
#Text=timecode_start: "0:00"\r
#Text=timecode_end: "11:28"\r
#Text=text: "Всем здравствуйте.
1-1	0-5	title	
1-2	5-6	:	
1-3	7-8	"	
1-4	8-16	Линейная	
1-5	17-24	функция	
1-6	25-26	и	
1-7	27-29	её	
1-8	30-36	график	
1-9	36-37	"	
1-10	39-46	yb_link	
1-11	46-47	:	
1-12	48-49	"	
1-13	49-54	https	
1-14	54-55	:	
1-15	55-56	/	
1-16	56-57	/	
1-17	57-65	youtu.be	
1-18	65-66	/	
1-19	66-77	zNq4iY9W1ls	
1-20	77-78	"	
1-21	80-86	branch	
1-22	86-87	:	
1-23	88-89	"	
1-24	89-95	теория	
1-25	96-103	функций	
1-26	103-104	"	
1-27	106-111	level	
1-28	111-112	:	
1-29	113-114	"	
1-30	114-122	школьная	
1-31	123-132	программа	
1-32	132-133	"	
1-33	135-149	timecode_start	
1-34	149-150	:	
1-35	151-152	"	
1-36	152-153	0	
1-37	153-154	:	
1-38	154-156	00	
1-39	156-157	"	
1-40	159-171	timecode_end	
1-41	171-172	:	
1-42	173-174	"	
1-43	174-176	11	
1-44	176-177	:	
1-45	177-179	28	
1-46	179-180	"	
1-47	182-186	text	
1-48	186-187	:	
1-49	188-189	"	
1-50	189-193	Всем	
1-51	194-206	здравствуйте	
1-52	206-207	.	

#Text=Разберемся в вопросе, что такое линейная функция.
2-1	208-218	Разберемся	
2-2	219-220	в	
2-3	221-228	вопросе	
2-4	228-229	,	
2-5	230-233	что	
2-6	234-239	такое	
2-7	240-248	линейная	
2-8	249-256	функция	
2-9	256-257	.	

#Text=И также разберем некоторые основные моменты, которые с этим вопросом связаны.
3-1	258-259	И	
3-2	260-265	также	
3-3	266-274	разберем	
3-4	275-284	некоторые	
3-5	285-293	основные	
3-6	294-301	моменты	
3-7	301-302	,	
3-8	303-310	которые	
3-9	311-312	с	
3-10	313-317	этим	
3-11	318-326	вопросом	
3-12	327-334	связаны	
3-13	334-335	.	

#Text=Так вот, линейная функция, которая представима в виде игрек равно ка икс плюс бэ, где ка и бэ – это любые числа, а икс и игрек – это переменные.
4-1	336-339	Так	
4-2	340-343	вот	
4-3	343-344	,	
4-4	345-353	линейная	
4-5	354-361	функция	
4-6	361-362	,	
4-7	363-370	которая	
4-8	371-382	представима	
4-9	383-384	в	
4-10	385-389	виде	
4-11	390-395	игрек	
4-12	396-401	равно	
4-13	402-404	ка	
4-14	405-408	икс	
4-15	409-413	плюс	
4-16	414-416	бэ	
4-17	416-417	,	
4-18	418-421	где	
4-19	422-424	ка	
4-20	425-426	и	
4-21	427-429	бэ	
4-22	430-431	–	
4-23	432-435	это	
4-24	436-441	любые	
4-25	442-447	числа	
4-26	447-448	,	
4-27	449-450	а	
4-28	451-454	икс	
4-29	455-456	и	
4-30	457-462	игрек	
4-31	463-464	–	
4-32	465-468	это	
4-33	469-479	переменные	
4-34	479-480	.	

#Text=То есть, любая функция, которая представима в таком виде называется линейной.
5-1	481-483	То	
5-2	484-488	есть	
5-3	488-489	,	
5-4	490-495	любая	
5-5	496-503	функция	
5-6	503-504	,	
5-7	505-512	которая	
5-8	513-524	представима	
5-9	525-526	в	
5-10	527-532	таком	
5-11	533-537	виде	
5-12	538-548	называется	
5-13	549-557	линейной	
5-14	557-558	.	

#Text=И ее графиком будет являться прямая на координатной плоскости.
6-1	559-560	И	
6-2	561-563	ее	
6-3	564-572	графиком	
6-4	573-578	будет	
6-5	579-587	являться	
6-6	588-594	прямая	
6-7	595-597	на	
6-8	598-610	координатной	
6-9	611-620	плоскости	
6-10	620-621	.	

#Text=К примеру, функция игрек равно два икс плюс один.
7-1	622-623	К	
7-2	624-631	примеру	
7-3	631-632	,	
7-4	633-640	функция	
7-5	641-646	игрек	
7-6	647-652	равно	
7-7	653-656	два	
7-8	657-660	икс	
7-9	661-665	плюс	
7-10	666-670	один	
7-11	670-671	.	

#Text=Вот смотрите, если мы вот сюда, в эту формулу, подставим ка равное двум, а бэ – равное единице, у нас получится вот эта вот функция.
8-1	672-675	Вот	
8-2	676-684	смотрите	
8-3	684-685	,	
8-4	686-690	если	
8-5	691-693	мы	
8-6	694-697	вот	
8-7	698-702	сюда	
8-8	702-703	,	
8-9	704-705	в	
8-10	706-709	эту	
8-11	710-717	формулу	
8-12	717-718	,	
8-13	719-728	подставим	
8-14	729-731	ка	
8-15	732-738	равное	
8-16	739-743	двум	
8-17	743-744	,	
8-18	745-746	а	
8-19	747-749	бэ	
8-20	750-751	–	
8-21	752-758	равное	
8-22	759-766	единице	
8-23	766-767	,	
8-24	768-769	у	
8-25	770-773	нас	
8-26	774-783	получится	
8-27	784-787	вот	
8-28	788-791	эта	
8-29	792-795	вот	
8-30	796-803	функция	
8-31	803-804	.	

#Text=Это значит, что функция игрек равно два икс плюс один – линейная функция, и ее графиком будет являться прямая.
9-1	805-808	Это	
9-2	809-815	значит	
9-3	815-816	,	
9-4	817-820	что	
9-5	821-828	функция	
9-6	829-834	игрек	
9-7	835-840	равно	
9-8	841-844	два	
9-9	845-848	икс	
9-10	849-853	плюс	
9-11	854-858	один	
